pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,boldvoice,,BoldVoice,855544760303086,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-19,9,False,5,5,5,5,False,True,156,1.0,True,True,False,loser,low
facebook,boldvoice,,BoldVoice,3255379834639421,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-14,14,False,12,12,12,12,False,True,156,1.0,True,True,False,loser,low
facebook,boldvoice,,BoldVoice,1977102026236404,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-24,4,False,14,14,14,14,False,True,156,1.0,True,True,False,loser,low
facebook,boldvoice,,Live in Purpose and Power,1532209891643674,Video,,,,,2026-05-28,2026-05-28,1,1,2026-03-06,83,False,34,34,34,34,False,True,156,1.0,False,True,False,strong_winner,high
facebook,boldvoice,,BoldVoice,1037085772109446,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-19,9,False,83,83,83,83,False,True,156,0.0,False,False,False,loser,low
facebook,boldvoice,,BoldVoice,1278248894481917,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-15,13,False,92,92,92,92,False,True,156,0.0,False,False,False,loser,low
facebook,boldvoice,,BoldVoice,1713271733353328,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-27,1,False,131,131,131,131,False,True,156,0.0,False,False,False,loser,low
facebook,boldvoice,,BoldVoice,1492936165701565,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-27,1,False,133,133,133,133,False,True,156,0.0,False,False,False,loser,low
facebook,boldvoice,108128217985547,BoldVoice,26925651373762919,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,1,1,1,1,True,False,167,1.0,True,True,False,winner,high
facebook,boldvoice,108128217985547,BoldVoice,1477549913252506,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,2,2,2,2,True,False,167,1.0,True,True,False,winner,high
facebook,boldvoice,108128217985547,BoldVoice,1292724245723832,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,3,6,4,6,True,False,167,1.0,True,True,False,winner,high
facebook,boldvoice,108128217985547,BoldVoice,1309059627222656,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,3,8,6,3,True,False,167,1.0,True,True,False,winner,high
facebook,boldvoice,108128217985547,BoldVoice,1501335731525040,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,4,5,4,5,True,False,167,1.0,True,True,False,winner,high
facebook,boldvoice,108128217985547,BoldVoice,977301534886774,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-26,9,False,4,10,7,4,True,False,167,1.0,True,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,956123550567832,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,6,7,6,7,True,False,167,1.0,True,True,False,winner,high
