pipeline,competitor,scrape_date,ads_live,new_ads,new_script_ads,reused_script_ads,stopped_ads,winners_live,win_ratio
facebook,duolingo,2026-05-26,29,29,21,0,0,29,1.0
facebook,duolingo,2026-06-04,63,34,0,19,0,30,0.476
facebook,duolingo,2026-06-07,30,0,0,0,33,30,1.0
facebook,duolingo,2026-06-11,30,0,0,0,0,30,1.0
facebook,duolingo,2026-06-12,30,0,0,0,0,30,1.0
facebook,duolingo,2026-06-13,30,0,0,0,0,30,1.0
facebook,duolingo,2026-06-14,30,0,0,0,0,30,1.0
facebook,duolingo,2026-06-15,30,0,0,0,0,30,1.0
facebook,duolingo,2026-06-16,30,0,0,0,0,30,1.0
facebook,duolingo,2026-06-17,30,0,0,0,0,30,1.0
facebook,duolingo,2026-06-22,30,2,2,0,2,28,0.933
facebook,duolingo,2026-06-23,30,0,0,0,0,28,0.933
