pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,script_group_id,replication_type,variant_role,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,duolingo,141935472517297,Duolingo,870791105586044,Image,English,,,,,,,2026-05-26,2026-06-04,2,2,2026-02-05,119,False,1,1,1,1,True,False,30,1.0,True,True,False,strong_winner,high
facebook,duolingo,141935472517297,Duolingo,1681513992840751,Video,English,voiceover-only,other,human-recorded,duolingo-g0002,original,original,2026-05-26,2026-06-04,2,2,2026-04-01,64,False,2,2,2,2,True,False,30,1.0,True,True,False,strong_winner,high
facebook,duolingo,141935472517297,Duolingo,855822700785894,Image,English,,,,,,,2026-05-26,2026-06-04,2,2,2026-02-05,119,False,3,3,3,3,True,False,30,1.0,True,True,False,strong_winner,high
facebook,duolingo,141935472517297,Duolingo,873410355318564,Video,English,voiceover-only,app-screencast,human-recorded,duolingo-g0006,unique,original,2026-05-26,2026-06-04,2,2,2026-02-05,119,False,4,4,4,4,True,False,30,1.0,True,True,False,strong_winner,high
facebook,duolingo,141935472517297,Duolingo,931440739227131,Video,English,voiceover-only,app-screencast,human-recorded,duolingo-g0007,unique,original,2026-05-26,2026-06-04,2,2,2026-02-05,119,False,5,5,5,5,True,False,30,1.0,True,True,False,strong_winner,high
facebook,duolingo,141935472517297,Duolingo,1393073786168344,Image,English,,,,,,,2026-05-26,2026-06-04,2,2,2026-02-05,119,False,6,6,6,6,True,False,30,1.0,True,True,False,strong_winner,high
facebook,duolingo,141935472517297,Duolingo,854198787652805,Image,English,,,,,,,2026-05-26,2026-06-04,2,2,2026-02-05,119,False,7,9,8,9,True,False,30,0.5,True,True,False,strong_winner,high
facebook,duolingo,141935472517297,Duolingo,1270856521521372,Video,English,voiceover-only,app-screencast,human-recorded,duolingo-g0001,original,original,2026-05-26,2026-06-04,2,2,2026-01-29,126,False,7,9,8,7,True,False,30,0.5,True,True,False,strong_winner,high
facebook,duolingo,141935472517297,Duolingo,4420167301545944,Image,English,,,,,,,2026-05-26,2026-06-04,2,2,2026-02-05,119,False,8,8,8,8,True,False,30,1.0,True,True,False,strong_winner,high
facebook,duolingo,141935472517297,Duolingo,1187219770066761,Video,English,voiceover-only,app-screencast,human-recorded,duolingo-g0005,unique,original,2026-05-26,2026-06-04,2,2,2026-02-05,119,False,10,10,10,10,True,False,30,0.0,True,False,False,winner,high
facebook,duolingo,141935472517297,Duolingo,1428449025623778,Video,English,voiceover-only,app-screencast,human-recorded,duolingo-g0004,original,original,2026-05-26,2026-06-04,2,2,2026-02-05,119,False,11,11,11,11,True,False,30,0.0,False,False,False,undecided,high
