pipeline,competitor,bucket_type,bucket,ads,winners,win_ratio
facebook,duolingo,weekday,Mon,0,0,0.0
facebook,duolingo,weekday,Tue,0,0,0.0
facebook,duolingo,weekday,Wed,4,2,0.5
facebook,duolingo,weekday,Thu,27,27,1.0
facebook,duolingo,weekday,Fri,1,1,1.0
facebook,duolingo,weekday,Sat,0,0,0.0
facebook,duolingo,weekday,Sun,0,0,0.0
facebook,duolingo,day_of_month,1,2,2,1.0
facebook,duolingo,day_of_month,3,1,1,1.0
facebook,duolingo,day_of_month,5,11,11,1.0
facebook,duolingo,day_of_month,12,1,1,1.0
facebook,duolingo,day_of_month,16,5,5,1.0
facebook,duolingo,day_of_month,17,2,0,0.0
facebook,duolingo,day_of_month,26,2,2,1.0
facebook,duolingo,day_of_month,28,1,1,1.0
facebook,duolingo,day_of_month,29,7,7,1.0
