pipeline,competitor,ad_id,stopped_on,last_seen,first_seen
facebook,duolingo,1023226656696370,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,1205211558219012,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,1244041101140184,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,1282957083982524,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,1340343458017819,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,1398617942297818,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,1467346464518268,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,1495493641961395,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,1511868853669891,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,1557413435942135,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,1601650570902180,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,1625406865354471,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,1829036101386517,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,1911800266127163,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,1986969838579939,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,2054843735413850,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,2164543697719032,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,2192184221567617,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,2206316933499935,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,2421536621668950,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,2435229170277118,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,25024190163945827,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,2567875460379817,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,26593433683617766,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,3049299128598351,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,3054095394922294,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,3509966935818159,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,4193196730867806,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,4315634672087742,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,839034162134088,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,862933273506827,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,964203152818249,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,980261668257529,2026-06-07,2026-06-04,2026-06-04
facebook,duolingo,1640530307393556,2026-06-22,2026-06-17,2026-05-26
facebook,duolingo,1810377262974963,2026-06-22,2026-06-17,2026-05-26
