pipeline,competitor,script_group_id,group_size,ads,winners,win_ratio,replication_types
facebook,english-seekho,english-seekho-g0000,168,168,17,0.101,character_variant;exact_replica;original;reworded_replica;translation_replica;visual_variant
facebook,english-seekho,english-seekho-g0001,48,48,8,0.167,original;reworded_replica;translation_replica
facebook,english-seekho,english-seekho-g0002,45,45,2,0.044,character_variant;exact_replica;original;reworded_replica;translation_replica;visual_variant
facebook,english-seekho,english-seekho-g0003,40,40,4,0.1,character_variant;exact_replica;original;reworded_replica;translation_replica;visual_variant
facebook,english-seekho,english-seekho-g0004,40,40,2,0.05,exact_replica;original;reworded_replica;translation_replica;visual_variant
facebook,english-seekho,english-seekho-g0005,33,33,0,0.0,character_variant;exact_replica;original;reworded_replica
facebook,english-seekho,english-seekho-g0006,30,30,6,0.2,character_variant;exact_replica;original;reworded_replica;translation_replica;visual_variant
facebook,english-seekho,english-seekho-g0007,25,25,2,0.08,character_variant;exact_replica;original;reworded_replica;translation_replica;visual_variant
facebook,english-seekho,english-seekho-g0008,20,20,1,0.05,character_variant;exact_replica;original;reworded_replica
facebook,english-seekho,english-seekho-g0009,16,16,3,0.188,character_variant;exact_replica;original;reworded_replica
facebook,english-seekho,english-seekho-g0010,14,14,3,0.214,exact_replica;original;reworded_replica;visual_variant
facebook,english-seekho,english-seekho-g0011,13,13,2,0.154,original;reworded_replica;visual_variant
facebook,english-seekho,english-seekho-g0012,13,13,0,0.0,character_variant;original;reworded_replica;visual_variant
facebook,english-seekho,english-seekho-g0013,13,13,2,0.154,exact_replica;original;reworded_replica;visual_variant
facebook,english-seekho,english-seekho-g0014,12,12,0,0.0,original;reworded_replica
facebook,english-seekho,english-seekho-g0015,12,12,5,0.417,character_variant;exact_replica;original;reworded_replica;visual_variant
facebook,english-seekho,english-seekho-g0016,12,12,0,0.0,character_variant;original;reworded_replica
facebook,english-seekho,english-seekho-g0017,12,12,0,0.0,original;visual_variant
facebook,english-seekho,english-seekho-g0018,11,11,0,0.0,exact_replica;original;reworded_replica;translation_replica;visual_variant
facebook,english-seekho,english-seekho-g0019,10,10,2,0.2,exact_replica;original;reworded_replica;translation_replica;visual_variant
facebook,english-seekho,english-seekho-g0020,10,10,3,0.3,exact_replica;original;reworded_replica
facebook,english-seekho,english-seekho-g0021,10,10,1,0.1,exact_replica;original;reworded_replica;translation_replica
facebook,english-seekho,english-seekho-g0022,9,9,2,0.222,character_variant;exact_replica;original
facebook,english-seekho,english-seekho-g0023,9,9,1,0.111,character_variant;exact_replica;original;reworded_replica;visual_variant
facebook,english-seekho,english-seekho-g0024,9,9,0,0.0,exact_replica;original;reworded_replica
facebook,english-seekho,english-seekho-g0025,9,9,1,0.111,original;reworded_replica
facebook,english-seekho,english-seekho-g0026,9,9,1,0.111,exact_replica;original;reworded_replica;translation_replica
facebook,english-seekho,english-seekho-g0027,9,9,0,0.0,character_variant;original;reworded_replica
facebook,english-seekho,english-seekho-g0028,9,9,0,0.0,original;reworded_replica
facebook,english-seekho,english-seekho-g0029,8,8,0,0.0,exact_replica;original;reworded_replica;translation_replica
facebook,english-seekho,english-seekho-g0030,8,8,0,0.0,character_variant;exact_replica;original;reworded_replica;translation_replica;visual_variant
facebook,english-seekho,english-seekho-g0031,8,8,0,0.0,original;reworded_replica;visual_variant
facebook,english-seekho,english-seekho-g0032,8,8,2,0.25,exact_replica;original;reworded_replica;translation_replica
