pipeline,competitor,scrape_date,ads_live,new_ads,new_script_ads,reused_script_ads,stopped_ads,winners_live,win_ratio
facebook,english-seekho,2026-05-26,289,289,289,0,0,102,0.353
facebook,english-seekho,2026-06-04,212,74,38,36,151,92,0.434
facebook,english-seekho,2026-06-12,278,175,90,85,112,64,0.23
facebook,english-seekho,2026-06-13,259,8,5,3,27,64,0.247
facebook,english-seekho,2026-06-14,323,152,96,56,88,64,0.198
facebook,english-seekho,2026-06-15,236,2,0,2,89,64,0.271
facebook,english-seekho,2026-06-16,294,138,93,45,89,63,0.214
facebook,english-seekho,2026-06-17,276,4,2,2,22,63,0.228
facebook,english-seekho,2026-06-22,275,229,71,158,230,34,0.124
facebook,english-seekho,2026-06-23,265,9,1,8,19,34,0.128
facebook,english-seekho,2026-06-24,326,190,72,118,129,37,0.113
facebook,english-seekho,2026-06-25,343,67,10,57,53,59,0.172
facebook,english-seekho,2026-06-26,407,214,103,111,156,77,0.189
facebook,english-seekho,2026-06-28,458,169,103,66,119,82,0.179
facebook,english-seekho,2026-06-29,425,3,0,3,36,82,0.193
facebook,english-seekho,2026-06-30,334,113,61,52,207,89,0.266
facebook,english-seekho,2026-07-01,320,28,0,0,43,93,0.291
facebook,english-seekho,2026-07-02,300,82,0,0,103,95,0.317
facebook,english-seekho,2026-07-03,272,14,0,0,43,97,0.357
facebook,english-seekho,2026-07-04,272,82,0,0,82,96,0.353
facebook,english-seekho,2026-07-05,246,9,0,0,35,97,0.394
facebook,english-seekho,2026-07-06,306,113,0,0,55,100,0.327
facebook,english-seekho,2026-07-07,297,5,0,0,15,99,0.333
facebook,english-seekho,2026-07-08,298,100,0,0,101,99,0.332
facebook,english-seekho,2026-07-09,267,3,0,0,35,99,0.371
facebook,english-seekho,2026-07-10,235,48,0,0,81,98,0.417
facebook,english-seekho,2026-07-11,232,30,0,0,34,91,0.392
facebook,english-seekho,2026-07-12,307,100,0,0,26,91,0.296
facebook,english-seekho,2026-07-13,242,7,0,0,73,89,0.368
facebook,english-seekho,2026-07-14,308,114,0,0,49,81,0.263
facebook,english-seekho,2026-07-15,249,12,0,0,72,74,0.297
facebook,english-seekho,2026-07-16,280,101,0,0,72,72,0.257
facebook,english-seekho,2026-07-17,266,4,0,0,19,67,0.252
