pipeline,competitor,bucket_type,bucket,ads,winners,win_ratio
facebook,english-seekho,weekday,Mon,255,13,0.051
facebook,english-seekho,weekday,Tue,115,18,0.157
facebook,english-seekho,weekday,Wed,381,11,0.029
facebook,english-seekho,weekday,Thu,175,20,0.114
facebook,english-seekho,weekday,Fri,388,28,0.072
facebook,english-seekho,weekday,Sat,163,13,0.08
facebook,english-seekho,weekday,Sun,300,12,0.04
facebook,english-seekho,day_of_month,1,3,1,0.333
facebook,english-seekho,day_of_month,2,4,4,1.0
facebook,english-seekho,day_of_month,3,8,3,0.375
facebook,english-seekho,day_of_month,4,8,1,0.125
facebook,english-seekho,day_of_month,5,4,2,0.5
facebook,english-seekho,day_of_month,6,5,0,0.0
facebook,english-seekho,day_of_month,7,7,3,0.429
facebook,english-seekho,day_of_month,8,17,0,0.0
facebook,english-seekho,day_of_month,9,19,9,0.474
facebook,english-seekho,day_of_month,10,148,6,0.041
facebook,english-seekho,day_of_month,11,11,2,0.182
facebook,english-seekho,day_of_month,12,158,3,0.019
facebook,english-seekho,day_of_month,13,9,3,0.333
facebook,english-seekho,day_of_month,14,140,5,0.036
facebook,english-seekho,day_of_month,15,9,3,0.333
facebook,english-seekho,day_of_month,16,19,5,0.263
facebook,english-seekho,day_of_month,17,5,2,0.4
facebook,english-seekho,day_of_month,18,119,3,0.025
facebook,english-seekho,day_of_month,19,24,4,0.167
facebook,english-seekho,day_of_month,20,132,4,0.03
facebook,english-seekho,day_of_month,21,13,5,0.385
facebook,english-seekho,day_of_month,22,223,14,0.063
facebook,english-seekho,day_of_month,23,108,10,0.093
facebook,english-seekho,day_of_month,24,258,3,0.012
facebook,english-seekho,day_of_month,25,32,0,0.0
facebook,english-seekho,day_of_month,26,166,8,0.048
facebook,english-seekho,day_of_month,27,3,2,0.667
facebook,english-seekho,day_of_month,28,111,3,0.027
facebook,english-seekho,day_of_month,29,7,3,0.429
facebook,english-seekho,day_of_month,30,5,3,0.6
facebook,english-seekho,day_of_month,31,2,1,0.5
