pipeline,competitor,page_id,ad_id,scrape_date,page_rank,row_rank,present,page_rank_delta,days_since_prev_obs
facebook,englishbhashi,117256651366792,2009720539619107,2026-05-28,1,1,true,,
facebook,englishbhashi,117256651366792,1010725401375687,2026-06-11,1,1,true,,
facebook,englishbhashi,117256651366792,1010725401375687,2026-06-12,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-06-13,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-06-14,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-06-15,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-06-16,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-06-17,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-06-22,1,1,true,0,5
facebook,englishbhashi,117256651366792,1010725401375687,2026-06-23,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-07-01,1,1,true,0,8
facebook,englishbhashi,117256651366792,1010725401375687,2026-07-02,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-07-03,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-07-04,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-07-05,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-07-06,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-07-07,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-07-08,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-07-09,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-07-21,1,1,true,0,12
facebook,englishbhashi,117256651366792,1010725401375687,2026-07-22,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-07-23,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-07-24,1,1,true,0,1
facebook,englishbhashi,117256651366792,1010725401375687,2026-07-25,1,1,true,0,1
facebook,englishbhashi,117256651366792,1737794960988312,2026-06-23,2,2,true,,
facebook,englishbhashi,117256651366792,2207030976530884,2026-07-15,1,1,true,,
facebook,englishbhashi,117256651366792,2207030976530884,2026-07-16,1,1,true,0,1
facebook,englishbhashi,117256651366792,2207030976530884,2026-07-17,1,1,true,0,1
facebook,englishbhashi,117256651366792,2207030976530884,2026-07-18,1,1,true,0,1
facebook,englishbhashi,117256651366792,1042510761484893,2026-07-22,2,4,true,,
