pipeline,competitor,page_id,ad_id,scrape_date,page_rank,row_rank,present,page_rank_delta,days_since_prev_obs
facebook,fluently,61572409659045,2020774215463610,2026-05-28,1,1,true,,
facebook,fluently,61572409659045,973909435205486,2026-05-28,2,2,true,,
facebook,fluently,61572409659045,1861692997873496,2026-05-28,3,3,true,,
facebook,fluently,61572409659045,953163657608580,2026-05-28,4,4,true,,
facebook,fluently,61572409659045,987587470425976,2026-05-28,5,5,true,,
facebook,fluently,61572409659045,1724170535252280,2026-05-28,6,6,true,,
facebook,fluently,61572409659045,1503537474699018,2026-05-28,7,7,true,,
facebook,fluently,61572409659045,1489436636187003,2026-05-28,8,8,true,,
facebook,fluently,61572409659045,2066294067499861,2026-05-28,9,9,true,,
facebook,fluently,61572409659045,1340773944905289,2026-05-28,10,10,true,,
facebook,fluently,61572409659045,1596212348295807,2026-05-28,11,11,true,,
facebook,fluently,61572409659045,834462509182127,2026-05-28,12,12,true,,
facebook,fluently,61572409659045,872598712508701,2026-05-28,13,13,true,,
facebook,fluently,61572409659045,1486129556426991,2026-05-28,14,14,true,,
facebook,fluently,61572409659045,1292435579738797,2026-05-28,15,15,true,,
facebook,fluently,61572409659045,946645067989939,2026-05-28,16,16,true,,
facebook,fluently,61572409659045,977432371543196,2026-05-28,17,17,true,,
facebook,fluently,61572409659045,987333757125660,2026-05-28,18,18,true,,
facebook,fluently,61572409659045,1328531299168220,2026-05-28,19,19,true,,
facebook,fluently,61572409659045,2687096741625217,2026-05-28,20,20,true,,
facebook,fluently,61572409659045,1492697022391467,2026-05-28,21,21,true,,
facebook,fluently,61572409659045,1363585002493940,2026-05-28,22,22,true,,
facebook,fluently,61572409659045,946896624496219,2026-05-28,23,23,true,,
facebook,fluently,61572409659045,1532487928294222,2026-05-28,24,24,true,,
facebook,fluently,61572409659045,1511027407290127,2026-05-28,25,25,true,,
facebook,fluently,61572409659045,2051670485763027,2026-05-28,26,26,true,,
facebook,fluently,61572409659045,840344659107771,2026-05-28,27,27,true,,
facebook,fluently,61572409659045,1453674708938235,2026-05-28,28,28,true,,
facebook,fluently,61572409659045,846517477821055,2026-05-28,29,29,true,,
facebook,fluently,61572409659045,1010232058002100,2026-05-28,30,30,true,,
facebook,fluently,61572409659045,3732962946851690,2026-05-28,31,31,true,,
facebook,fluently,61572409659045,992638133228487,2026-05-28,32,32,true,,
facebook,fluently,61572409659045,4024987867794618,2026-05-28,33,33,true,,
facebook,fluently,61572409659045,1297096962618071,2026-05-28,34,34,true,,
facebook,fluently,61572409659045,1735163424274440,2026-05-28,35,35,true,,
facebook,fluently,61572409659045,1562610171953055,2026-05-28,36,36,true,,
facebook,fluently,61572409659045,960482803404131,2026-05-28,37,37,true,,
