pipeline,competitor,page_id,ad_id,scrape_date,page_rank,row_rank,present,page_rank_delta,days_since_prev_obs
facebook,learna-ai,521600091028761,1305320435143159,2026-05-28,1,1,true,,
facebook,learna-ai,521600091028761,1331000942346730,2026-05-28,2,2,true,,
facebook,learna-ai,521600091028761,1561946748353523,2026-05-28,3,3,true,,
facebook,learna-ai,521600091028761,919639600763237,2026-05-28,4,4,true,,
facebook,learna-ai,521600091028761,1223854759864038,2026-05-28,5,5,true,,
facebook,learna-ai,521600091028761,941670845124918,2026-05-28,6,6,true,,
facebook,learna-ai,521600091028761,3350647341767877,2026-05-28,7,7,true,,
facebook,learna-ai,521600091028761,2696378104080682,2026-05-28,8,8,true,,
facebook,learna-ai,521600091028761,1688507795702436,2026-05-28,9,9,true,,
facebook,learna-ai,521600091028761,4091989534424274,2026-05-28,10,10,true,,
facebook,learna-ai,521600091028761,4339287476329546,2026-05-28,11,11,true,,
facebook,learna-ai,521600091028761,1867248917309068,2026-05-28,12,12,true,,
facebook,learna-ai,521600091028761,2233023087508211,2026-05-28,13,13,true,,
facebook,learna-ai,521600091028761,1272799508356017,2026-05-28,14,14,true,,
facebook,learna-ai,521600091028761,1818618209105079,2026-05-28,15,15,true,,
facebook,learna-ai,521600091028761,2956993031298495,2026-05-28,16,16,true,,
facebook,learna-ai,521600091028761,1732276511091533,2026-05-28,17,17,true,,
facebook,learna-ai,521600091028761,1282726410490010,2026-05-28,18,18,true,,
facebook,learna-ai,521600091028761,816518274603313,2026-05-28,19,19,true,,
facebook,learna-ai,521600091028761,920285514395314,2026-05-28,20,20,true,,
facebook,learna-ai,521600091028761,2824660604557876,2026-05-28,21,21,true,,
facebook,learna-ai,521600091028761,1231133571849012,2026-05-28,22,22,true,,
facebook,learna-ai,521600091028761,1470990821024117,2026-05-28,23,23,true,,
facebook,learna-ai,521600091028761,1344215707542169,2026-05-28,24,24,true,,
facebook,learna-ai,521600091028761,2304935636581504,2026-05-28,25,25,true,,
facebook,learna-ai,521600091028761,1612039283458902,2026-05-28,26,26,true,,
facebook,learna-ai,521600091028761,942533155345913,2026-05-28,27,27,true,,
facebook,learna-ai,521600091028761,1410548130867123,2026-05-28,28,28,true,,
facebook,learna-ai,521600091028761,2018586982340086,2026-05-28,29,29,true,,
facebook,learna-ai,521600091028761,2399819793864244,2026-05-28,30,30,true,,
facebook,learna-ai,521600091028761,26475924438767754,2026-05-28,31,31,true,,
facebook,learna-ai,521600091028761,1289099280053178,2026-05-28,32,32,true,,
facebook,learna-ai,521600091028761,881817237987628,2026-05-28,33,33,true,,
facebook,learna-ai,521600091028761,1555601166570968,2026-05-28,34,34,true,,
facebook,learna-ai,521600091028761,1645668849988230,2026-05-28,35,35,true,,
facebook,learna-ai,521600091028761,2468922803581230,2026-05-28,36,36,true,,
facebook,learna-ai,521600091028761,1557395759143424,2026-05-28,37,37,true,,
facebook,learna-ai,521600091028761,1660283655107406,2026-05-28,38,38,true,,
