pipeline,competitor,bucket_type,bucket,ads,winners,win_ratio
facebook,lingo-ai,weekday,Mon,47,0,0.0
facebook,lingo-ai,weekday,Tue,54,0,0.0
facebook,lingo-ai,weekday,Wed,37,0,0.0
facebook,lingo-ai,weekday,Thu,18,0,0.0
facebook,lingo-ai,weekday,Fri,16,0,0.0
facebook,lingo-ai,weekday,Sat,20,0,0.0
facebook,lingo-ai,weekday,Sun,79,13,0.165
facebook,lingo-ai,day_of_month,7,13,7,0.538
facebook,lingo-ai,day_of_month,11,10,0,0.0
facebook,lingo-ai,day_of_month,12,10,0,0.0
facebook,lingo-ai,day_of_month,13,13,0,0.0
facebook,lingo-ai,day_of_month,14,23,0,0.0
facebook,lingo-ai,day_of_month,15,29,0,0.0
facebook,lingo-ai,day_of_month,16,22,0,0.0
facebook,lingo-ai,day_of_month,17,12,0,0.0
facebook,lingo-ai,day_of_month,18,8,0,0.0
facebook,lingo-ai,day_of_month,19,6,0,0.0
facebook,lingo-ai,day_of_month,20,7,0,0.0
facebook,lingo-ai,day_of_month,21,37,0,0.0
facebook,lingo-ai,day_of_month,22,18,0,0.0
facebook,lingo-ai,day_of_month,23,32,0,0.0
facebook,lingo-ai,day_of_month,24,25,0,0.0
facebook,lingo-ai,day_of_month,31,6,6,1.0
