pipeline,competitor,ad_id,stopped_on,last_seen,first_seen
facebook,lingo-ai,1037746825578538,2026-06-16,2026-06-15,2026-06-15
facebook,lingo-ai,1252728760039239,2026-06-16,2026-06-15,2026-06-15
facebook,lingo-ai,1543351697304303,2026-06-16,2026-06-15,2026-06-15
facebook,lingo-ai,1644228480168526,2026-06-16,2026-06-15,2026-06-15
facebook,lingo-ai,1694390814936925,2026-06-16,2026-06-15,2026-06-15
facebook,lingo-ai,1751335042898746,2026-06-16,2026-06-15,2026-06-15
facebook,lingo-ai,2076473126238898,2026-06-16,2026-06-15,2026-06-15
facebook,lingo-ai,2204277097086348,2026-06-16,2026-06-15,2026-06-15
facebook,lingo-ai,27252840764373165,2026-06-16,2026-06-15,2026-06-15
facebook,lingo-ai,3757029167770745,2026-06-16,2026-06-15,2026-06-15
facebook,lingo-ai,919002281155664,2026-06-16,2026-06-15,2026-06-15
facebook,lingo-ai,963221736695752,2026-06-16,2026-06-15,2026-06-15
facebook,lingo-ai,1476542507850179,2026-06-17,2026-06-16,2026-06-16
facebook,lingo-ai,1672803190595487,2026-06-17,2026-06-16,2026-06-15
facebook,lingo-ai,1716427079431571,2026-06-17,2026-06-16,2026-06-16
facebook,lingo-ai,3046945898830013,2026-06-17,2026-06-16,2026-06-15
facebook,lingo-ai,976364165204208,2026-06-17,2026-06-16,2026-06-16
facebook,lingo-ai,992031523734356,2026-06-17,2026-06-16,2026-06-15
facebook,lingo-ai,1000525612735463,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1006421665187559,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1006749742165873,2026-06-22,2026-06-17,2026-06-16
facebook,lingo-ai,1007541725330421,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1015187231092030,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1025722076570233,2026-06-22,2026-06-17,2026-06-15
facebook,lingo-ai,1050527274067149,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1054584297235889,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1056730870368516,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1164802695815463,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1252728760039239,2026-06-22,2026-06-17,2026-06-15
facebook,lingo-ai,1268852761989800,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1333230688768920,2026-06-22,2026-06-17,2026-06-16
facebook,lingo-ai,1386818953298541,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1388064789801947,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1444573690806212,2026-06-22,2026-06-17,2026-06-15
facebook,lingo-ai,1501331884229139,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1518921700020018,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1520557299602731,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1526326005826589,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1530923368683061,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1537064428044245,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1557158972540606,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1568454698132016,2026-06-22,2026-06-17,2026-06-16
facebook,lingo-ai,1573178924379763,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1589301959391190,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1631602037926060,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1637899393946769,2026-06-22,2026-06-17,2026-06-16
facebook,lingo-ai,1644228480168526,2026-06-22,2026-06-17,2026-06-15
facebook,lingo-ai,1651336692836508,2026-06-22,2026-06-17,2026-06-16
facebook,lingo-ai,1704791477199973,2026-06-22,2026-06-17,2026-06-15
facebook,lingo-ai,1708092980610981,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1772896170361459,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1781578599492452,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1787729085545056,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1795404701807915,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,1977029976261208,2026-06-22,2026-06-17,2026-06-16
facebook,lingo-ai,2025522311379279,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,2032626797461477,2026-06-22,2026-06-17,2026-06-16
facebook,lingo-ai,2065988441018895,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,2076473126238898,2026-06-22,2026-06-17,2026-06-15
facebook,lingo-ai,2168987457218569,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,2200199017412412,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,2204277097086348,2026-06-22,2026-06-17,2026-06-15
facebook,lingo-ai,2214736702613067,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,2217238392444405,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,2388976068265097,2026-06-22,2026-06-17,2026-06-16
facebook,lingo-ai,2450479242113519,2026-06-22,2026-06-17,2026-06-15
facebook,lingo-ai,2506292793150954,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,27252840764373165,2026-06-22,2026-06-17,2026-06-15
facebook,lingo-ai,2741226512911984,2026-06-22,2026-06-17,2026-06-15
facebook,lingo-ai,27595074290086518,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,2942098689488300,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,3315138595335780,2026-06-22,2026-06-17,2026-06-16
facebook,lingo-ai,3663203097153647,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,4042598066038325,2026-06-22,2026-06-17,2026-06-16
facebook,lingo-ai,4245939425660754,2026-06-22,2026-06-17,2026-06-15
facebook,lingo-ai,4383895821853188,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,4472111663072824,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,4538220956421951,2026-06-22,2026-06-17,2026-06-15
facebook,lingo-ai,4576200355997577,2026-06-22,2026-06-17,2026-06-15
facebook,lingo-ai,4687673938174151,2026-06-22,2026-06-17,2026-06-16
facebook,lingo-ai,5100169360209452,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,835085229403559,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,869229706239477,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,869908926163691,2026-06-22,2026-06-17,2026-06-17
facebook,lingo-ai,919002281155664,2026-06-22,2026-06-17,2026-06-15
