pipeline,competitor,script_group_id,group_size,ads,winners,win_ratio,replication_types
facebook,loora,loora-g0000,18,18,5,0.278,exact_replica;original;reworded_replica
facebook,loora,loora-g0001,18,18,7,0.389,exact_replica;original;translation_replica
facebook,loora,loora-g0002,13,13,3,0.231,exact_replica;original;reworded_replica
facebook,loora,loora-g0003,11,11,6,0.545,exact_replica;original
facebook,loora,loora-g0004,5,5,3,0.6,exact_replica;original;reworded_replica
facebook,loora,loora-g0005,5,5,4,0.8,exact_replica;original
facebook,loora,loora-g0006,4,4,2,0.5,exact_replica;original
facebook,loora,loora-g0007,4,4,2,0.5,exact_replica;original
facebook,loora,loora-g0008,3,3,2,0.667,exact_replica;original
facebook,loora,loora-g0009,3,3,1,0.333,exact_replica;original;reworded_replica
facebook,loora,loora-g0010,3,3,2,0.667,exact_replica;original;reworded_replica
facebook,loora,loora-g0011,3,3,0,0.0,exact_replica;original;reworded_replica
facebook,loora,loora-g0012,3,3,0,0.0,exact_replica;original
facebook,loora,loora-g0013,2,2,1,0.5,original;translation_replica
facebook,loora,loora-g0014,2,2,2,1.0,exact_replica;original
facebook,loora,loora-g0015,2,2,2,1.0,exact_replica;original
facebook,loora,loora-g0016,2,2,2,1.0,original;reworded_replica
facebook,loora,loora-g0017,2,2,0,0.0,exact_replica;original
facebook,loora,loora-g0018,1,1,1,1.0,unique
facebook,loora,loora-g0019,1,1,1,1.0,unique
facebook,loora,loora-g0020,1,1,1,1.0,unique
facebook,loora,loora-g0021,1,1,0,0.0,unique
facebook,loora,loora-g0022,1,1,1,1.0,unique
facebook,loora,loora-g0023,1,1,1,1.0,unique
facebook,loora,loora-g0024,1,1,0,0.0,unique
facebook,loora,loora-g0025,1,1,1,1.0,unique
facebook,loora,loora-g0026,1,1,0,0.0,unique
facebook,loora,loora-g0027,1,1,1,1.0,unique
facebook,loora,loora-g0028,1,1,0,0.0,unique
facebook,loora,loora-g0029,1,1,1,1.0,unique
facebook,loora,loora-g0030,1,1,1,1.0,unique
facebook,loora,loora-g0031,1,1,0,0.0,unique
facebook,loora,loora-g0032,1,1,0,0.0,unique
facebook,loora,loora-g0033,1,1,0,0.0,unique
facebook,loora,loora-g0034,1,1,0,0.0,unique
facebook,loora,loora-g0035,1,1,0,0.0,unique
