pipeline,competitor,scrape_date,ads_live,new_ads,new_script_ads,reused_script_ads,stopped_ads,winners_live,win_ratio
facebook,loora,2026-05-27,51,51,51,0,0,39,0.765
facebook,loora,2026-06-04,34,9,5,2,26,31,0.912
facebook,loora,2026-06-11,39,11,1,9,6,35,0.897
facebook,loora,2026-06-12,38,0,0,0,1,34,0.895
facebook,loora,2026-06-13,38,0,0,0,0,34,0.895
facebook,loora,2026-06-14,36,1,0,1,3,33,0.917
facebook,loora,2026-06-15,45,12,3,9,3,37,0.822
facebook,loora,2026-06-16,53,10,2,8,2,42,0.792
facebook,loora,2026-06-17,52,15,0,15,16,32,0.615
facebook,loora,2026-06-22,53,15,2,13,19,41,0.774
facebook,loora,2026-06-23,53,0,0,0,0,41,0.774
facebook,loora,2026-06-24,46,6,0,6,17,36,0.783
facebook,loora,2026-06-25,47,8,1,7,11,44,0.936
facebook,loora,2026-06-26,47,0,0,0,1,44,0.936
facebook,loora,2026-06-28,45,1,0,0,4,44,0.978
facebook,loora,2026-06-29,45,0,0,0,0,44,0.978
facebook,loora,2026-06-30,44,1,0,0,3,43,0.977
facebook,loora,2026-07-01,48,8,0,0,4,46,0.958
facebook,loora,2026-07-02,47,1,0,0,2,45,0.957
facebook,loora,2026-07-03,47,0,0,0,0,45,0.957
facebook,loora,2026-07-04,47,0,0,0,2,45,0.957
facebook,loora,2026-07-05,47,0,0,0,0,45,0.957
facebook,loora,2026-07-06,46,1,0,0,3,44,0.957
facebook,loora,2026-07-07,46,0,0,0,0,44,0.957
facebook,loora,2026-07-08,54,8,0,0,0,44,0.815
facebook,loora,2026-07-09,54,5,0,0,5,40,0.741
facebook,loora,2026-07-10,56,3,0,0,1,40,0.714
facebook,loora,2026-07-11,56,0,0,0,0,40,0.714
facebook,loora,2026-07-12,54,7,0,0,12,37,0.685
facebook,loora,2026-07-13,54,0,0,0,0,37,0.685
facebook,loora,2026-07-14,61,13,0,0,6,33,0.541
facebook,loora,2026-07-15,95,41,0,0,9,28,0.295
facebook,loora,2026-07-16,96,14,0,0,13,26,0.271
facebook,loora,2026-07-17,104,8,0,0,0,26,0.25
