pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,script_group_id,replication_type,variant_role,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,loora,105478174979714,Loora,1286341193458429,Video,English,ai+human,split-screen,mixed,loora-g0000,original,original,2026-05-27,2026-06-04,2,2,2026-04-05,60,False,1,1,1,1,False,True,50,1.0,True,True,False,strong_winner,high
facebook,loora,105478174979714,Loora,2824622157869852,Video,English,ai+human,split-screen,mixed,loora-g0010,exact_replica,replica,2026-05-27,2026-06-15,7,4,2026-05-17,29,False,1,3,1,1,False,True,50,1.0,True,True,False,winner,high
facebook,loora,105478174979714,Loora,1923073918386349,Video,English,ai-avatar-only,talking-head,ai-generated,loora-g0001,translation_replica,replica,2026-05-27,2026-07-23,40,9,2026-02-18,155,False,1,4,2,1,True,False,92,1.0,True,True,False,strong_winner,high
facebook,loora,105478174979714,Loora,1581060787352516,Video,English,ai-avatar-only,talking-head,ai-generated,loora-g0003,exact_replica,replica,2026-05-27,2026-06-29,16,6,2026-05-20,40,False,1,12,1,1,False,True,52,1.0,True,True,False,winner,high
facebook,loora,105478174979714,Loora,3920858908216732,Video,English,ai-avatar-only,talking-head,ai-generated,loora-g0003,exact_replica,replica,2026-05-27,2026-06-11,3,3,2026-05-20,22,False,1,26,5,1,False,True,50,0.667,True,True,False,winner,high
facebook,loora,105478174979714,Loora,887507133689970,Video,English,ai-avatar-only,talking-head,ai-generated,loora-g0001,translation_replica,replica,2026-06-15,2026-07-11,19,4,2026-06-13,28,False,1,43,6,1,False,True,53,0.895,True,True,True,winner,high
facebook,loora,105478174979714,Loora,3847698162037004,Video,,,,,,,,2026-06-30,2026-07-08,9,2,2026-06-13,25,False,1,8,1,1,False,True,53,1.0,True,True,False,winner,high
facebook,loora,105478174979714,Loora,1003207599247646,Video,,,,,,,,2026-07-09,2026-07-21,13,3,2026-06-13,38,False,1,36,25,1,False,True,92,0.462,True,False,False,winner,high
facebook,loora,105478174979714,Loora,26858246627159221,Video,English,ai+human,split-screen,mixed,loora-g0010,original,original,2026-05-27,2026-05-27,1,1,2026-05-20,7,False,2,2,2,2,False,True,50,1.0,True,True,False,loser,low
facebook,loora,105478174979714,Loora,887166504395248,Video,English,ai+human,split-screen,mixed,loora-g0007,exact_replica,replica,2026-06-04,2026-06-17,8,3,2026-05-25,23,False,2,8,4,3,False,True,49,1.0,True,True,False,winner,high
