pipeline,competitor,bucket_type,bucket,ads,winners,win_ratio
facebook,loora,weekday,Mon,91,9,0.099
facebook,loora,weekday,Tue,35,26,0.743
facebook,loora,weekday,Wed,31,17,0.548
facebook,loora,weekday,Thu,3,3,1.0
facebook,loora,weekday,Fri,0,0,0.0
facebook,loora,weekday,Sat,49,39,0.796
facebook,loora,weekday,Sun,39,11,0.282
facebook,loora,day_of_month,2,6,3,0.5
facebook,loora,day_of_month,3,1,1,1.0
facebook,loora,day_of_month,5,1,1,1.0
facebook,loora,day_of_month,6,26,6,0.231
facebook,loora,day_of_month,7,3,0,0.0
facebook,loora,day_of_month,8,2,1,0.5
facebook,loora,day_of_month,9,5,5,1.0
facebook,loora,day_of_month,12,19,8,0.421
facebook,loora,day_of_month,13,89,27,0.303
facebook,loora,day_of_month,14,27,11,0.407
facebook,loora,day_of_month,15,9,0,0.0
facebook,loora,day_of_month,16,10,9,0.9
facebook,loora,day_of_month,17,4,3,0.75
facebook,loora,day_of_month,18,4,1,0.25
facebook,loora,day_of_month,19,2,2,1.0
facebook,loora,day_of_month,20,14,8,0.571
facebook,loora,day_of_month,23,5,3,0.6
facebook,loora,day_of_month,25,5,3,0.6
facebook,loora,day_of_month,27,4,4,1.0
facebook,loora,day_of_month,28,1,1,1.0
facebook,loora,day_of_month,29,11,8,0.727
