pipeline,competitor,page_id,ad_id,scrape_date,page_rank,row_rank,present,page_rank_delta,days_since_prev_obs
facebook,loora,105478174979714,1286341193458429,2026-05-27,1,1,true,,
facebook,loora,105478174979714,1286341193458429,2026-06-04,1,1,true,0,8
facebook,loora,105478174979714,26858246627159221,2026-05-27,2,2,true,,
facebook,loora,105478174979714,2824622157869852,2026-05-27,3,3,true,,
facebook,loora,105478174979714,2824622157869852,2026-06-04,2,2,true,1,8
facebook,loora,105478174979714,1923073918386349,2026-05-27,4,4,true,,
facebook,loora,105478174979714,1923073918386349,2026-06-04,3,3,true,1,8
facebook,loora,105478174979714,989760113647100,2026-05-27,5,5,true,,
facebook,loora,105478174979714,1679747593034871,2026-05-27,6,6,true,,
facebook,loora,105478174979714,1582553446724594,2026-05-27,7,7,true,,
facebook,loora,105478174979714,1582553446724594,2026-06-04,6,6,true,1,8
facebook,loora,105478174979714,2014484739469344,2026-05-27,8,8,true,,
facebook,loora,105478174979714,979523084446611,2026-05-27,9,9,true,,
facebook,loora,105478174979714,1261073506142042,2026-05-27,10,10,true,,
facebook,loora,105478174979714,1261073506142042,2026-06-04,9,9,true,1,8
facebook,loora,105478174979714,1608766093513896,2026-05-27,11,11,true,,
facebook,loora,105478174979714,1608766093513896,2026-06-04,11,11,true,0,8
facebook,loora,105478174979714,1581060787352516,2026-05-27,12,12,true,,
facebook,loora,105478174979714,1581060787352516,2026-06-04,7,7,true,5,8
facebook,loora,105478174979714,26472833265715362,2026-05-27,13,13,true,,
facebook,loora,105478174979714,818640181129690,2026-05-27,14,14,true,,
facebook,loora,105478174979714,987721023705930,2026-05-27,15,15,true,,
facebook,loora,105478174979714,987721023705930,2026-06-04,12,12,true,3,8
facebook,loora,105478174979714,1654898552218834,2026-05-27,16,16,true,,
facebook,loora,105478174979714,1600521857717578,2026-05-27,17,17,true,,
facebook,loora,105478174979714,1600521857717578,2026-06-04,15,15,true,2,8
facebook,loora,105478174979714,1288587726756839,2026-05-27,18,18,true,,
facebook,loora,105478174979714,1288587726756839,2026-06-04,18,18,true,0,8
facebook,loora,105478174979714,920991640802146,2026-05-27,19,19,true,,
facebook,loora,105478174979714,1347418030649936,2026-05-27,20,20,true,,
facebook,loora,105478174979714,1905092613368632,2026-05-27,21,21,true,,
facebook,loora,105478174979714,2257110451487366,2026-05-27,22,22,true,,
facebook,loora,105478174979714,2257110451487366,2026-06-04,20,20,true,2,8
facebook,loora,105478174979714,1890705918285363,2026-05-27,23,23,true,,
facebook,loora,105478174979714,4468359470086868,2026-05-27,24,24,true,,
facebook,loora,105478174979714,1276705914633244,2026-05-27,25,25,true,,
facebook,loora,105478174979714,3920858908216732,2026-05-27,26,26,true,,
facebook,loora,105478174979714,3920858908216732,2026-06-04,5,5,true,21,8
facebook,loora,105478174979714,1619041622509778,2026-05-27,27,27,true,,
facebook,loora,105478174979714,1556620752560045,2026-05-27,28,28,true,,
facebook,loora,105478174979714,1143622754604208,2026-05-27,29,29,true,,
facebook,loora,105478174979714,1143622754604208,2026-06-04,22,22,true,7,8
facebook,loora,105478174979714,1490005112129951,2026-05-27,30,30,true,,
facebook,loora,105478174979714,1490005112129951,2026-06-04,23,23,true,7,8
facebook,loora,105478174979714,2483405618767529,2026-05-27,31,31,true,,
facebook,loora,105478174979714,1412389343988596,2026-05-27,32,32,true,,
facebook,loora,105478174979714,827379027114172,2026-05-27,33,33,true,,
facebook,loora,105478174979714,827379027114172,2026-06-04,25,25,true,8,8
facebook,loora,105478174979714,1466680661478322,2026-05-27,34,34,true,,
facebook,loora,105478174979714,990584049996241,2026-05-27,35,35,true,,
facebook,loora,105478174979714,990584049996241,2026-06-04,24,24,true,11,8
facebook,loora,105478174979714,1332393458836467,2026-05-27,36,36,true,,
facebook,loora,105478174979714,1332393458836467,2026-06-04,27,27,true,9,8
facebook,loora,105478174979714,1651325459631448,2026-05-27,37,37,true,,
facebook,loora,105478174979714,1651325459631448,2026-06-04,28,28,true,9,8
facebook,loora,105478174979714,2816620738678016,2026-05-27,38,38,true,,
facebook,loora,105478174979714,1626068392526827,2026-05-27,39,39,true,,
facebook,loora,105478174979714,1626068392526827,2026-06-04,31,31,true,8,8
facebook,loora,105478174979714,828323076603145,2026-05-27,40,40,true,,
facebook,loora,105478174979714,828323076603145,2026-06-04,29,29,true,11,8
facebook,loora,105478174979714,1208953758961208,2026-05-27,41,41,true,,
facebook,loora,105478174979714,1208953758961208,2026-06-04,16,16,true,25,8
facebook,loora,105478174979714,1000935449552618,2026-05-27,42,42,true,,
facebook,loora,105478174979714,1000935449552618,2026-06-04,13,13,true,29,8
facebook,loora,105478174979714,1743087253793397,2026-05-27,43,43,true,,
facebook,loora,105478174979714,1743087253793397,2026-06-04,21,21,true,22,8
facebook,loora,105478174979714,956413676791922,2026-05-27,44,44,true,,
facebook,loora,105478174979714,4371337003141421,2026-05-27,45,45,true,,
facebook,loora,105478174979714,1861497244534107,2026-05-27,46,46,true,,
facebook,loora,105478174979714,1861497244534107,2026-06-04,33,33,true,13,8
facebook,loora,105478174979714,999353006369035,2026-05-27,47,47,true,,
facebook,loora,105478174979714,1399715815299179,2026-05-27,48,48,true,,
facebook,loora,105478174979714,1399715815299179,2026-06-04,10,10,true,38,8
facebook,loora,105478174979714,1489024535719287,2026-05-27,49,49,true,,
facebook,loora,105478174979714,957241043876808,2026-05-27,50,50,true,,
facebook,loora,936721566182539,3217172991801670,2026-05-27,1,51,true,,
facebook,loora,105478174979714,1758731028824393,2026-06-04,4,4,true,,
facebook,loora,105478174979714,887166504395248,2026-06-04,8,8,true,,
facebook,loora,105478174979714,1009996348169330,2026-06-04,14,14,true,,
facebook,loora,105478174979714,2065316954367727,2026-06-04,17,17,true,,
facebook,loora,105478174979714,1020433583744483,2026-06-04,19,19,true,,
facebook,loora,105478174979714,869185468874772,2026-06-04,26,26,true,,
facebook,loora,105478174979714,1017749350907847,2026-06-04,30,30,true,,
facebook,loora,105478174979714,1546272363585692,2026-06-04,32,32,true,,
facebook,loora,105478174979714,1633635301042962,2026-06-04,34,34,true,,
