pipeline,competitor,page_id,page_name,week,ads_live,new_ads,winners_live,win_ratio
facebook,loora,105478174979714,Loora,2026-05-25,50,50,38,0.76
facebook,loora,105478174979714,Loora,2026-06-01,34,9,31,0.912
facebook,loora,105478174979714,Loora,2026-06-08,39,11,34,0.872
facebook,loora,105478174979714,Loora,2026-06-15,66,34,44,0.667
facebook,loora,105478174979714,Loora,2026-06-22,75,29,60,0.8
facebook,loora,105478174979714,Loora,2026-06-29,57,10,54,0.947
facebook,loora,105478174979714,Loora,2026-07-06,68,21,61,0.897
facebook,loora,105478174979714,Loora,2026-07-13,129,78,52,0.403
facebook,loora,105478174979714,Loora,2026-07-20,92,0,39,0.424
facebook,loora,936721566182539,Loora: AI English Tutor,2026-05-25,1,1,1,1.0
facebook,loora,936721566182539,Loora: AI English Tutor,2026-06-08,1,1,1,1.0
facebook,loora,936721566182539,Loora: AI English Tutor,2026-06-15,4,3,1,0.25
facebook,loora,936721566182539,Loora: AI English Tutor,2026-06-22,2,1,2,1.0
facebook,loora,936721566182539,Loora: AI English Tutor,2026-06-29,1,0,1,1.0
facebook,loora,936721566182539,Loora: AI English Tutor,2026-07-06,4,3,1,0.25
facebook,loora,936721566182539,Loora: AI English Tutor,2026-07-13,16,12,1,0.062
facebook,loora,936721566182539,Loora: AI English Tutor,2026-07-20,16,0,1,0.062
