pipeline,competitor,script_group_id,group_size,ads,winners,win_ratio,replication_types
facebook,mysivi,mysivi-g0000,114,114,49,0.43,character_variant;original;reworded_replica;translation_replica
facebook,mysivi,mysivi-g0001,112,112,64,0.571,exact_replica;original;translation_replica;visual_variant
facebook,mysivi,mysivi-g0002,100,100,48,0.48,exact_replica;original;reworded_replica;translation_replica
facebook,mysivi,mysivi-g0003,67,67,33,0.493,character_variant;exact_replica;original;translation_replica
facebook,mysivi,mysivi-g0004,44,44,25,0.568,exact_replica;original;reworded_replica;translation_replica;visual_variant
facebook,mysivi,mysivi-g0005,38,38,10,0.263,character_variant;exact_replica;original;reworded_replica;translation_replica;visual_variant
facebook,mysivi,mysivi-g0006,36,36,8,0.222,exact_replica;original;reworded_replica;translation_replica
facebook,mysivi,mysivi-g0007,35,35,13,0.371,exact_replica;original;translation_replica
facebook,mysivi,mysivi-g0008,34,34,15,0.441,exact_replica;original;translation_replica
facebook,mysivi,mysivi-g0009,31,31,11,0.355,exact_replica;original;translation_replica
facebook,mysivi,mysivi-g0010,26,26,11,0.423,exact_replica;original;reworded_replica;translation_replica
facebook,mysivi,mysivi-g0011,25,25,11,0.44,exact_replica;original;translation_replica
facebook,mysivi,mysivi-g0012,25,25,12,0.48,exact_replica;original;translation_replica
facebook,mysivi,mysivi-g0013,23,23,11,0.478,exact_replica;original;reworded_replica;translation_replica
facebook,mysivi,mysivi-g0014,21,21,11,0.524,original;translation_replica;visual_variant
facebook,mysivi,mysivi-g0015,21,21,12,0.571,exact_replica;original;translation_replica;visual_variant
facebook,mysivi,mysivi-g0016,21,21,4,0.19,exact_replica;original;translation_replica
facebook,mysivi,mysivi-g0017,20,20,5,0.25,exact_replica;original;translation_replica
facebook,mysivi,mysivi-g0018,19,19,10,0.526,exact_replica;original;translation_replica
facebook,mysivi,mysivi-g0019,19,19,11,0.579,exact_replica;original;reworded_replica;translation_replica
facebook,mysivi,mysivi-g0020,19,19,6,0.316,exact_replica;original;reworded_replica;translation_replica
facebook,mysivi,mysivi-g0021,17,17,6,0.353,exact_replica;original;translation_replica
facebook,mysivi,mysivi-g0022,17,17,10,0.588,exact_replica;original;translation_replica
facebook,mysivi,mysivi-g0023,17,17,3,0.176,exact_replica;original;translation_replica;visual_variant
facebook,mysivi,mysivi-g0024,16,16,9,0.562,exact_replica;original;reworded_replica;translation_replica
