pipeline,competitor,scrape_date,ads_live,new_ads,new_script_ads,reused_script_ads,stopped_ads,winners_live,win_ratio
facebook,mysivi,2026-05-26,1596,1596,1532,0,0,709,0.444
facebook,mysivi,2026-05-27,871,0,0,0,725,242,0.278
facebook,mysivi,2026-05-28,853,0,0,0,677,514,0.603
facebook,mysivi,2026-06-04,1417,242,75,164,355,584,0.412
facebook,mysivi,2026-06-08,155,142,58,84,1406,71,0.458
facebook,mysivi,2026-06-09,1467,25,13,12,23,599,0.408
facebook,mysivi,2026-06-10,1118,81,43,38,431,513,0.459
facebook,mysivi,2026-06-11,1117,0,0,0,1,513,0.459
facebook,mysivi,2026-06-12,370,21,3,18,770,275,0.743
facebook,mysivi,2026-06-13,1112,48,22,26,3,509,0.458
facebook,mysivi,2026-06-14,471,3,0,3,647,340,0.722
facebook,mysivi,2026-06-15,1125,25,12,13,3,507,0.451
facebook,mysivi,2026-06-16,1229,133,76,57,36,497,0.404
facebook,mysivi,2026-06-17,1167,7,4,3,69,497,0.426
facebook,mysivi,2026-06-22,1157,108,43,65,131,481,0.416
