pipeline,competitor,kind,key,ads
facebook,mysivi,status,agree,2010
facebook,mysivi,status,disagree,430
facebook,mysivi,status,copy_only,4
facebook,mysivi,mismatch,audio=Hindi | copy=English,418
facebook,mysivi,mismatch,audio=Telugu | copy=English,4
facebook,mysivi,mismatch,audio=Gujarati | copy=Telugu,2
facebook,mysivi,mismatch,audio=Punjabi | copy=Tamil,1
facebook,mysivi,mismatch,audio=Malayalam | copy=Gujarati,1
facebook,mysivi,mismatch,audio=Tamil | copy=Marathi,1
facebook,mysivi,mismatch,audio=Tamil | copy=Telugu,1
facebook,mysivi,mismatch,audio=Marathi | copy=Kannada,1
facebook,mysivi,mismatch,audio=Malayalam | copy=Marathi,1
