ad_id,language_copy,language_audio,agreement_status,is_codeswitch
1000021972451745,Telugu,Telugu,agree,false
1000169915758853,Malayalam,Malayalam,agree,false
1000224085729870,English,Hindi,disagree,true
1000699919023827,English,Hindi,disagree,true
1000700585621663,Bengali,Bengali,agree,false
1000886632936275,Tamil,Tamil,agree,false
1000945729537948,Tamil,Tamil,agree,false
1001044492454350,Malayalam,Malayalam,agree,false
1001059995777573,Bengali,Bengali,agree,false
1001496475609120,Malayalam,Malayalam,agree,false
1001707738963676,Bengali,Bengali,agree,false
1001757512318941,Bengali,Bengali,agree,false
1001906345650383,Tamil,Tamil,agree,false
1001920132811784,English,Hindi,disagree,true
1002353409457732,Telugu,Telugu,agree,false
1003248342235659,English,Hindi,disagree,true
1003719535314984,English,Hindi,disagree,true
1004438218941464,Tamil,Tamil,agree,false
1004638178631775,Gujarati,Gujarati,agree,false
1004651578734246,Kannada,Kannada,agree,false
1004657832250578,Marathi,Marathi,agree,false
1005003175356379,English,Hindi,disagree,true
1006339081731432,Kannada,Kannada,agree,false
1006527541916464,Telugu,Telugu,agree,false
1007429928523695,English,Hindi,disagree,true
1007842078762414,Tamil,Tamil,agree,false
1007859061967446,Marathi,Marathi,agree,false
1008106691639361,English,Hindi,disagree,true
1008231658224617,Marathi,Marathi,agree,false
1008328898373593,Marathi,Marathi,agree,false
1009047662075206,Tamil,Tamil,agree,false
1009126704917577,Tamil,Tamil,agree,false
1009692828663783,English,Hindi,disagree,true
1010624641345110,Telugu,Telugu,agree,false
1011599144785131,Kannada,Kannada,agree,false
1011678297893214,Gujarati,Gujarati,agree,false
1011849414860904,Marathi,Marathi,agree,false
1011854077861728,Tamil,Tamil,agree,false
1012224571313537,Kannada,Kannada,agree,false
1012816707855134,Kannada,Kannada,agree,false
1013031401115448,Kannada,Kannada,agree,false
1013088271281877,Telugu,Telugu,agree,false
1013466967686150,Marathi,Marathi,agree,false
1013854707885207,Kannada,Kannada,agree,false
1014042748128782,Kannada,Kannada,agree,false
1014733037553692,Malayalam,Malayalam,agree,false
1014801664308233,Telugu,Telugu,agree,false
1015363504486020,English,Hindi,disagree,true
1015907504329532,English,Hindi,disagree,true
1015949454132376,English,Hindi,disagree,true
1016776607368962,Kannada,Kannada,agree,false
1017943474524070,Bengali,Bengali,agree,false
1018784857139748,Gujarati,Gujarati,agree,false
1018987467129308,Tamil,Tamil,agree,false
1019095820441633,Tamil,Tamil,agree,false
1022336593482318,Bengali,Bengali,agree,false
1022434796890840,Kannada,Kannada,agree,false
1022586203666228,Marathi,Marathi,agree,false
1023230697042440,Tamil,Tamil,agree,false
1023669149983656,Kannada,Kannada,agree,false
1025418433476462,Telugu,Telugu,agree,false
1025823893719739,Marathi,Marathi,agree,false
1026794740313685,Telugu,Telugu,agree,false
1030563102970448,Tamil,Tamil,agree,false
1030675609297107,Telugu,Telugu,agree,false
1033265965736570,Telugu,Telugu,agree,false
1034041895626221,English,Hindi,disagree,true
1034306395923315,Marathi,Marathi,agree,false
1034486135715678,Tamil,Tamil,agree,false
1035109305515805,Telugu,Telugu,agree,false
1036584785402285,Tamil,Tamil,agree,false
1036636192124153,Tamil,Tamil,agree,false
1037406932183506,English,Hindi,disagree,true
1037629698588306,English,Hindi,disagree,true
1037814022250953,English,Hindi,disagree,true
1039905945883728,Tamil,Tamil,agree,false
1041331531793186,Kannada,Kannada,agree,false
1044099954803974,Telugu,Telugu,agree,false
1057132903335321,Telugu,Telugu,agree,false
1061382179740833,Marathi,Marathi,agree,false
1061561487050658,English,Hindi,disagree,true
1063692802211225,English,English,agree,false
1066138226590208,Telugu,Telugu,agree,false
1066340023015133,Tamil,Tamil,agree,false
1071218332745359,Telugu,Telugu,agree,false
1087417490926752,Kannada,Kannada,agree,false
1087463254453365,Gujarati,Gujarati,agree,false
1115265437463707,Marathi,Marathi,agree,false
1124450573189262,Telugu,Telugu,agree,false
1126137613014416,Tamil,Tamil,agree,false
1129305642655282,Marathi,Marathi,agree,false
1131534372517442,English,Hindi,disagree,true
1136463338572869,Tamil,Tamil,agree,false
1140292949160917,English,Hindi,disagree,true
1142897134628752,Tamil,Tamil,agree,false
1146573297659532,Gujarati,Gujarati,agree,false
1147796740835407,Telugu,Telugu,agree,false
1148084247404233,English,Hindi,disagree,true
1151663514688025,Tamil,Tamil,agree,false
1153603026847697,Telugu,Gujarati,disagree,true
1155999686642393,Bengali,Bengali,agree,false
1160876739397413,Marathi,Marathi,agree,false
1164966265742950,Telugu,Telugu,agree,false
1169582301967723,English,Hindi,disagree,true
1171865195999146,English,Hindi,disagree,true
1172585451672422,Tamil,Tamil,agree,false
1176164031259480,Marathi,Marathi,agree,false
1180867061766442,Tamil,Tamil,agree,false
1185388110264484,Tamil,Tamil,agree,false
1188908510963474,Malayalam,Malayalam,agree,false
1195821235715911,Bengali,Bengali,agree,false
1197447455800650,Marathi,Marathi,agree,false
1203928548386984,Marathi,Marathi,agree,false
1204258391720574,Gujarati,Gujarati,agree,false
1206186428392911,Malayalam,Malayalam,agree,false
1212127940752948,English,Hindi,disagree,true
1212260880908199,Kannada,Kannada,agree,false
1213229874075179,Gujarati,Gujarati,agree,false
1213393680793399,Telugu,Telugu,agree,false
1216705487077132,Kannada,Kannada,agree,false
1217240273745791,Tamil,Tamil,agree,false
1218021356745535,English,English,agree,false
1219340386634401,English,Hindi,disagree,true
1221948466595673,Tamil,Tamil,agree,false
1223535143082969,English,Hindi,disagree,true
1224292176310292,Telugu,Telugu,agree,false
1224918086193675,Malayalam,Malayalam,agree,false
1227122602738586,Malayalam,Malayalam,agree,false
1227219209350106,Gujarati,Gujarati,agree,false
1228215292748737,English,English,agree,false
1229112135812363,Tamil,Tamil,agree,false
1229290809234566,Bengali,Bengali,agree,false
1232331902298821,English,Hindi,disagree,true
1233755815585440,Tamil,Tamil,agree,false
1234361632112514,Gujarati,Gujarati,agree,false
1234736965404166,Kannada,Kannada,agree,false
1236548948187901,English,Hindi,disagree,true
1236764688618209,Telugu,Telugu,agree,false
1237252241877883,Tamil,Tamil,agree,false
1241079728219299,English,Hindi,disagree,true
1241566174149176,Bengali,Bengali,agree,false
1242366044736854,English,Hindi,disagree,true
1242429531197028,Bengali,Bengali,agree,false
1242823861048522,Marathi,Marathi,agree,false
1242981157906827,Marathi,Marathi,agree,false
1244249980815352,Gujarati,Gujarati,agree,false
1249160150446166,English,Hindi,disagree,true
1249174010524007,Malayalam,Malayalam,agree,false
1249379997383205,English,Hindi,disagree,true
1251362460515133,Telugu,Telugu,agree,false
1251420677073716,Malayalam,Malayalam,agree,false
1254804086634998,Gujarati,Gujarati,agree,false
1255589999874347,Marathi,Marathi,agree,false
1255624560024896,Telugu,Telugu,agree,false
1256964593083627,Gujarati,Gujarati,agree,false
1257639629903436,Marathi,Marathi,agree,false
1257723099480067,Kannada,Kannada,agree,false
1257810376436956,Tamil,Tamil,agree,false
1259351176158549,Tamil,Tamil,agree,false
1259506026253863,Gujarati,Gujarati,agree,false
1259568146280651,Malayalam,Malayalam,agree,false
1260189796267400,Marathi,Marathi,agree,false
1261771975661596,English,English,agree,false
1262752772689545,Malayalam,Malayalam,agree,false
1263262909291174,Malayalam,Malayalam,agree,false
1263491662355958,Kannada,Kannada,agree,false
1264519888531888,Telugu,Telugu,agree,false
1265701665062256,Marathi,Marathi,agree,false
1266779002205775,English,Hindi,disagree,true
1267449912124220,Telugu,Telugu,agree,false
1267559591988783,Malayalam,Malayalam,agree,false
1268071498810975,Gujarati,Gujarati,agree,false
1268336871323861,English,English,agree,false
1268633278781006,Gujarati,Gujarati,agree,false
1269854692007881,Marathi,Marathi,agree,false
1270519995162704,Tamil,Tamil,agree,false
1270525948569198,Telugu,Telugu,agree,false
1270866117980436,English,Hindi,disagree,true
1271807964925842,English,Hindi,disagree,true
1272952361273336,Tamil,Tamil,agree,false
1274548481445067,English,Hindi,disagree,true
1274740634160526,Gujarati,Gujarati,agree,false
1275559221331262,Gujarati,Gujarati,agree,false
1275667777964478,Gujarati,Gujarati,agree,false
1276073134738825,English,Hindi,disagree,true
1276393614386637,Kannada,Kannada,agree,false
1276672411312388,Telugu,Telugu,agree,false
1278151670430640,Gujarati,Gujarati,agree,false
1278191154031620,Tamil,Tamil,agree,false
1278317400866683,English,Hindi,disagree,true
1278473014229905,Malayalam,Malayalam,agree,false
1278792650523442,Marathi,Marathi,agree,false
1279149687664468,Telugu,Telugu,agree,false
1279713767692486,Malayalam,Malayalam,agree,false
1280146903794468,Bengali,Bengali,agree,false
1280510130862115,Telugu,Telugu,agree,false
1280568334271585,Tamil,Tamil,agree,false
1281378333413448,English,English,agree,false
1281842880587780,Gujarati,Gujarati,agree,false
1282839540710742,Marathi,Marathi,agree,false
1284301350495944,Gujarati,Gujarati,agree,false
1284743680391630,English,Hindi,disagree,true
1285279843766771,Tamil,Tamil,agree,false
1285376607017338,Marathi,Marathi,agree,false
1285831290406325,Kannada,Kannada,agree,false
1285990649669186,English,Hindi,disagree,true
1286000256930884,English,Hindi,disagree,true
1286562256396800,Marathi,Marathi,agree,false
1286729530256052,English,Hindi,disagree,true
1287468993306146,Malayalam,Malayalam,agree,false
1287526666918581,English,Hindi,disagree,true
1287652570233234,Marathi,Marathi,agree,false
1287804709503036,Marathi,Marathi,agree,false
1287865029978714,Gujarati,Gujarati,agree,false
1288101293503202,Malayalam,Malayalam,agree,false
1288767583323452,Tamil,Tamil,agree,false
1288945649476800,Tamil,Tamil,agree,false
1289311326649348,Tamil,Tamil,agree,false
1289366703285101,Kannada,Kannada,agree,false
1290413195771674,Marathi,Marathi,agree,false
1291230196517358,Kannada,Kannada,agree,false
1292326936145402,English,Hindi,disagree,true
1292619755641005,Gujarati,Gujarati,agree,false
1293320999431833,Malayalam,Malayalam,agree,false
1293430818987867,English,Hindi,disagree,true
