pipeline,competitor,bucket_type,bucket,ads,winners,win_ratio
facebook,mysivi,weekday,Mon,533,166,0.311
facebook,mysivi,weekday,Tue,344,128,0.372
facebook,mysivi,weekday,Wed,335,148,0.442
facebook,mysivi,weekday,Thu,261,87,0.333
facebook,mysivi,weekday,Fri,393,150,0.382
facebook,mysivi,weekday,Sat,214,99,0.463
facebook,mysivi,weekday,Sun,324,80,0.247
facebook,mysivi,day_of_month,1,63,17,0.27
facebook,mysivi,day_of_month,2,60,14,0.233
facebook,mysivi,day_of_month,3,112,77,0.688
facebook,mysivi,day_of_month,4,53,28,0.528
facebook,mysivi,day_of_month,5,55,33,0.6
facebook,mysivi,day_of_month,6,25,15,0.6
facebook,mysivi,day_of_month,7,104,29,0.279
facebook,mysivi,day_of_month,8,125,76,0.608
facebook,mysivi,day_of_month,9,37,14,0.378
facebook,mysivi,day_of_month,10,83,21,0.253
facebook,mysivi,day_of_month,11,78,40,0.513
facebook,mysivi,day_of_month,12,66,22,0.333
facebook,mysivi,day_of_month,13,62,19,0.306
facebook,mysivi,day_of_month,14,136,16,0.118
facebook,mysivi,day_of_month,15,80,15,0.188
facebook,mysivi,day_of_month,16,80,15,0.188
facebook,mysivi,day_of_month,17,46,24,0.522
facebook,mysivi,day_of_month,18,148,27,0.182
facebook,mysivi,day_of_month,19,55,9,0.164
facebook,mysivi,day_of_month,20,39,18,0.462
facebook,mysivi,day_of_month,21,110,41,0.373
facebook,mysivi,day_of_month,22,59,15,0.254
facebook,mysivi,day_of_month,23,83,43,0.518
facebook,mysivi,day_of_month,24,72,34,0.472
facebook,mysivi,day_of_month,25,197,38,0.193
facebook,mysivi,day_of_month,26,74,22,0.297
facebook,mysivi,day_of_month,27,138,47,0.341
facebook,mysivi,day_of_month,28,44,22,0.5
facebook,mysivi,day_of_month,29,78,34,0.436
facebook,mysivi,day_of_month,30,37,29,0.784
facebook,mysivi,day_of_month,31,5,4,0.8
