pipeline,competitor,page_id,ad_id,scrape_date,page_rank,row_rank,present,page_rank_delta,days_since_prev_obs
facebook,mysivi,104392002393583,1268336871323861,2026-05-26,1,923,true,,
facebook,mysivi,104392002393583,1268336871323861,2026-05-28,1,923,true,0,2
facebook,mysivi,104392002393583,1063692802211225,2026-05-26,2,924,true,,
facebook,mysivi,104392002393583,1063692802211225,2026-05-28,81,1631,true,-79,2
facebook,mysivi,104392002393583,1063692802211225,2026-06-04,1,1243,true,80,7
facebook,mysivi,104392002393583,1063692802211225,2026-06-09,1,1631,true,0,5
facebook,mysivi,104392002393583,1063692802211225,2026-06-10,1,908,true,0,1
facebook,mysivi,104392002393583,1063692802211225,2026-06-11,1,907,true,0,1
facebook,mysivi,104392002393583,1063692802211225,2026-06-12,1,1,true,0,1
facebook,mysivi,104392002393583,1063692802211225,2026-06-13,1,894,true,0,1
facebook,mysivi,104392002393583,1504897837819150,2026-05-26,3,925,true,,
facebook,mysivi,104392002393583,1504897837819150,2026-05-28,82,1632,true,-79,2
facebook,mysivi,104392002393583,1504897837819150,2026-06-04,2,1244,true,80,7
facebook,mysivi,104392002393583,1504897837819150,2026-06-09,2,1632,true,0,5
facebook,mysivi,104392002393583,1504897837819150,2026-06-10,2,909,true,0,1
facebook,mysivi,104392002393583,1504897837819150,2026-06-11,2,908,true,0,1
facebook,mysivi,104392002393583,1504897837819150,2026-06-12,2,2,true,0,1
facebook,mysivi,104392002393583,1504897837819150,2026-06-13,2,895,true,0,1
facebook,mysivi,104392002393583,1650079819366116,2026-05-26,4,926,true,,
facebook,mysivi,104392002393583,1650079819366116,2026-05-28,83,1633,true,-79,2
facebook,mysivi,104392002393583,1650079819366116,2026-06-04,3,1245,true,80,7
facebook,mysivi,104392002393583,1650079819366116,2026-06-09,3,1633,true,0,5
facebook,mysivi,104392002393583,1650079819366116,2026-06-10,3,910,true,0,1
facebook,mysivi,104392002393583,1650079819366116,2026-06-11,3,909,true,0,1
facebook,mysivi,104392002393583,1650079819366116,2026-06-12,3,3,true,0,1
facebook,mysivi,104392002393583,1650079819366116,2026-06-13,3,896,true,0,1
facebook,mysivi,104392002393583,1845750346108706,2026-05-26,5,927,true,,
facebook,mysivi,104392002393583,1845750346108706,2026-05-28,84,1634,true,-79,2
facebook,mysivi,104392002393583,1845750346108706,2026-06-04,4,1246,true,80,7
facebook,mysivi,104392002393583,1845750346108706,2026-06-09,4,1634,true,0,5
facebook,mysivi,104392002393583,1845750346108706,2026-06-10,4,911,true,0,1
facebook,mysivi,104392002393583,1845750346108706,2026-06-11,4,910,true,0,1
facebook,mysivi,104392002393583,1845750346108706,2026-06-12,4,4,true,0,1
facebook,mysivi,104392002393583,1845750346108706,2026-06-13,4,897,true,0,1
facebook,mysivi,104392002393583,919416144130224,2026-05-26,6,928,true,,
facebook,mysivi,104392002393583,919416144130224,2026-05-28,86,1636,true,-80,2
facebook,mysivi,104392002393583,919416144130224,2026-06-04,5,1247,true,81,7
facebook,mysivi,104392002393583,919416144130224,2026-06-09,6,1636,true,-1,5
facebook,mysivi,104392002393583,919416144130224,2026-06-10,6,914,true,0,1
facebook,mysivi,104392002393583,919416144130224,2026-06-11,6,913,true,0,1
facebook,mysivi,104392002393583,919416144130224,2026-06-12,6,6,true,0,1
facebook,mysivi,104392002393583,919416144130224,2026-06-13,6,900,true,0,1
facebook,mysivi,104392002393583,2141955079979520,2026-05-26,7,929,true,,
facebook,mysivi,104392002393583,2141955079979520,2026-05-28,63,1249,true,-56,2
facebook,mysivi,104392002393583,2141955079979520,2026-06-04,7,1249,true,56,7
facebook,mysivi,104392002393583,3471950609648062,2026-05-26,8,930,true,,
facebook,mysivi,104392002393583,3471950609648062,2026-05-28,87,1637,true,-79,2
facebook,mysivi,104392002393583,3471950609648062,2026-06-04,8,1250,true,79,7
facebook,mysivi,104392002393583,3471950609648062,2026-06-09,7,1637,true,1,5
facebook,mysivi,104392002393583,3471950609648062,2026-06-10,7,916,true,0,1
facebook,mysivi,104392002393583,3471950609648062,2026-06-11,7,915,true,0,1
facebook,mysivi,104392002393583,3471950609648062,2026-06-12,7,8,true,0,1
facebook,mysivi,104392002393583,3471950609648062,2026-06-13,7,902,true,0,1
facebook,mysivi,104392002393583,2469306593530142,2026-05-26,9,931,true,,
facebook,mysivi,104392002393583,2469306593530142,2026-05-28,85,1635,true,-76,2
facebook,mysivi,104392002393583,2469306593530142,2026-06-04,6,1248,true,79,7
facebook,mysivi,104392002393583,2469306593530142,2026-06-09,5,1635,true,1,5
facebook,mysivi,104392002393583,2469306593530142,2026-06-10,5,912,true,0,1
facebook,mysivi,104392002393583,2469306593530142,2026-06-11,5,911,true,0,1
facebook,mysivi,104392002393583,2469306593530142,2026-06-12,5,5,true,0,1
facebook,mysivi,104392002393583,2469306593530142,2026-06-13,5,898,true,0,1
facebook,mysivi,104392002393583,1008231658224617,2026-05-26,10,932,true,,
facebook,mysivi,104392002393583,1008231658224617,2026-05-28,2,932,true,8,2
facebook,mysivi,104392002393583,2411773012629776,2026-05-26,11,933,true,,
facebook,mysivi,104392002393583,2411773012629776,2026-05-28,88,1639,true,-77,2
facebook,mysivi,104392002393583,2411773012629776,2026-06-04,10,1252,true,78,7
facebook,mysivi,104392002393583,2411773012629776,2026-06-09,9,1639,true,1,5
facebook,mysivi,104392002393583,2411773012629776,2026-06-10,9,920,true,0,1
facebook,mysivi,104392002393583,2411773012629776,2026-06-11,9,919,true,0,1
facebook,mysivi,104392002393583,2411773012629776,2026-06-12,9,11,true,0,1
facebook,mysivi,104392002393583,2411773012629776,2026-06-13,9,906,true,0,1
facebook,mysivi,104392002393583,2381165805628683,2026-05-26,12,934,true,,
facebook,mysivi,104392002393583,2381165805628683,2026-05-28,64,1254,true,-52,2
facebook,mysivi,104392002393583,2381165805628683,2026-06-04,12,1254,true,52,7
facebook,mysivi,104392002393583,1633513357977227,2026-05-26,13,935,true,,
facebook,mysivi,104392002393583,1633513357977227,2026-05-28,89,1640,true,-76,2
facebook,mysivi,104392002393583,1633513357977227,2026-06-04,11,1253,true,78,7
facebook,mysivi,104392002393583,1633513357977227,2026-06-09,10,1640,true,1,5
facebook,mysivi,104392002393583,1633513357977227,2026-06-10,10,923,true,0,1
facebook,mysivi,104392002393583,1633513357977227,2026-06-11,10,922,true,0,1
facebook,mysivi,104392002393583,1633513357977227,2026-06-12,10,14,true,0,1
facebook,mysivi,104392002393583,1633513357977227,2026-06-13,10,909,true,0,1
facebook,mysivi,104392002393583,2208276953242683,2026-05-26,14,936,true,,
facebook,mysivi,104392002393583,2208276953242683,2026-05-28,90,1641,true,-76,2
facebook,mysivi,104392002393583,2208276953242683,2026-06-04,13,1255,true,77,7
facebook,mysivi,104392002393583,2208276953242683,2026-06-09,11,1641,true,2,5
facebook,mysivi,104392002393583,2208276953242683,2026-06-10,11,924,true,0,1
facebook,mysivi,104392002393583,2208276953242683,2026-06-11,11,923,true,0,1
facebook,mysivi,104392002393583,2208276953242683,2026-06-12,11,15,true,0,1
facebook,mysivi,104392002393583,2208276953242683,2026-06-13,11,910,true,0,1
facebook,mysivi,104392002393583,1260189796267400,2026-05-26,15,937,true,,
facebook,mysivi,104392002393583,1260189796267400,2026-05-28,92,1643,true,-77,2
facebook,mysivi,104392002393583,1260189796267400,2026-06-04,15,1257,true,77,7
facebook,mysivi,104392002393583,1260189796267400,2026-06-09,13,1643,true,2,5
facebook,mysivi,104392002393583,1260189796267400,2026-06-10,13,929,true,0,1
facebook,mysivi,104392002393583,1260189796267400,2026-06-11,13,928,true,0,1
facebook,mysivi,104392002393583,1260189796267400,2026-06-12,13,19,true,0,1
facebook,mysivi,104392002393583,1260189796267400,2026-06-13,13,915,true,0,1
facebook,mysivi,104392002393583,2094961914403268,2026-05-26,16,938,true,,
facebook,mysivi,104392002393583,2094961914403268,2026-05-28,93,1644,true,-77,2
facebook,mysivi,104392002393583,2094961914403268,2026-06-04,16,1258,true,77,7
facebook,mysivi,104392002393583,2094961914403268,2026-06-09,14,1644,true,2,5
