ad_id,page_name,version_count,distinct_start_dates,first_start,last_start,relaunch_span_days,kind,platforms_changed,aspect_changed,destination_changed,cta_changed
1242366044736854,MySivi Spoken English App,7,2,2026-05-18,2026-05-20,2,relaunch,false,false,false,false
1289366703285101,MySivi Spoken English App,7,2,2026-05-18,2026-05-20,2,relaunch,false,false,false,false
1301191668579559,MySivi Spoken English App,7,2,2026-05-18,2026-05-20,2,relaunch,false,false,false,false
1810831836593995,MySivi Spoken English App,7,2,2026-05-18,2026-05-20,2,relaunch,false,false,false,false
2387899661694831,MySivi Spoken English App,7,2,2026-05-18,2026-05-20,2,relaunch,false,false,false,false
26659524697044325,MySivi Spoken English App,7,2,2026-05-18,2026-05-20,2,relaunch,false,false,false,false
1004651578734246,MySivi Spoken English App,6,1,2026-05-18,2026-05-18,,simultaneous_duplicate,false,false,false,false
1006339081731432,MySivi Spoken English App,6,1,2026-05-04,2026-05-04,,simultaneous_duplicate,false,false,false,false
1009126704917577,MySivi - AI English speaking App,6,2,2026-05-23,2026-05-27,4,relaunch,false,false,false,false
1019095820441633,MySivi,6,4,2026-05-16,2026-05-28,12,relaunch,false,false,false,false
1035109305515805,MySivi Spoken English App,6,1,2026-05-18,2026-05-18,,simultaneous_duplicate,false,false,false,false
1039905945883728,MySivi,6,4,2026-05-16,2026-05-28,12,relaunch,false,false,false,false
1129305642655282,MySivi Spoken English App,6,1,2026-05-15,2026-05-15,,simultaneous_duplicate,false,false,false,false
1203928548386984,MySivi Spoken English App,6,1,2026-05-15,2026-05-15,,simultaneous_duplicate,false,false,false,false
1218021356745535,MySivi Spoken English App,6,1,2026-05-04,2026-05-04,,simultaneous_duplicate,false,false,false,false
1264519888531888,MySivi Spoken English App,6,2,2026-03-29,2026-03-30,1,relaunch,false,false,false,false
1280510130862115,MySivi Spoken English App,6,1,2026-05-04,2026-05-04,,simultaneous_duplicate,false,false,false,false
1307849048060522,MySivi Spoken English App,6,1,2026-05-15,2026-05-15,,simultaneous_duplicate,false,false,false,false
1312273210331672,MySivi - AI English speaking App,6,2,2026-05-23,2026-05-27,4,relaunch,false,false,false,false
1325799632693917,MySivi Spoken English App,6,1,2026-05-18,2026-05-18,,simultaneous_duplicate,false,false,false,false
1377415020913215,MySivi Spoken English App,6,1,2026-05-15,2026-05-15,,simultaneous_duplicate,false,false,false,false
1419600269364944,MySivi Spoken English App,6,1,2026-05-18,2026-05-18,,simultaneous_duplicate,false,false,false,false
1455378906628645,MySivi Spoken English App,6,1,2026-05-18,2026-05-18,,simultaneous_duplicate,false,false,false,false
1456489775973937,MySivi Spoken English App,6,1,2026-05-04,2026-05-04,,simultaneous_duplicate,false,false,false,false
1463906051777866,MySivi Spoken English App,6,1,2026-05-18,2026-05-18,,simultaneous_duplicate,false,false,false,false
1471379488011997,MySivi Spoken English App,6,1,2026-03-28,2026-03-28,,simultaneous_duplicate,false,false,false,false
1472728870657417,MySivi Spoken English App,6,1,2026-05-04,2026-05-04,,simultaneous_duplicate,false,false,false,false
1478654923647189,MySivi Spoken English App,6,1,2026-05-15,2026-05-15,,simultaneous_duplicate,false,false,false,false
1487023816479013,MySivi Spoken English App,6,1,2026-05-18,2026-05-18,,simultaneous_duplicate,false,false,false,false
1488914539399319,MySivi Spoken English App,6,1,2026-04-21,2026-04-21,,simultaneous_duplicate,false,false,false,false
1495407728856561,MySivi Spoken English App,6,1,2026-05-04,2026-05-04,,simultaneous_duplicate,false,false,false,false
1499961814988586,MySivi Spoken English App,6,1,2026-05-18,2026-05-18,,simultaneous_duplicate,false,false,false,false
1500805688153912,MySivi Spoken English App,6,1,2026-05-04,2026-05-04,,simultaneous_duplicate,false,false,false,false
1530439098436504,MySivi Spoken English App,6,2,2026-03-29,2026-03-30,1,relaunch,false,false,false,false
1536680921225179,MySivi Spoken English App,6,2,2026-03-29,2026-03-30,1,relaunch,false,false,false,false
1555850109496354,MySivi Spoken English App,6,1,2026-05-18,2026-05-18,,simultaneous_duplicate,false,false,false,false
1594922091609640,MySivi Spoken English App,6,1,2026-05-18,2026-05-18,,simultaneous_duplicate,false,false,false,false
1617673956086851,MySivi Spoken English App,6,1,2026-05-18,2026-05-18,,simultaneous_duplicate,false,false,false,false
1634247687874165,MySivi,6,4,2026-05-16,2026-05-28,12,relaunch,false,false,false,false
1636097347513415,MySivi Spoken English App,6,1,2026-03-28,2026-03-28,,simultaneous_duplicate,false,false,false,false
1638603650681901,MySivi Spoken English App,6,1,2026-04-21,2026-04-21,,simultaneous_duplicate,false,false,false,false
1680723016283648,MySivi Spoken English App,6,1,2026-05-15,2026-05-15,,simultaneous_duplicate,false,false,false,false
1690288165491901,MySivi Spoken English App,6,2,2026-03-29,2026-03-30,1,relaunch,false,false,false,false
1706610454090939,MySivi Spoken English App,6,1,2026-04-21,2026-04-21,,simultaneous_duplicate,false,false,false,false
1721412492564117,MySivi Spoken English App,6,1,2026-05-18,2026-05-18,,simultaneous_duplicate,false,false,false,false
1824308365205197,MySivi Spoken English App,6,1,2026-05-18,2026-05-18,,simultaneous_duplicate,false,false,false,false
