pipeline,competitor,page_id,page_name,week,ads_live,new_ads,winners_live,win_ratio
facebook,mysivi,104392002393583,MySivi,2026-05-25,209,209,149,0.713
facebook,mysivi,104392002393583,MySivi,2026-06-01,175,40,126,0.72
facebook,mysivi,104392002393583,MySivi,2026-06-08,180,25,111,0.617
facebook,mysivi,104392002393583,MySivi,2026-06-15,150,27,91,0.607
facebook,mysivi,1095436856980624,MySivi App,2026-05-25,21,21,21,1.0
facebook,mysivi,1095436856980624,MySivi App,2026-06-01,40,22,23,0.575
facebook,mysivi,1095436856980624,MySivi App,2026-06-08,72,42,23,0.319
facebook,mysivi,1095436856980624,MySivi App,2026-06-15,67,9,21,0.313
facebook,mysivi,775663658968839,MySivi - AI English speaking App,2026-05-25,227,227,161,0.709
facebook,mysivi,775663658968839,MySivi - AI English speaking App,2026-06-01,179,17,127,0.709
facebook,mysivi,775663658968839,MySivi - AI English speaking App,2026-06-08,183,10,122,0.667
facebook,mysivi,775663658968839,MySivi - AI English speaking App,2026-06-15,142,7,103,0.725
facebook,mysivi,942391945633379,MySivi - Learn English in Telugu,2026-05-25,10,10,10,1.0
facebook,mysivi,942391945633379,MySivi - Learn English in Telugu,2026-06-01,3,0,3,1.0
facebook,mysivi,942391945633379,MySivi - Learn English in Telugu,2026-06-08,1,0,1,1.0
facebook,mysivi,942391945633379,MySivi - Learn English in Telugu,2026-06-15,1,0,1,1.0
facebook,mysivi,960932370437481,MySivi - Best English Speaking App,2026-05-25,207,207,124,0.599
facebook,mysivi,960932370437481,MySivi - Best English Speaking App,2026-06-01,190,30,117,0.616
facebook,mysivi,960932370437481,MySivi - Best English Speaking App,2026-06-08,260,78,111,0.427
facebook,mysivi,960932370437481,MySivi - Best English Speaking App,2026-06-15,171,17,90,0.526
facebook,mysivi,974103675777955,MySivi Spoken English App,2026-05-25,922,922,240,0.26
facebook,mysivi,974103675777955,MySivi Spoken English App,2026-06-01,830,133,181,0.218
facebook,mysivi,974103675777955,MySivi Spoken English App,2026-06-08,951,165,182,0.191
facebook,mysivi,974103675777955,MySivi Spoken English App,2026-06-15,741,105,135,0.182
