pipeline,competitor,page_id,ad_id,scrape_date,page_rank,row_rank,present,page_rank_delta,days_since_prev_obs
facebook,praktika-ai,104781132385804,1284146880301102,2026-05-28,1,1,true,,
facebook,praktika-ai,104781132385804,1284146880301102,2026-06-04,1,1,true,0,7
facebook,praktika-ai,104781132385804,1479917686815968,2026-05-28,2,2,true,,
facebook,praktika-ai,104781132385804,1479917686815968,2026-06-04,2,2,true,0,7
facebook,praktika-ai,104781132385804,942282644920761,2026-05-28,3,3,true,,
facebook,praktika-ai,104781132385804,942282644920761,2026-06-04,3,3,true,0,7
facebook,praktika-ai,104781132385804,1000580788969512,2026-05-28,4,4,true,,
facebook,praktika-ai,104781132385804,1000580788969512,2026-06-04,4,4,true,0,7
facebook,praktika-ai,104781132385804,1720222669432418,2026-05-28,5,5,true,,
facebook,praktika-ai,104781132385804,1720222669432418,2026-06-04,5,5,true,0,7
facebook,praktika-ai,104781132385804,2114713116051354,2026-05-28,6,6,true,,
facebook,praktika-ai,104781132385804,2114713116051354,2026-06-04,6,6,true,0,7
facebook,praktika-ai,104781132385804,1481040770146627,2026-05-28,7,7,true,,
facebook,praktika-ai,104781132385804,1481040770146627,2026-06-04,7,7,true,0,7
facebook,praktika-ai,104781132385804,1412613080667553,2026-05-28,8,8,true,,
facebook,praktika-ai,104781132385804,1412613080667553,2026-06-04,8,8,true,0,7
facebook,praktika-ai,104781132385804,1354760609752319,2026-05-28,9,9,true,,
facebook,praktika-ai,104781132385804,1354760609752319,2026-06-04,12,12,true,-3,7
facebook,praktika-ai,104781132385804,975765704980225,2026-05-28,10,10,true,,
facebook,praktika-ai,104781132385804,975765704980225,2026-06-04,9,9,true,1,7
facebook,praktika-ai,104781132385804,874091655660010,2026-05-28,11,11,true,,
facebook,praktika-ai,104781132385804,874091655660010,2026-06-04,11,11,true,0,7
facebook,praktika-ai,104781132385804,993945856457880,2026-05-28,12,12,true,,
