pipeline,competitor,scrape_date,ads_live,new_ads,new_script_ads,reused_script_ads,stopped_ads,winners_live,win_ratio
facebook,pw-talk,2026-06-15,23,23,20,0,0,23,1.0
facebook,pw-talk,2026-06-16,130,107,67,22,0,103,0.792
facebook,pw-talk,2026-06-17,102,11,3,7,39,94,0.922
facebook,pw-talk,2026-06-22,120,20,20,0,2,94,0.783
facebook,pw-talk,2026-06-23,22,0,0,0,98,22,1.0
facebook,pw-talk,2026-06-24,119,15,0,0,0,88,0.739
facebook,pw-talk,2026-06-25,107,8,0,0,21,78,0.729
facebook,pw-talk,2026-06-26,125,2,0,0,4,91,0.728
facebook,pw-talk,2026-06-27,109,6,0,0,22,87,0.798
facebook,pw-talk,2026-06-29,112,11,0,0,8,92,0.821
facebook,pw-talk,2026-06-30,116,1,0,0,4,93,0.802
facebook,pw-talk,2026-07-01,113,0,0,0,3,92,0.814
facebook,pw-talk,2026-07-02,98,2,0,0,17,90,0.918
facebook,pw-talk,2026-07-03,97,4,0,0,7,91,0.938
facebook,pw-talk,2026-07-04,103,6,0,0,0,95,0.922
facebook,pw-talk,2026-07-06,107,7,0,0,4,93,0.869
facebook,pw-talk,2026-07-07,100,12,0,0,21,83,0.83
facebook,pw-talk,2026-07-08,98,0,0,0,3,83,0.847
facebook,pw-talk,2026-07-09,98,2,0,0,2,82,0.837
facebook,pw-talk,2026-07-10,98,1,0,0,2,81,0.827
facebook,pw-talk,2026-07-11,97,1,0,0,3,81,0.835
facebook,pw-talk,2026-07-12,107,11,0,0,1,81,0.757
facebook,pw-talk,2026-07-13,106,1,0,0,2,81,0.764
facebook,pw-talk,2026-07-14,100,5,0,0,12,75,0.75
facebook,pw-talk,2026-07-15,97,0,0,0,3,74,0.763
facebook,pw-talk,2026-07-16,89,3,0,0,12,71,0.798
facebook,pw-talk,2026-07-17,78,0,0,0,12,60,0.769
