pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,script_group_id,replication_type,variant_role,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,pw-talk,631251720065425,PW Talk,2349362925531593,Image,,,,,,,,2026-06-15,2026-06-16,2,1,2026-03-04,104,False,1,1,1,1,False,True,130,1.0,True,True,False,strong_winner,high
facebook,pw-talk,631251720065425,PW Talk,1668604657811317,Image,,,,,,,,2026-06-15,2026-06-25,7,2,2026-05-18,38,False,1,2,2,2,True,False,130,1.0,True,True,False,winner,high
facebook,pw-talk,631251720065425,PW Talk,1542662291202539,Video,Hindi,human-only,text-on-screen-only,human-recorded,pw-talk-g0001,original,original,2026-06-15,2026-06-25,7,2,2026-05-20,36,False,1,3,1,1,True,False,130,1.0,True,True,False,winner,high
facebook,pw-talk,631251720065425,PW Talk,2118422772240776,Video,unknown,none,text-on-screen-only,mixed,pw-talk-g0057,unique,original,2026-06-15,2026-06-25,7,2,2026-03-26,91,False,3,5,3,3,True,False,130,1.0,True,True,False,strong_winner,high
facebook,pw-talk,631251720065425,PW Talk,1324708162884438,Video,Hindi,human-only,other,human-recorded,pw-talk-g0022,original,original,2026-06-15,2026-06-16,2,1,2026-04-26,51,False,4,4,4,4,False,True,130,1.0,True,True,False,strong_winner,high
facebook,pw-talk,631251720065425,PW Talk,1281960683918283,Video,Hindi,human-only,split-screen,human-recorded,pw-talk-g0000,visual_variant,replica,2026-06-15,2026-06-25,7,2,2026-05-05,51,False,4,6,4,4,True,False,130,1.0,True,True,False,strong_winner,high
facebook,pw-talk,631251720065425,PW Talk,1007300494972391,Video,Hindi,human-only,talking-head,human-recorded,pw-talk-g0029,unique,original,2026-06-15,2026-06-25,7,2,2026-05-03,53,False,5,8,5,5,True,False,130,0.857,True,True,False,strong_winner,high
facebook,pw-talk,631251720065425,PW Talk,956692124024564,Video,Hindi,human-only,split-screen,human-recorded,pw-talk-g0000,visual_variant,replica,2026-06-15,2026-06-25,7,2,2026-05-21,35,False,6,9,6,7,True,False,130,0.857,True,True,False,winner,high
facebook,pw-talk,631251720065425,PW Talk,1616029346132773,Image,,,,,,,,2026-06-15,2026-06-25,7,2,2026-05-27,29,False,6,17,9,6,True,False,130,0.714,True,True,False,winner,high
facebook,pw-talk,631251720065425,PW Talk,1724197118748377,Video,Hindi,ai+human,skit-narrative,mixed,pw-talk-g0016,original,original,2026-06-15,2026-06-16,2,1,2026-05-05,42,False,7,7,7,7,False,True,130,0.5,True,True,False,winner,high
facebook,pw-talk,631251720065425,PW Talk,1023770803552722,Video,Hindi,ai+human,talking-head,mixed,pw-talk-g0078,unique,original,2026-06-15,2026-06-25,7,2,2026-05-17,39,False,7,10,8,9,True,False,130,0.714,True,True,False,winner,high
facebook,pw-talk,631251720065425,PW Talk,941613088747926,Video,Hindi,human-only,split-screen,human-recorded,pw-talk-g0000,visual_variant,replica,2026-06-15,2026-06-25,7,2,2026-05-14,42,False,8,11,11,11,True,False,130,0.714,True,True,False,winner,high
facebook,pw-talk,631251720065425,PW Talk,982593771083391,Video,Hindi,human-only,split-screen,human-recorded,pw-talk-g0002,original,original,2026-06-15,2026-06-25,7,2,2026-05-24,32,False,8,13,9,8,True,False,130,0.714,True,True,False,winner,high
facebook,pw-talk,631251720065425,PW Talk,1545545373757343,Video,Hindi,human-only,split-screen,human-recorded,pw-talk-g0009,original,original,2026-06-15,2026-06-22,4,2,2026-05-17,36,False,10,12,11,10,False,True,130,0.75,True,True,False,winner,high
facebook,pw-talk,631251720065425,PW Talk,794561180289136,Video,Hindi,human-only,text-on-screen-only,human-recorded,pw-talk-g0001,reworded_replica,replica,2026-06-17,2026-06-25,5,2,2026-06-08,17,False,10,24,12,10,True,False,120,0.8,True,True,False,winner,high
facebook,pw-talk,631251720065425,PW Talk,1271072245182250,Video,Hindi,human-only,talking-head,human-recorded,pw-talk-g0000,original,original,2026-06-15,2026-06-25,7,2,2026-05-21,35,False,11,19,12,12,True,False,130,0.714,True,True,False,winner,high
facebook,pw-talk,631251720065425,PW Talk,954609790259093,Video,Hindi,human-only,skit-narrative,human-recorded,pw-talk-g0017,exact_replica,replica,2026-06-15,2026-06-25,7,2,2026-04-19,67,False,12,15,14,14,True,False,130,0.714,True,True,False,strong_winner,high
facebook,pw-talk,631251720065425,PW Talk,1656226372193192,Video,Hindi,human-only,other,human-recorded,pw-talk-g0022,exact_replica,replica,2026-06-17,2026-06-25,5,2,2026-05-04,52,False,13,14,13,13,True,False,120,0.8,True,True,False,strong_winner,high
facebook,pw-talk,631251720065425,PW Talk,1470471397608970,Video,Hindi,human-only,skit-narrative,human-recorded,pw-talk-g0079,unique,original,2026-06-15,2026-06-16,2,1,2026-05-20,27,False,14,14,14,14,False,True,130,0.5,True,True,False,winner,high
facebook,pw-talk,631251720065425,PW Talk,1459802412348522,Video,Hindi,human-only,skit-narrative,human-recorded,pw-talk-g0010,original,original,2026-06-15,2026-06-25,7,2,2026-03-04,113,False,14,18,15,15,True,False,130,0.714,True,True,False,strong_winner,high
