pipeline,competitor,bucket_type,bucket,ads,winners,win_ratio
facebook,pw-talk,weekday,Mon,21,12,0.571
facebook,pw-talk,weekday,Tue,29,26,0.897
facebook,pw-talk,weekday,Wed,20,15,0.75
facebook,pw-talk,weekday,Thu,31,16,0.516
facebook,pw-talk,weekday,Fri,40,11,0.275
facebook,pw-talk,weekday,Sat,5,3,0.6
facebook,pw-talk,weekday,Sun,15,14,0.933
facebook,pw-talk,day_of_month,1,2,2,1.0
facebook,pw-talk,day_of_month,2,8,8,1.0
facebook,pw-talk,day_of_month,3,8,5,0.625
facebook,pw-talk,day_of_month,4,18,14,0.778
facebook,pw-talk,day_of_month,5,12,5,0.417
facebook,pw-talk,day_of_month,6,2,1,0.5
facebook,pw-talk,day_of_month,7,11,8,0.727
facebook,pw-talk,day_of_month,8,7,1,0.143
facebook,pw-talk,day_of_month,9,1,1,1.0
facebook,pw-talk,day_of_month,10,2,1,0.5
facebook,pw-talk,day_of_month,11,7,0,0.0
facebook,pw-talk,day_of_month,12,1,0,0.0
facebook,pw-talk,day_of_month,13,1,0,0.0
facebook,pw-talk,day_of_month,14,11,6,0.545
facebook,pw-talk,day_of_month,15,11,6,0.545
facebook,pw-talk,day_of_month,16,4,4,1.0
facebook,pw-talk,day_of_month,17,3,3,1.0
facebook,pw-talk,day_of_month,18,2,2,1.0
facebook,pw-talk,day_of_month,19,24,4,0.167
facebook,pw-talk,day_of_month,20,2,2,1.0
facebook,pw-talk,day_of_month,21,4,4,1.0
facebook,pw-talk,day_of_month,24,5,5,1.0
facebook,pw-talk,day_of_month,25,3,3,1.0
facebook,pw-talk,day_of_month,26,8,8,1.0
facebook,pw-talk,day_of_month,27,1,1,1.0
facebook,pw-talk,day_of_month,28,2,2,1.0
facebook,pw-talk,day_of_month,30,1,1,1.0
