pipeline,competitor,page_id,ad_id,scrape_date,page_rank,row_rank,present,page_rank_delta,days_since_prev_obs
facebook,pw-talk,631251720065425,2349362925531593,2026-06-15,1,1,true,,
facebook,pw-talk,631251720065425,2349362925531593,2026-06-16,1,1,true,0,1
facebook,pw-talk,631251720065425,1668604657811317,2026-06-15,2,2,true,,
facebook,pw-talk,631251720065425,1668604657811317,2026-06-16,2,2,true,0,1
facebook,pw-talk,631251720065425,1542662291202539,2026-06-15,3,4,true,,
facebook,pw-talk,631251720065425,1542662291202539,2026-06-16,3,5,true,0,1
facebook,pw-talk,631251720065425,1324708162884438,2026-06-15,4,6,true,,
facebook,pw-talk,631251720065425,1324708162884438,2026-06-16,4,7,true,0,1
facebook,pw-talk,631251720065425,2118422772240776,2026-06-15,5,8,true,,
facebook,pw-talk,631251720065425,2118422772240776,2026-06-16,5,9,true,0,1
facebook,pw-talk,631251720065425,1281960683918283,2026-06-15,6,9,true,,
facebook,pw-talk,631251720065425,1281960683918283,2026-06-16,6,10,true,0,1
facebook,pw-talk,631251720065425,1724197118748377,2026-06-15,7,10,true,,
facebook,pw-talk,631251720065425,1724197118748377,2026-06-16,7,11,true,0,1
facebook,pw-talk,631251720065425,1007300494972391,2026-06-15,8,11,true,,
facebook,pw-talk,631251720065425,1007300494972391,2026-06-16,8,13,true,0,1
facebook,pw-talk,631251720065425,956692124024564,2026-06-15,9,12,true,,
facebook,pw-talk,631251720065425,956692124024564,2026-06-16,9,14,true,0,1
facebook,pw-talk,631251720065425,1023770803552722,2026-06-15,10,13,true,,
facebook,pw-talk,631251720065425,1023770803552722,2026-06-16,10,15,true,0,1
facebook,pw-talk,631251720065425,941613088747926,2026-06-15,11,15,true,,
facebook,pw-talk,631251720065425,941613088747926,2026-06-16,11,18,true,0,1
facebook,pw-talk,631251720065425,1545545373757343,2026-06-15,12,16,true,,
facebook,pw-talk,631251720065425,1545545373757343,2026-06-16,12,19,true,0,1
facebook,pw-talk,631251720065425,982593771083391,2026-06-15,13,17,true,,
facebook,pw-talk,631251720065425,982593771083391,2026-06-16,13,21,true,0,1
facebook,pw-talk,631251720065425,1470471397608970,2026-06-15,14,18,true,,
facebook,pw-talk,631251720065425,1470471397608970,2026-06-16,14,23,true,0,1
facebook,pw-talk,631251720065425,954609790259093,2026-06-15,15,19,true,,
facebook,pw-talk,631251720065425,954609790259093,2026-06-16,15,24,true,0,1
facebook,pw-talk,631251720065425,2147829419384950,2026-06-15,16,22,true,,
facebook,pw-talk,631251720065425,2147829419384950,2026-06-16,16,27,true,0,1
facebook,pw-talk,631251720065425,1616029346132773,2026-06-15,17,23,true,,
facebook,pw-talk,631251720065425,1616029346132773,2026-06-16,17,29,true,0,1
facebook,pw-talk,631251720065425,1459802412348522,2026-06-15,18,25,true,,
