pipeline,competitor,script_group_id,original_ad_id,original_first_seen,replica_ad_id,replication_type,replica_first_seen,days_to_replica,original_is_winner,replica_is_winner
facebook,pw-talk,pw-talk-g0000,1542662291202539,2026-06-15,1290451376083367,exact_replica,2026-06-16,1,True,True
facebook,pw-talk,pw-talk-g0000,1542662291202539,2026-06-15,1551214316696728,reworded_replica,2026-06-16,1,True,False
facebook,pw-talk,pw-talk-g0000,1542662291202539,2026-06-15,1673722073879679,reworded_replica,2026-06-16,1,True,False
facebook,pw-talk,pw-talk-g0000,1542662291202539,2026-06-15,4032411253724650,reworded_replica,2026-06-16,1,True,False
facebook,pw-talk,pw-talk-g0000,1542662291202539,2026-06-15,856074337114553,visual_variant,2026-06-16,1,True,False
facebook,pw-talk,pw-talk-g0000,1542662291202539,2026-06-15,794561180289136,reworded_replica,2026-06-17,2,True,True
facebook,pw-talk,pw-talk-g0001,1271072245182250,2026-06-15,1281960683918283,visual_variant,2026-06-15,0,True,True
facebook,pw-talk,pw-talk-g0001,1271072245182250,2026-06-15,941613088747926,visual_variant,2026-06-15,0,True,True
facebook,pw-talk,pw-talk-g0001,1271072245182250,2026-06-15,1538536904371801,visual_variant,2026-06-16,1,True,True
facebook,pw-talk,pw-talk-g0001,1271072245182250,2026-06-15,2012900123438878,visual_variant,2026-06-16,1,True,True
facebook,pw-talk,pw-talk-g0001,1271072245182250,2026-06-15,26910824648598388,visual_variant,2026-06-16,1,True,True
facebook,pw-talk,pw-talk-g0002,982593771083391,2026-06-15,873558985758115,visual_variant,2026-06-16,1,True,True
facebook,pw-talk,pw-talk-g0002,982593771083391,2026-06-15,1513314403857875,reworded_replica,2026-06-16,1,True,False
facebook,pw-talk,pw-talk-g0002,982593771083391,2026-06-15,1694533281791470,visual_variant,2026-06-16,1,True,True
facebook,pw-talk,pw-talk-g0002,982593771083391,2026-06-15,990621093352631,reworded_replica,2026-06-16,1,True,True
facebook,pw-talk,pw-talk-g0002,982593771083391,2026-06-15,1586731656353958,reworded_replica,2026-06-16,1,True,False
facebook,pw-talk,pw-talk-g0003,1165795875730721,2026-06-22,1545955853653859,reworded_replica,2026-06-22,0,False,False
facebook,pw-talk,pw-talk-g0003,1165795875730721,2026-06-22,1337220371117503,reworded_replica,2026-06-22,0,False,False
facebook,pw-talk,pw-talk-g0003,1165795875730721,2026-06-22,1833591784277010,reworded_replica,2026-06-22,0,False,False
facebook,pw-talk,pw-talk-g0004,1017025177512749,2026-06-16,2490566491402542,reworded_replica,2026-06-16,0,True,True
facebook,pw-talk,pw-talk-g0004,1017025177512749,2026-06-16,1343483664648943,reworded_replica,2026-06-16,0,True,True
facebook,pw-talk,pw-talk-g0005,1244804194191792,2026-06-16,1410583254158330,reworded_replica,2026-06-16,0,True,True
facebook,pw-talk,pw-talk-g0005,1244804194191792,2026-06-16,1477133837198003,reworded_replica,2026-06-17,1,True,True
facebook,pw-talk,pw-talk-g0006,1359488312753507,2026-06-16,1922940892437204,exact_replica,2026-06-16,0,True,True
