pipeline,competitor,ad_id,stopped_on,last_seen,first_seen
facebook,pw-talk,1001221348906871,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1017507954054005,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1290451376083367,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1319141779549945,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1324708162884438,2026-06-17,2026-06-16,2026-06-15
facebook,pw-talk,1378914400744740,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1410583254158330,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1448807829637445,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1470471397608970,2026-06-17,2026-06-16,2026-06-15
facebook,pw-talk,1484396486622158,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1504396264684384,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1512309166936625,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1513314403857875,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1519683533536266,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1532066918300938,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1558063979656305,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1586731656353958,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1675659863710761,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1682356512961435,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1716360766456463,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1716593546422400,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1724197118748377,2026-06-17,2026-06-16,2026-06-15
facebook,pw-talk,2044839999773285,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,2099085243988558,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,2147829419384950,2026-06-17,2026-06-16,2026-06-15
facebook,pw-talk,2152190968965147,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,2261387548010517,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,2349362925531593,2026-06-17,2026-06-16,2026-06-15
facebook,pw-talk,2927738817566830,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,35616055594707499,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,718234571379170,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,823893853913277,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,824600273417843,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,829706806169021,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,863233420161856,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,874203262356382,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,955183070649190,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,958573573586121,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,993346566991575,2026-06-17,2026-06-16,2026-06-16
facebook,pw-talk,1427890712476618,2026-06-22,2026-06-17,2026-06-16
facebook,pw-talk,1543899037311006,2026-06-22,2026-06-17,2026-06-16
facebook,pw-talk,1002363505662165,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1005508155503187,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1017025177512749,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1021255273973673,2026-06-23,2026-06-22,2026-06-17
facebook,pw-talk,1032008312493950,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1165795875730721,2026-06-23,2026-06-22,2026-06-22
facebook,pw-talk,1175933374295559,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1244804194191792,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1248192480570431,2026-06-23,2026-06-22,2026-06-17
facebook,pw-talk,1274208157485689,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1279844364134321,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1282891997259604,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1285399016659666,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1305202587874367,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1313145004338868,2026-06-23,2026-06-22,2026-06-22
facebook,pw-talk,1319590739598224,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1331709948907806,2026-06-23,2026-06-22,2026-06-22
facebook,pw-talk,1337220371117503,2026-06-23,2026-06-22,2026-06-22
facebook,pw-talk,1343483664648943,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1359488312753507,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1364636219033957,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1379701207397707,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1380779020740039,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1383764603589213,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1383947583494215,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1398691244996445,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1419619376634665,2026-06-23,2026-06-22,2026-06-17
facebook,pw-talk,1440487231130234,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1459063862660451,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1476773330606036,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1477133837198003,2026-06-23,2026-06-22,2026-06-17
facebook,pw-talk,1477576483809130,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1481417903730539,2026-06-23,2026-06-22,2026-06-22
facebook,pw-talk,1500684418055839,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1529619835340866,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1538536904371801,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1545545373757343,2026-06-23,2026-06-22,2026-06-15
facebook,pw-talk,1545955853653859,2026-06-23,2026-06-22,2026-06-22
facebook,pw-talk,1550607903145461,2026-06-23,2026-06-22,2026-06-22
facebook,pw-talk,1551214316696728,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1557206485797910,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1569659958009913,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1610948496652199,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1629149148185749,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1656555158970509,2026-06-23,2026-06-22,2026-06-22
facebook,pw-talk,1656820212211156,2026-06-23,2026-06-22,2026-06-22
facebook,pw-talk,1671362184120151,2026-06-23,2026-06-22,2026-06-22
facebook,pw-talk,1673722073879679,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1685794299537493,2026-06-23,2026-06-22,2026-06-16
facebook,pw-talk,1694533281791470,2026-06-23,2026-06-22,2026-06-16
