pipeline,competitor,page_id,ad_id,scrape_date,page_rank,row_rank,present,page_rank_delta,days_since_prev_obs
facebook,speak,743138162511061,25882090461493760,2026-05-28,1,1,true,,
facebook,speak,743138162511061,25882090461493760,2026-06-04,1,1,true,0,7
facebook,speak,743138162511061,1238368295046433,2026-05-28,2,2,true,,
facebook,speak,743138162511061,2170052253789462,2026-05-28,3,3,true,,
facebook,speak,743138162511061,2170052253789462,2026-06-04,2,2,true,1,7
facebook,speak,743138162511061,1737116637460752,2026-05-28,4,4,true,,
facebook,speak,743138162511061,1737116637460752,2026-06-04,3,3,true,1,7
facebook,speak,743138162511061,27198260846527222,2026-05-28,5,6,true,,
facebook,speak,743138162511061,27198260846527222,2026-06-04,5,5,true,0,7
facebook,speak,743138162511061,731083580063013,2026-05-28,6,7,true,,
facebook,speak,743138162511061,731083580063013,2026-06-04,7,7,true,-1,7
facebook,speak,743138162511061,1014965510961636,2026-05-28,7,8,true,,
facebook,speak,743138162511061,1014965510961636,2026-06-04,9,9,true,-2,7
facebook,speak,743138162511061,2473979766370375,2026-05-28,8,9,true,,
facebook,speak,743138162511061,2473979766370375,2026-06-04,10,10,true,-2,7
facebook,speak,743138162511061,1701531751026756,2026-05-28,9,10,true,,
facebook,speak,743138162511061,1701531751026756,2026-06-04,11,11,true,-2,7
facebook,speak,743138162511061,1458988538822614,2026-05-28,10,11,true,,
facebook,speak,743138162511061,1458988538822614,2026-06-04,12,12,true,-2,7
facebook,speak,743138162511061,1381189664067994,2026-05-28,11,12,true,,
facebook,speak,743138162511061,1728329911488147,2026-05-28,12,13,true,,
facebook,speak,743138162511061,1728329911488147,2026-06-04,19,19,true,-7,7
facebook,speak,743138162511061,1353108060017678,2026-05-28,13,14,true,,
facebook,speak,743138162511061,1353108060017678,2026-06-04,8,8,true,5,7
facebook,speak,743138162511061,954544950886774,2026-05-28,14,15,true,,
facebook,speak,743138162511061,954544950886774,2026-06-04,15,15,true,-1,7
facebook,speak,743138162511061,1459044325509397,2026-05-28,15,16,true,,
facebook,speak,743138162511061,1459044325509397,2026-06-04,6,6,true,9,7
facebook,speak,743138162511061,1731875244916286,2026-05-28,16,17,true,,
facebook,speak,743138162511061,1731875244916286,2026-06-04,13,13,true,3,7
facebook,speak,743138162511061,1315610390528605,2026-05-28,17,19,true,,
facebook,speak,743138162511061,1315610390528605,2026-06-04,20,20,true,-3,7
facebook,speak,743138162511061,971630758595083,2026-05-28,18,20,true,,
facebook,speak,743138162511061,1431358325413228,2026-05-28,19,21,true,,
facebook,speak,743138162511061,1431358325413228,2026-06-04,17,17,true,2,7
facebook,speak,743138162511061,1699549754571814,2026-05-28,20,22,true,,
facebook,speak,743138162511061,1699549754571814,2026-06-04,18,18,true,2,7
facebook,speak,743138162511061,1994036307985218,2026-05-28,21,23,true,,
facebook,speak,743138162511061,1994036307985218,2026-06-04,16,16,true,5,7
facebook,speak,743138162511061,1527948802075470,2026-05-28,22,25,true,,
facebook,speak,743138162511061,1527948802075470,2026-06-04,25,25,true,-3,7
facebook,speak,743138162511061,1692183028792505,2026-05-28,23,27,true,,
facebook,speak,743138162511061,963114753265377,2026-05-28,24,28,true,,
facebook,speak,743138162511061,3639471726218225,2026-05-28,25,29,true,,
facebook,speak,743138162511061,3639471726218225,2026-06-04,27,27,true,-2,7
facebook,speak,743138162511061,1750514052992301,2026-05-28,26,30,true,,
facebook,speak,743138162511061,1526088325833343,2026-05-28,27,31,true,,
facebook,speak,743138162511061,1526088325833343,2026-06-04,14,14,true,13,7
facebook,speak,743138162511061,1497558391753436,2026-05-28,28,32,true,,
facebook,speak,743138162511061,1237623024926992,2026-05-28,29,34,true,,
facebook,speak,743138162511061,1237623024926992,2026-06-04,24,24,true,5,7
facebook,speak,743138162511061,26844934468466719,2026-05-28,30,35,true,,
facebook,speak,743138162511061,26844934468466719,2026-06-04,38,38,true,-8,7
facebook,speak,743138162511061,1523144502676799,2026-05-28,31,36,true,,
facebook,speak,743138162511061,1523144502676799,2026-06-04,21,21,true,10,7
facebook,speak,743138162511061,926050050454542,2026-05-28,32,37,true,,
facebook,speak,743138162511061,3426091624211762,2026-05-28,33,38,true,,
facebook,speak,743138162511061,1651238326152859,2026-05-28,34,39,true,,
facebook,speak,743138162511061,1651238326152859,2026-06-04,32,32,true,2,7
facebook,speak,743138162511061,1348645673773158,2026-05-28,35,40,true,,
facebook,speak,743138162511061,1348645673773158,2026-06-04,42,42,true,-7,7
facebook,speak,743138162511061,1631344354644181,2026-05-28,36,43,true,,
facebook,speak,743138162511061,813112935206331,2026-05-28,37,44,true,,
facebook,speak,743138162511061,813112935206331,2026-06-04,36,36,true,1,7
facebook,speak,743138162511061,969631819183911,2026-05-28,38,45,true,,
facebook,speak,743138162511061,1625798825194325,2026-05-28,39,46,true,,
facebook,speak,743138162511061,1625798825194325,2026-06-04,22,22,true,17,7
facebook,speak,743138162511061,27007737625513293,2026-05-28,40,47,true,,
facebook,speak,743138162511061,27007737625513293,2026-06-04,44,46,true,-4,7
facebook,speak,743138162511061,965070629748830,2026-05-28,41,48,true,,
facebook,speak,743138162511061,965070629748830,2026-06-04,40,40,true,1,7
facebook,speak,743138162511061,1482528716403353,2026-05-28,42,49,true,,
facebook,speak,743138162511061,2059028512164597,2026-05-28,43,50,true,,
facebook,speak,743138162511061,4483210248618458,2026-05-28,44,51,true,,
facebook,speak,743138162511061,1413369150102613,2026-05-28,45,53,true,,
facebook,speak,743138162511061,1295423046096386,2026-05-28,46,54,true,,
facebook,speak,743138162511061,1286078293146147,2026-05-28,47,55,true,,
facebook,speak,743138162511061,1286078293146147,2026-06-04,56,58,true,-9,7
facebook,speak,743138162511061,1657190205561543,2026-05-28,48,56,true,,
facebook,speak,743138162511061,1657190205561543,2026-06-04,57,59,true,-9,7
facebook,speak,743138162511061,1857250851632659,2026-05-28,49,57,true,,
facebook,speak,743138162511061,1857250851632659,2026-06-04,50,52,true,-1,7
facebook,speak,743138162511061,1626716812148492,2026-05-28,50,58,true,,
facebook,speak,743138162511061,2823444601337495,2026-05-28,51,59,true,,
facebook,speak,743138162511061,1337075441626226,2026-05-28,52,60,true,,
facebook,speak,743138162511061,1337075441626226,2026-06-04,31,31,true,21,7
facebook,speak,743138162511061,24896239910073608,2026-05-28,53,61,true,,
facebook,speak,743138162511061,24896239910073608,2026-06-04,55,57,true,-2,7
facebook,speak,743138162511061,1715817009412475,2026-05-28,54,62,true,,
facebook,speak,743138162511061,1715817009412475,2026-06-04,61,63,true,-7,7
facebook,speak,743138162511061,1759999045317511,2026-05-28,55,63,true,,
facebook,speak,743138162511061,1759999045317511,2026-06-04,39,39,true,16,7
facebook,speak,743138162511061,1933938703991551,2026-05-28,56,64,true,,
facebook,speak,743138162511061,1996291235096782,2026-05-28,57,66,true,,
facebook,speak,743138162511061,1996291235096782,2026-06-04,30,30,true,27,7
facebook,speak,743138162511061,954332070740654,2026-05-28,58,68,true,,
facebook,speak,743138162511061,954332070740654,2026-06-04,62,64,true,-4,7
facebook,speak,743138162511061,965608739652462,2026-05-28,59,69,true,,
facebook,speak,743138162511061,965608739652462,2026-06-04,26,26,true,33,7
facebook,speak,743138162511061,1674727800523495,2026-05-28,60,70,true,,
facebook,speak,743138162511061,1674727800523495,2026-06-04,60,62,true,0,7
facebook,speak,743138162511061,936410945889239,2026-05-28,61,72,true,,
facebook,speak,743138162511061,936410945889239,2026-06-04,45,47,true,16,7
facebook,speak,743138162511061,858464849948887,2026-05-28,62,73,true,,
facebook,speak,743138162511061,858464849948887,2026-06-04,67,69,true,-5,7
facebook,speak,743138162511061,1172656642590234,2026-05-28,63,74,true,,
facebook,speak,743138162511061,1172656642590234,2026-06-04,70,72,true,-7,7
facebook,speak,743138162511061,2128995570996017,2026-05-28,64,75,true,,
facebook,speak,743138162511061,2128995570996017,2026-06-04,65,67,true,-1,7
facebook,speak,743138162511061,1482466190280727,2026-05-28,65,76,true,,
facebook,speak,743138162511061,1482466190280727,2026-06-04,68,70,true,-3,7
facebook,speak,743138162511061,1465638521606571,2026-05-28,66,77,true,,
facebook,speak,743138162511061,988288340843948,2026-05-28,67,78,true,,
facebook,speak,743138162511061,988288340843948,2026-06-04,69,71,true,-2,7
facebook,speak,743138162511061,25409986105366420,2026-05-28,68,79,true,,
facebook,speak,743138162511061,25409986105366420,2026-06-04,74,76,true,-6,7
facebook,speak,743138162511061,1642222820336005,2026-05-28,69,80,true,,
facebook,speak,743138162511061,1642222820336005,2026-06-04,66,68,true,3,7
facebook,speak,743138162511061,1886610845355906,2026-05-28,70,81,true,,
facebook,speak,743138162511061,1886610845355906,2026-06-04,54,56,true,16,7
facebook,speak,743138162511061,1632931487992113,2026-05-28,71,82,true,,
facebook,speak,743138162511061,1317452730449790,2026-05-28,72,83,true,,
facebook,speak,743138162511061,1317452730449790,2026-06-04,81,83,true,-9,7
facebook,speak,743138162511061,2846515679049452,2026-05-28,73,84,true,,
facebook,speak,743138162511061,2846515679049452,2026-06-04,48,50,true,25,7
facebook,speak,743138162511061,1506378631042028,2026-05-28,74,85,true,,
facebook,speak,743138162511061,1506378631042028,2026-06-04,80,82,true,-6,7
facebook,speak,743138162511061,4367602336785958,2026-05-28,75,86,true,,
facebook,speak,743138162511061,1499783705182426,2026-05-28,76,87,true,,
facebook,speak,743138162511061,1518059543244673,2026-05-28,77,88,true,,
facebook,speak,743138162511061,1518059543244673,2026-06-04,95,97,true,-18,7
facebook,speak,743138162511061,996511729496681,2026-05-28,78,89,true,,
facebook,speak,743138162511061,1388506709834515,2026-05-28,79,90,true,,
facebook,speak,743138162511061,1388506709834515,2026-06-04,86,88,true,-7,7
