pipeline,competitor,script_group_id,group_size,ads,winners,win_ratio,replication_types
facebook,speakeasy,speakeasy-g0000,9,9,3,0.333,original;reworded_replica;translation_replica;visual_variant
facebook,speakeasy,speakeasy-g0001,9,9,0,0.0,character_variant;original;reworded_replica;visual_variant
facebook,speakeasy,speakeasy-g0002,9,9,3,0.333,exact_replica;original;reworded_replica;translation_replica
facebook,speakeasy,speakeasy-g0003,7,7,1,0.143,exact_replica;original;reworded_replica;translation_replica
facebook,speakeasy,speakeasy-g0004,7,7,0,0.0,exact_replica;original;reworded_replica;translation_replica
facebook,speakeasy,speakeasy-g0005,6,6,0,0.0,original;translation_replica
facebook,speakeasy,speakeasy-g0006,5,5,1,0.2,original;reworded_replica
facebook,speakeasy,speakeasy-g0007,5,5,1,0.2,character_variant;original;reworded_replica
facebook,speakeasy,speakeasy-g0008,5,5,1,0.2,original;reworded_replica;translation_replica
facebook,speakeasy,speakeasy-g0009,4,4,1,0.25,original;reworded_replica
facebook,speakeasy,speakeasy-g0010,4,4,1,0.25,original;reworded_replica
facebook,speakeasy,speakeasy-g0011,4,4,2,0.5,original;reworded_replica
facebook,speakeasy,speakeasy-g0012,4,4,1,0.25,original;visual_variant
facebook,speakeasy,speakeasy-g0013,4,4,1,0.25,original;reworded_replica
facebook,speakeasy,speakeasy-g0014,3,3,2,0.667,exact_replica;original;reworded_replica
facebook,speakeasy,speakeasy-g0015,3,3,2,0.667,character_variant;original;reworded_replica
facebook,speakeasy,speakeasy-g0016,3,3,1,0.333,original;translation_replica
facebook,speakeasy,speakeasy-g0017,3,3,1,0.333,original;translation_replica
facebook,speakeasy,speakeasy-g0018,3,3,0,0.0,original;reworded_replica
facebook,speakeasy,speakeasy-g0019,3,3,0,0.0,original;reworded_replica
facebook,speakeasy,speakeasy-g0020,2,2,1,0.5,original;reworded_replica
facebook,speakeasy,speakeasy-g0021,2,2,0,0.0,original;reworded_replica
facebook,speakeasy,speakeasy-g0022,2,2,2,1.0,original;reworded_replica
facebook,speakeasy,speakeasy-g0023,2,2,0,0.0,original;reworded_replica
facebook,speakeasy,speakeasy-g0024,2,2,1,0.5,original;reworded_replica
facebook,speakeasy,speakeasy-g0025,2,2,1,0.5,original;visual_variant
facebook,speakeasy,speakeasy-g0026,2,2,0,0.0,original;reworded_replica
facebook,speakeasy,speakeasy-g0027,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0028,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0029,2,2,0,0.0,original;reworded_replica
facebook,speakeasy,speakeasy-g0030,2,2,0,0.0,original;reworded_replica
facebook,speakeasy,speakeasy-g0031,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0032,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0033,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0034,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0035,2,2,0,0.0,original;reworded_replica
facebook,speakeasy,speakeasy-g0036,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0037,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0038,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0039,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0040,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0041,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0042,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0043,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0044,2,2,0,0.0,original;reworded_replica
facebook,speakeasy,speakeasy-g0045,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0046,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0047,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0048,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0049,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0050,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0051,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0052,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0053,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0054,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0055,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0056,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0057,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0058,2,2,0,0.0,character_variant;original
facebook,speakeasy,speakeasy-g0059,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0060,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0061,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0062,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0063,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0064,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0065,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0066,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0067,2,2,0,0.0,original;translation_replica
facebook,speakeasy,speakeasy-g0068,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0069,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0070,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0071,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0072,2,2,0,0.0,original;translation_replica
facebook,speakeasy,speakeasy-g0073,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0074,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0075,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0076,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0077,2,2,0,0.0,original;translation_replica
facebook,speakeasy,speakeasy-g0078,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0079,2,2,0,0.0,exact_replica;original
facebook,speakeasy,speakeasy-g0080,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0081,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0082,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0083,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0084,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0085,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0086,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0087,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0088,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0089,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0090,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0091,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0092,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0093,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0094,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0095,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0096,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0097,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0098,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0099,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0100,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0101,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0102,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0103,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0104,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0105,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0106,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0107,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0108,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0109,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0110,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0111,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0112,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0113,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0114,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0115,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0116,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0117,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0118,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0119,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0120,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0121,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0122,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0123,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0124,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0125,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0126,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0127,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0128,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0129,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0130,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0131,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0132,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0133,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0134,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0135,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0136,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0137,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0138,1,1,1,1.0,unique
facebook,speakeasy,speakeasy-g0139,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0140,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0141,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0142,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0143,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0144,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0145,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0146,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0147,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0148,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0149,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0150,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0151,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0152,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0153,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0154,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0155,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0156,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0157,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0158,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0159,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0160,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0161,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0162,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0163,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0164,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0165,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0166,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0167,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0168,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0169,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0170,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0171,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0172,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0173,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0174,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0175,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0176,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0177,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0178,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0179,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0180,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0181,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0182,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0183,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0184,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0185,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0186,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0187,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0188,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0189,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0190,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0191,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0192,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0193,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0194,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0195,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0196,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0197,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0198,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0199,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0200,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0201,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0202,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0203,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0204,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0205,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0206,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0207,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0208,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0209,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0210,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0211,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0212,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0213,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0214,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0215,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0216,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0217,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0218,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0219,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0220,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0221,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0222,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0223,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0224,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0225,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0226,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0227,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0228,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0229,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0230,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0231,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0232,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0233,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0234,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0235,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0236,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0237,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0238,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0239,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0240,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0241,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0242,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0243,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0244,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0245,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0246,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0247,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0248,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0249,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0250,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0251,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0252,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0253,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0254,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0255,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0256,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0257,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0258,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0259,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0260,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0261,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0262,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0263,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0264,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0265,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0266,1,1,0,0.0,unique
facebook,speakeasy,speakeasy-g0267,1,1,0,0.0,unique
