pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,script_group_id,replication_type,variant_role,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,speakeasy,1055960967600140,English Learning App,2096925954204563,Video,Hindi,ai+human,skit-narrative,ai-generated,speakeasy-g0003,reworded_replica,replica,2026-06-22,2026-06-30,8,2,2026-05-17,44,False,1,1,1,1,True,False,210,1.0,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,972795661907348,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0006,reworded_replica,replica,2026-06-22,2026-06-30,8,2,2026-04-28,63,False,2,2,2,2,True,False,210,1.0,True,True,False,strong_winner,high
facebook,speakeasy,1055960967600140,English Learning App,2202456460521928,Video,Hindi,ai-avatar-only,talking-head,ai-generated,speakeasy-g0088,unique,original,2026-06-22,2026-06-30,8,2,2026-05-05,56,False,3,3,3,3,True,False,210,1.0,True,True,False,strong_winner,high
facebook,speakeasy,1055960967600140,English Learning App,1960351544672313,Video,Hindi,ai+human,skit-narrative,mixed,speakeasy-g0082,unique,original,2026-06-22,2026-06-23,2,1,2026-05-16,38,False,4,4,4,4,False,True,111,1.0,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,1350528533804193,Video,Hindi,ai+human,skit-narrative,ai-generated,speakeasy-g0056,unique,original,2026-06-22,2026-06-30,8,2,2026-05-07,54,False,4,5,5,5,True,False,210,1.0,True,True,False,strong_winner,high
facebook,speakeasy,1055960967600140,English Learning App,1329522652574885,Video,Hindi,ai+human,skit-narrative,mixed,speakeasy-g0002,reworded_replica,replica,2026-06-22,2026-06-30,8,2,2026-05-20,41,False,4,6,5,4,True,False,210,1.0,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,2046215799301881,Video,Hindi,human-only,split-screen,human-recorded,speakeasy-g0011,reworded_replica,replica,2026-06-22,2026-06-29,7,2,2026-05-02,58,False,6,7,6,6,False,True,210,1.0,True,True,False,strong_winner,high
facebook,speakeasy,1055960967600140,English Learning App,2230483907768260,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0020,original,original,2026-06-22,2026-06-30,8,2,2026-05-27,34,False,6,9,8,6,True,False,210,0.875,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,832059772860621,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0001,reworded_replica,replica,2026-06-22,2026-06-27,6,1,2026-05-18,40,False,7,8,8,8,False,True,210,1.0,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,27190213957294951,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0008,original,original,2026-06-22,2026-06-30,8,2,2026-06-07,23,False,7,15,9,7,True,False,210,0.875,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,979539158020932,Video,Hindi,ai+human,split-screen,ai-generated,speakeasy-g0006,reworded_replica,replica,2026-06-22,2026-06-30,8,2,2026-05-19,42,False,8,12,10,8,True,False,210,0.875,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,1003649275414638,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0001,original,original,2026-06-22,2026-06-30,8,2,2026-05-20,41,False,9,13,11,9,True,False,210,0.875,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,2502975900173757,Video,Hindi,ai+human,skit-narrative,mixed,speakeasy-g0007,original,original,2026-06-22,2026-06-23,2,1,2026-05-23,31,False,10,10,10,10,False,True,111,0.5,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,2443549536146368,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0090,unique,original,2026-06-22,2026-06-30,8,2,2026-05-20,41,False,10,16,12,10,True,False,210,0.875,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,1515028196659572,Video,unknown,none,text-on-screen-only,human-recorded,speakeasy-g0062,unique,original,2026-06-22,2026-06-30,8,2,2026-06-07,23,False,11,23,18,11,True,False,210,0.875,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,1586155146379829,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0064,unique,original,2026-06-22,2026-06-29,7,2,2026-06-02,27,False,12,21,16,12,False,True,210,0.857,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,1004243468673350,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0010,original,original,2026-06-22,2026-06-30,8,2,2026-05-29,32,False,12,22,18,12,True,False,210,0.875,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,1709927423521021,Video,Hindi,ai+human,skit-narrative,mixed,speakeasy-g0012,original,original,2026-06-22,2026-06-23,2,1,2026-05-23,31,False,13,14,14,14,False,True,111,0.5,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,947802114906536,Video,Hindi,ai+human,skit-narrative,ai-generated,speakeasy-g0003,exact_replica,replica,2026-06-22,2026-06-30,8,2,2026-05-31,30,False,13,19,13,13,True,False,210,0.875,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,1366251452036374,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0016,reworded_replica,replica,2026-06-22,2026-06-23,2,1,2026-06-02,21,False,14,15,14,15,False,True,111,0.5,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,933307746352020,Video,Hindi,voiceover-only,other,ai-generated,speakeasy-g0100,unique,original,2026-06-22,2026-06-30,8,2,2026-05-29,32,False,14,18,15,14,True,False,210,0.875,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,989566713658308,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0010,exact_replica,replica,2026-06-22,2026-06-29,7,2,2026-05-29,31,False,15,19,17,17,False,True,210,0.857,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,1990549078495400,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0014,original,original,2026-06-22,2026-06-30,8,2,2026-06-07,23,False,15,27,22,15,True,False,210,0.875,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,1715366832977862,Video,Hindi,ai+human,talking-head,mixed,speakeasy-g0070,unique,original,2026-06-22,2026-06-30,8,2,2026-06-10,20,False,16,31,22,16,True,False,210,0.75,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,1836498971087758,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0078,unique,original,2026-06-22,2026-06-30,8,2,2026-05-13,48,False,17,21,18,17,True,False,210,0.875,True,True,False,strong_winner,high
facebook,speakeasy,1055960967600140,English Learning App,1459277669338335,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0001,reworded_replica,replica,2026-06-22,2026-06-30,8,2,2026-06-07,23,False,18,29,24,18,True,False,210,0.75,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,27025689503764135,Video,Hindi,ai+human,skit-narrative,mixed,speakeasy-g0021,original,original,2026-06-22,2026-06-29,7,2,2026-06-02,27,False,19,26,20,19,False,True,210,0.857,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,1528971672204383,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0018,original,original,2026-06-22,2026-06-30,7,2,2026-06-08,22,False,19,30,25,19,True,False,210,0.857,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,1509000537534731,Video,Hindi,ai-avatar-only,split-screen,ai-generated,speakeasy-g0061,unique,original,2026-06-22,2026-06-30,6,2,2026-06-09,21,False,20,41,26,20,True,False,210,0.667,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,1921299865193505,Video,Hindi,ai+human,skit-narrative,ai-generated,speakeasy-g0003,original,original,2026-06-22,2026-06-29,7,2,2026-05-31,29,False,21,26,23,22,False,True,210,0.857,True,True,False,winner,high
facebook,speakeasy,1055960967600140,English Learning App,1697445064905391,Video,Hindi,ai+human,split-screen,mixed,speakeasy-g0068,unique,original,2026-06-22,2026-06-30,7,2,2026-06-09,21,False,21,35,27,21,True,False,210,0.714,True,True,False,winner,high
