pipeline,competitor,bucket_type,bucket,ads,winners,win_ratio
facebook,speakeasy,weekday,Mon,33,11,0.333
facebook,speakeasy,weekday,Tue,78,12,0.154
facebook,speakeasy,weekday,Wed,93,9,0.097
facebook,speakeasy,weekday,Thu,76,1,0.013
facebook,speakeasy,weekday,Fri,3,3,1.0
facebook,speakeasy,weekday,Sat,19,4,0.211
facebook,speakeasy,weekday,Sun,107,12,0.112
facebook,speakeasy,day_of_month,1,3,3,1.0
facebook,speakeasy,day_of_month,2,6,6,1.0
facebook,speakeasy,day_of_month,5,1,1,1.0
facebook,speakeasy,day_of_month,7,8,8,1.0
facebook,speakeasy,day_of_month,8,25,5,0.2
facebook,speakeasy,day_of_month,9,6,4,0.667
facebook,speakeasy,day_of_month,10,5,4,0.8
facebook,speakeasy,day_of_month,11,2,0,0.0
facebook,speakeasy,day_of_month,13,1,1,1.0
facebook,speakeasy,day_of_month,16,15,1,0.067
facebook,speakeasy,day_of_month,17,16,1,0.062
facebook,speakeasy,day_of_month,18,8,3,0.375
facebook,speakeasy,day_of_month,19,1,1,1.0
facebook,speakeasy,day_of_month,20,3,3,1.0
facebook,speakeasy,day_of_month,21,41,0,0.0
facebook,speakeasy,day_of_month,22,2,0,0.0
facebook,speakeasy,day_of_month,23,52,2,0.038
facebook,speakeasy,day_of_month,24,68,0,0.0
facebook,speakeasy,day_of_month,25,68,0,0.0
facebook,speakeasy,day_of_month,27,16,1,0.062
facebook,speakeasy,day_of_month,28,55,1,0.018
facebook,speakeasy,day_of_month,29,3,3,1.0
facebook,speakeasy,day_of_month,31,4,4,1.0
