pipeline,competitor,script_group_id,group_size,ads,winners,win_ratio,replication_types
facebook,speakx,speakx-g0000,9,9,3,0.333,exact_replica;original;translation_replica
facebook,speakx,speakx-g0001,7,7,2,0.286,exact_replica;original;reworded_replica;translation_replica
facebook,speakx,speakx-g0002,5,5,1,0.2,original;reworded_replica
facebook,speakx,speakx-g0003,5,5,1,0.2,exact_replica;original;reworded_replica;translation_replica
facebook,speakx,speakx-g0004,5,5,2,0.4,original;reworded_replica
facebook,speakx,speakx-g0005,4,4,0,0.0,exact_replica;original;reworded_replica
facebook,speakx,speakx-g0006,4,4,0,0.0,exact_replica;original;reworded_replica
facebook,speakx,speakx-g0007,4,4,1,0.25,exact_replica;original;translation_replica
facebook,speakx,speakx-g0008,4,4,0,0.0,exact_replica;original;reworded_replica
facebook,speakx,speakx-g0009,4,4,0,0.0,exact_replica;original
facebook,speakx,speakx-g0010,4,4,1,0.25,exact_replica;original;translation_replica
facebook,speakx,speakx-g0011,3,3,1,0.333,exact_replica;original
facebook,speakx,speakx-g0012,3,3,1,0.333,exact_replica;original
facebook,speakx,speakx-g0013,3,3,1,0.333,exact_replica;original
facebook,speakx,speakx-g0014,3,3,1,0.333,exact_replica;original;translation_replica
facebook,speakx,speakx-g0015,3,3,2,0.667,exact_replica;original
facebook,speakx,speakx-g0016,3,3,1,0.333,exact_replica;original
facebook,speakx,speakx-g0017,3,3,0,0.0,exact_replica;original
facebook,speakx,speakx-g0018,2,2,2,1.0,original;reworded_replica
facebook,speakx,speakx-g0019,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0020,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0021,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0022,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0023,2,2,0,0.0,original;reworded_replica
facebook,speakx,speakx-g0024,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0025,2,2,1,0.5,original;reworded_replica
facebook,speakx,speakx-g0026,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0027,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0028,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0029,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0030,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0031,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0032,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0033,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0034,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0035,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0036,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0037,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0038,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0039,2,2,1,0.5,original;reworded_replica
facebook,speakx,speakx-g0040,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0041,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0042,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0043,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0044,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0045,2,2,1,0.5,original;reworded_replica
facebook,speakx,speakx-g0046,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0047,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0048,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0049,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0050,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0051,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0052,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0053,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0054,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0055,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0056,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0057,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0058,2,2,1,0.5,original;reworded_replica
facebook,speakx,speakx-g0059,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0060,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0061,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0062,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0063,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0064,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0065,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0066,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0067,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0068,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0069,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0070,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0071,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0072,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0073,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0074,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0075,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0076,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0077,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0078,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0079,2,2,0,0.0,exact_replica;original
facebook,speakx,speakx-g0080,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0081,2,2,1,0.5,exact_replica;original
facebook,speakx,speakx-g0082,2,2,0,0.0,exact_replica;original
