pipeline,competitor,scrape_date,ads_live,new_ads,new_script_ads,reused_script_ads,stopped_ads,winners_live,win_ratio
facebook,speakx,2026-05-26,189,189,188,0,0,137,0.725
facebook,speakx,2026-06-04,170,134,48,86,153,128,0.753
facebook,speakx,2026-06-11,184,55,11,40,41,133,0.723
facebook,speakx,2026-06-12,223,47,18,26,8,154,0.691
facebook,speakx,2026-06-13,241,19,9,9,1,156,0.647
facebook,speakx,2026-06-14,230,0,0,0,13,154,0.67
facebook,speakx,2026-06-15,229,1,0,1,2,154,0.672
facebook,speakx,2026-06-16,228,0,0,0,3,156,0.684
facebook,speakx,2026-06-17,253,28,18,10,3,165,0.652
facebook,speakx,2026-06-22,159,3,1,2,99,130,0.818
facebook,speakx,2026-06-23,194,35,29,2,0,130,0.67
facebook,speakx,2026-06-24,193,27,3,24,28,121,0.627
facebook,speakx,2026-06-25,191,0,0,0,2,120,0.628
facebook,speakx,2026-06-26,229,39,13,26,1,119,0.52
facebook,speakx,2026-06-28,238,17,0,17,8,115,0.483
facebook,speakx,2026-06-29,169,6,0,6,75,108,0.639
facebook,speakx,2026-06-30,199,32,22,10,2,108,0.543
