pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,script_group_id,replication_type,variant_role,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,speakx,104428871316786,SpeakX English,2170637817088886,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2026-02-19,96,False,1,1,1,1,False,True,57,1.0,True,True,False,strong_winner,high
facebook,speakx,104428871316786,SpeakX English,1483250163405257,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2026-02-23,92,False,2,2,2,2,False,True,57,1.0,True,True,False,strong_winner,high
facebook,speakx,104428871316786,SpeakX English,1531687464577242,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2026-02-19,96,False,3,3,3,3,False,True,57,1.0,True,True,False,strong_winner,high
facebook,speakx,104428871316786,SpeakX English,1598934404482182,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2026-02-19,96,False,4,4,4,4,False,True,57,1.0,True,True,False,strong_winner,high
facebook,speakx,104428871316786,SpeakX English,1573817090586316,Carousel,,,,,,,,2026-05-26,2026-05-26,1,1,2026-04-11,45,False,5,5,5,5,False,True,57,1.0,True,True,False,winner,high
facebook,speakx,104428871316786,SpeakX English,931936369278461,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2026-02-24,91,False,6,6,6,6,False,True,57,1.0,True,True,False,strong_winner,high
facebook,speakx,104428871316786,SpeakX English,1030503980140114,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2026-02-23,92,False,7,7,7,7,False,True,57,1.0,True,True,False,strong_winner,high
facebook,speakx,104428871316786,SpeakX English,884905214442278,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2026-02-24,91,False,8,8,8,8,False,True,57,1.0,True,True,False,strong_winner,high
facebook,speakx,104428871316786,SpeakX English,880800171143322,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2025-11-27,180,False,9,9,9,9,False,True,57,1.0,True,True,False,strong_winner,high
facebook,speakx,104428871316786,SpeakX English,1511111056828106,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2025-12-08,169,False,10,10,10,10,False,True,57,1.0,True,True,False,strong_winner,high
facebook,speakx,104428871316786,SpeakX English,1606416436942554,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2026-02-19,96,False,11,11,11,11,False,True,57,1.0,False,True,False,strong_winner,high
facebook,speakx,104428871316786,SpeakX English,954809496875720,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2026-02-24,91,False,12,12,12,12,False,True,57,1.0,False,True,False,strong_winner,high
facebook,speakx,104428871316786,SpeakX English,4438025873093504,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2025-12-08,169,False,13,13,13,13,False,True,57,1.0,False,True,False,strong_winner,high
facebook,speakx,104428871316786,SpeakX English,1384125720047598,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2025-11-27,180,False,14,14,14,14,False,True,57,1.0,False,True,False,strong_winner,high
facebook,speakx,104428871316786,SpeakX English,1569837701108499,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2025-11-28,179,False,15,15,15,15,False,True,57,1.0,False,True,False,strong_winner,high
facebook,speakx,104428871316786,SpeakX English,25689263567435851,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2026-02-19,96,False,16,16,16,16,False,True,57,0.0,False,False,False,loser,low
facebook,speakx,104428871316786,SpeakX English,1598944374618214,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2025-11-27,180,False,17,17,17,17,False,True,57,0.0,False,False,False,loser,low
facebook,speakx,104428871316786,SpeakX English,1857730538277430,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2026-02-23,92,False,18,18,18,18,False,True,57,0.0,False,False,False,loser,low
facebook,speakx,104428871316786,SpeakX English,937087548666909,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2026-02-24,91,False,19,19,19,19,False,True,57,0.0,False,False,False,loser,low
facebook,speakx,104428871316786,SpeakX English,767982765971645,Video,,,,,,,,2026-05-26,2026-05-26,1,1,2026-02-24,91,False,20,20,20,20,False,True,57,0.0,False,False,False,loser,low
