pipeline,competitor,bucket_type,bucket,ads,winners,win_ratio
facebook,speakx,weekday,Mon,150,110,0.733
facebook,speakx,weekday,Tue,71,51,0.718
facebook,speakx,weekday,Wed,81,17,0.21
facebook,speakx,weekday,Thu,86,43,0.5
facebook,speakx,weekday,Fri,45,20,0.444
facebook,speakx,weekday,Sat,16,14,0.875
facebook,speakx,weekday,Sun,45,4,0.089
facebook,speakx,day_of_month,1,100,87,0.87
facebook,speakx,day_of_month,2,31,27,0.871
facebook,speakx,day_of_month,3,15,4,0.267
facebook,speakx,day_of_month,4,9,1,0.111
facebook,speakx,day_of_month,5,16,5,0.312
facebook,speakx,day_of_month,6,2,1,0.5
facebook,speakx,day_of_month,7,15,7,0.467
facebook,speakx,day_of_month,8,10,9,0.9
facebook,speakx,day_of_month,9,4,3,0.75
facebook,speakx,day_of_month,10,53,0,0.0
facebook,speakx,day_of_month,11,12,1,0.083
facebook,speakx,day_of_month,12,4,0,0.0
facebook,speakx,day_of_month,14,3,0,0.0
facebook,speakx,day_of_month,15,50,13,0.26
facebook,speakx,day_of_month,16,17,14,0.824
facebook,speakx,day_of_month,17,2,2,1.0
facebook,speakx,day_of_month,18,1,1,1.0
facebook,speakx,day_of_month,19,16,6,0.375
facebook,speakx,day_of_month,21,51,0,0.0
facebook,speakx,day_of_month,22,2,0,0.0
facebook,speakx,day_of_month,23,31,30,0.968
facebook,speakx,day_of_month,24,25,24,0.96
facebook,speakx,day_of_month,25,4,4,1.0
facebook,speakx,day_of_month,27,5,5,1.0
facebook,speakx,day_of_month,28,3,3,1.0
facebook,speakx,day_of_month,30,13,12,0.923
