pipeline,competitor,page_id,page_name,week,ads_live,new_ads,winners_live,win_ratio
facebook,speakx,104428871316786,SpeakX English,2026-05-25,57,57,57,1.0
facebook,speakx,104428871316786,SpeakX English,2026-06-08,60,60,28,0.467
facebook,speakx,104428871316786,SpeakX English,2026-06-15,56,2,28,0.5
facebook,speakx,104428871316786,SpeakX English,2026-06-22,21,5,21,1.0
facebook,speakx,104428871316786,SpeakX English,2026-06-29,16,0,16,1.0
facebook,speakx,104428871316786,SpeakX English,2026-07-06,16,0,16,1.0
facebook,speakx,540653459131632,SpeakX - Learn to Speak English,2026-05-25,132,132,80,0.606
facebook,speakx,540653459131632,SpeakX - Learn to Speak English,2026-06-01,170,134,134,0.788
facebook,speakx,540653459131632,SpeakX - Learn to Speak English,2026-06-08,190,61,135,0.711
facebook,speakx,540653459131632,SpeakX - Learn to Speak English,2026-06-15,203,27,144,0.709
facebook,speakx,540653459131632,SpeakX - Learn to Speak English,2026-06-22,256,116,125,0.488
facebook,speakx,540653459131632,SpeakX - Learn to Speak English,2026-06-29,244,97,108,0.443
facebook,speakx,540653459131632,SpeakX - Learn to Speak English,2026-07-06,116,7,38,0.328
