pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,wispr-flow,,Wispr Flow,3662315693910482,Video,,,,,2026-05-28,2026-05-28,1,1,2026-04-03,55,False,1,1,1,1,True,False,476,1.0,True,True,False,strong_winner,high
facebook,wispr-flow,,Wispr Flow,1662376828284378,Image,,,,,2026-05-28,2026-05-28,1,1,2026-04-29,29,False,2,2,2,2,True,False,476,1.0,True,True,False,winner,high
facebook,wispr-flow,,Wispr Flow,1606915600884130,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-16,12,False,3,3,3,3,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,1308275597318776,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-16,12,False,4,4,4,4,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,2560560281008870,Video,,,,,2026-05-28,2026-05-28,1,1,2026-04-07,51,False,5,5,5,5,True,False,476,1.0,True,True,False,strong_winner,high
facebook,wispr-flow,,Wispr Flow,1274695934858096,Video,,,,,2026-05-28,2026-05-28,1,1,2026-04-05,53,False,6,6,6,6,True,False,476,1.0,True,True,False,strong_winner,high
facebook,wispr-flow,,Wispr Flow,1706333260361238,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-16,12,False,7,7,7,7,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,27040096928908687,Video,,,,,2026-05-28,2026-05-28,1,1,2026-04-05,53,False,8,8,8,8,True,False,476,1.0,True,True,False,strong_winner,high
facebook,wispr-flow,,Wispr Flow,1793352381634692,Image,,,,,2026-05-28,2026-05-28,1,1,2026-04-17,41,False,9,9,9,9,True,False,476,1.0,True,True,False,winner,high
facebook,wispr-flow,,Wispr Flow,1334618508565781,Image,,,,,2026-05-28,2026-05-28,1,1,2026-04-29,29,False,10,10,10,10,True,False,476,1.0,True,True,False,winner,high
facebook,wispr-flow,,Wispr Flow,1729770374849541,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-03,25,False,11,11,11,11,True,False,476,1.0,True,True,False,winner,high
facebook,wispr-flow,,Wispr Flow,1576375724042094,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-24,4,False,12,12,12,12,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,1501865931273199,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-15,13,False,13,13,13,13,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Bryce Querubin,2292746258177295,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-21,7,False,14,14,14,14,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,1706997533644445,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-15,13,False,15,15,15,15,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,2922112728180732,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-18,10,False,16,16,16,16,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,1566718835460461,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-15,13,False,17,17,17,17,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,1649615709610057,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-15,13,False,18,18,18,18,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,813092931636453,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-21,7,False,19,19,19,19,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Dion Does Content,833455549824302,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-23,5,False,20,20,20,20,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,2936171560055456,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-27,1,False,21,21,21,21,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,1410186047538937,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-23,5,False,22,22,22,22,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,1640811040476262,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-27,1,False,23,23,23,23,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,2152493262262632,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-18,10,False,24,24,24,24,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,811543085145765,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-18,10,False,25,25,25,25,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,1007115604994768,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-15,13,False,26,26,26,26,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Bryce Querubin,1327072366036770,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-21,7,False,27,27,27,27,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,2169539090512694,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-18,10,False,28,28,28,28,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,1316066920475716,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-23,5,False,29,29,29,29,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,1700430384710408,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-18,10,False,30,30,30,30,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,1679889603157451,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-21,7,False,31,31,31,31,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,2151758269557506,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-27,1,False,32,32,32,32,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,1265112498602213,Image,,,,,2026-05-28,2026-05-28,1,1,2026-04-17,41,False,33,33,33,33,True,False,476,1.0,True,True,False,winner,high
facebook,wispr-flow,,Wispr Flow,1680340000078907,Image,,,,,2026-05-28,2026-05-28,1,1,2026-04-29,29,False,34,34,34,34,True,False,476,1.0,True,True,False,winner,high
facebook,wispr-flow,,Bryce Querubin,1547799510245830,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-23,5,False,35,35,35,35,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,976814981925609,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-10,18,False,36,36,36,36,True,False,476,1.0,True,True,False,winner,high
facebook,wispr-flow,,Wispr Flow,1395179515999240,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-15,13,False,37,37,37,37,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,1344855007551368,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-21,7,False,38,38,38,38,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,2124600818383377,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-21,7,False,39,39,39,39,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,969535065655350,Image,,,,,2026-05-28,2026-05-28,1,1,2026-04-29,29,False,40,40,40,40,True,False,476,1.0,True,True,False,winner,high
facebook,wispr-flow,,Wispr Flow,3398790000298365,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-22,6,False,41,41,41,41,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,1290680159494956,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-21,7,False,42,42,42,42,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,1304712985124608,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-22,6,False,43,43,43,43,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,846359314632935,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-15,13,False,44,44,44,44,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,1307188548234290,Image,,,,,2026-05-28,2026-05-28,1,1,2026-05-20,8,False,45,45,45,45,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,2051239912455354,Image,,,,,2026-05-28,2026-05-28,1,1,2026-04-17,41,False,46,46,46,46,True,False,476,1.0,True,True,False,winner,high
facebook,wispr-flow,,Fola Daini,1864869910859122,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-21,7,False,47,47,47,47,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,1884892045481248,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-24,4,False,48,48,48,48,True,False,476,1.0,True,True,False,new,high
facebook,wispr-flow,,Wispr Flow,2186056478900917,Video,,,,,2026-05-28,2026-05-28,1,1,2026-05-21,7,False,49,49,49,49,True,False,476,1.0,False,True,False,new,high
