pipeline,competitor,ad_id,stopped_on,last_seen,first_seen
facebook,wispr-flow,1000288645783962,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1000838749475246,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1001345232259119,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1002523858919101,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1003179348710919,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1007115604994768,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1008277438210393,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1017222057530962,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1017236537527668,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1018315570618531,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1027111360001443,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1031277119430910,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1037505808631947,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1042850444950034,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1058193627387168,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1083502908185516,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1109622268903320,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1137530259438222,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1168519741972828,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1213777460734259,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1218671753547509,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1230808302298799,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1231311415597698,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1244613431077113,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1249200367294137,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1264136165518560,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1265112498602213,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1266896538851718,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1267115098511793,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1274695934858096,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1281880330819874,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1283229190629431,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1285569029603660,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1289363819981492,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1290223629926787,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1290680159494956,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1295371085523432,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1295577742655066,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1297642861998332,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1299672751710265,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1300562598849283,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1303984397967191,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1304712985124608,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1304930827640000,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1306909370884974,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1307188548234290,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1307431290729921,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1307707194110436,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1308275597318776,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1308475204582398,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1309362284501239,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1310877167913494,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1313063437468973,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1314290944138060,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1316066920475716,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1320698123600855,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1321820823242307,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1322368433364978,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1324244086252624,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1327072366036770,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1328231482705036,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1330964142244241,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1332928282078834,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1333845745257365,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1334618508565781,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1334894005201388,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1335436018528237,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1338416851516422,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1341101164603689,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1342307254418309,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1344855007551368,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1345485144104370,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1347312157244411,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1348451947202496,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1351558753558031,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1357334192911322,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1359535953018082,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1372734824906812,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1378250434135755,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1378435157436690,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1389245473014883,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1394875489329016,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1395179515999240,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1395320139283491,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1407053411186041,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1410186047538937,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1413261284161942,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1413499927486042,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1413543764136761,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1422241006596275,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1433413138553184,2026-06-16,2026-05-28,2026-05-28
facebook,wispr-flow,1452317883341969,2026-06-16,2026-05-28,2026-05-28
