pipeline,competitor,script_group_id,group_size,ads,winners,win_ratio,replication_types
facebook,zinglish,zinglish-g0000,2,2,2,1.0,original;visual_variant
facebook,zinglish,zinglish-g0001,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0002,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0003,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0004,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0005,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0006,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0007,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0008,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0009,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0010,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0011,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0012,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0013,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0014,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0015,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0016,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0017,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0018,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0019,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0020,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0021,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0022,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0023,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0024,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0025,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0026,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0027,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0028,1,1,1,1.0,unique
facebook,zinglish,zinglish-g0029,1,1,1,1.0,unique
