pipeline,competitor,scrape_date,ads_live,new_ads,new_script_ads,reused_script_ads,stopped_ads,winners_live,win_ratio
facebook,zinglish,2026-05-26,31,31,31,0,0,31,1.0
facebook,zinglish,2026-06-04,31,0,0,0,0,31,1.0
facebook,zinglish,2026-06-11,31,0,0,0,0,31,1.0
facebook,zinglish,2026-06-12,31,0,0,0,0,31,1.0
facebook,zinglish,2026-06-13,30,0,0,0,1,30,1.0
facebook,zinglish,2026-06-14,30,0,0,0,0,30,1.0
facebook,zinglish,2026-06-15,30,0,0,0,0,30,1.0
facebook,zinglish,2026-06-16,30,0,0,0,0,30,1.0
facebook,zinglish,2026-06-17,30,0,0,0,0,30,1.0
facebook,zinglish,2026-06-22,30,0,0,0,0,30,1.0
facebook,zinglish,2026-06-23,30,0,0,0,0,30,1.0
facebook,zinglish,2026-06-24,30,0,0,0,0,30,1.0
facebook,zinglish,2026-06-25,30,0,0,0,0,30,1.0
facebook,zinglish,2026-06-26,30,0,0,0,0,30,1.0
facebook,zinglish,2026-06-28,37,7,7,0,0,30,0.811
facebook,zinglish,2026-06-29,37,0,0,0,0,30,0.811
facebook,zinglish,2026-06-30,40,3,2,1,1,31,0.775
