pipeline,competitor,page_id,ad_id,scrape_date,page_rank,row_rank,present,page_rank_delta,days_since_prev_obs
google,english-seekho,AR02289573295139323905,CR00224238326968745985,2026-06-29,1,1,true,,
google,english-seekho,AR02289573295139323905,CR00284101787298824193,2026-06-29,2,6,true,,
google,english-seekho,AR02289573295139323905,CR00345932273930993665,2026-06-29,3,10,true,,
google,english-seekho,AR02289573295139323905,CR00379240329427025921,2026-06-29,4,14,true,,
google,english-seekho,AR02289573295139323905,CR00818366375704657921,2026-06-29,5,18,true,,
google,english-seekho,AR02289573295139323905,CR00873319623263518721,2026-06-29,6,22,true,,
google,english-seekho,AR02289573295139323905,CR00884794470208372737,2026-06-29,7,26,true,,
google,english-seekho,AR02289573295139323905,CR00893801669463113729,2026-06-29,8,31,true,,
google,english-seekho,AR02289573295139323905,CR00980917281401864193,2026-06-29,9,35,true,,
google,english-seekho,AR02289573295139323905,CR00998407487742803969,2026-06-29,10,39,true,,
google,english-seekho,AR02289573295139323905,CR01014436142482718721,2026-06-29,11,44,true,,
google,english-seekho,AR02289573295139323905,CR01015980406563930113,2026-06-29,12,48,true,,
google,english-seekho,AR02289573295139323905,CR01025740633844744193,2026-06-29,13,51,true,,
google,english-seekho,AR02289573295139323905,CR01057967207985709057,2026-06-29,14,55,true,,
google,english-seekho,AR02289573295139323905,CR01323926469310676993,2026-06-29,15,59,true,,
google,english-seekho,AR02289573295139323905,CR01392012378240974849,2026-06-29,16,64,true,,
google,english-seekho,AR02289573295139323905,CR02020447526225707009,2026-06-29,17,68,true,,
google,english-seekho,AR02289573295139323905,CR02023426378103259137,2026-06-29,18,72,true,,
google,english-seekho,AR02289573295139323905,CR02104638231076143105,2026-06-29,19,77,true,,
google,english-seekho,AR02289573295139323905,CR02276273095683604481,2026-06-29,20,81,true,,
google,english-seekho,AR02289573295139323905,CR02404892866389213185,2026-06-29,21,85,true,,
google,english-seekho,AR02289573295139323905,CR02415981441155334145,2026-06-29,22,89,true,,
google,english-seekho,AR02289573295139323905,CR02500435753918529537,2026-06-29,23,92,true,,
google,english-seekho,AR02289573295139323905,CR02678215831963303937,2026-06-29,24,95,true,,
google,english-seekho,AR02289573295139323905,CR02721990920328183809,2026-06-29,25,99,true,,
google,english-seekho,AR02289573295139323905,CR02819408724290961409,2026-06-29,26,103,true,,
google,english-seekho,AR02289573295139323905,CR02919244130984919041,2026-06-29,27,108,true,,
google,english-seekho,AR02289573295139323905,CR03138283133753884673,2026-06-29,28,113,true,,
