pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,script_group_id,replication_type,variant_role,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00040292024506646529,YouTubeVideo,,,,,,,,2026-06-01,2026-06-29,3,3,,28,True,1,1,1,1,True,False,166,1.0,True,True,False,winner,low
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR05074673124885135361,YouTubeVideo,,,,,,,,2026-06-15,2026-06-29,2,2,,14,True,1,40,20,40,True,False,166,1.0,True,True,False,undecided,high
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00080860868245454849,YouTubeVideo,,,,,,,,2026-06-01,2026-06-29,3,3,,28,True,2,2,2,2,True,False,166,1.0,True,True,False,winner,low
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR07215400557400293377,YouTubeVideo,,,,,,,,2026-06-01,2026-06-15,2,2,,14,True,2,61,32,2,False,True,164,0.5,True,True,False,loser,low
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00202131314252447745,YouTubeVideo,,,,,,,,2026-06-01,2026-06-29,3,3,,28,True,3,3,3,3,True,False,166,1.0,True,True,False,winner,low
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR08490193846385246209,YouTubeVideo,,,,,,,,2026-06-15,2026-06-29,2,2,,14,True,3,74,38,74,True,False,166,0.5,True,True,False,undecided,high
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00356683599275098113,YouTubeVideo,,,,,,,,2026-06-01,2026-06-29,3,3,,28,True,4,4,4,4,True,False,166,1.0,True,True,False,winner,low
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR08848692301271138305,YouTubeVideo,,,,,,,,2026-06-01,2026-06-15,2,2,,14,True,4,79,42,4,False,True,164,0.5,True,True,False,loser,low
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00374679349036580865,YouTubeVideo,,,,,,,,2026-06-01,2026-06-29,3,3,,28,True,5,5,5,5,True,False,166,1.0,True,True,False,winner,low
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR10434868451473358849,Image,,,,,,,,2026-06-15,2026-06-29,2,2,,14,True,5,88,46,88,True,False,166,0.5,True,True,False,undecided,high
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00426987352007639041,YouTubeVideo,,,,,,,,2026-06-01,2026-06-29,3,3,,28,True,6,6,6,6,True,False,166,1.0,True,True,False,winner,low
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR11859821227419893761,YouTubeVideo,,,,,,,,2026-06-15,2026-06-29,2,2,,14,True,6,97,52,97,True,False,166,0.5,True,True,False,undecided,high
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00521681553999265793,YouTubeVideo,,,,,,,,2026-06-01,2026-06-29,3,3,,28,True,7,7,7,7,True,False,166,1.0,True,True,False,winner,low
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR12162775988412874753,YouTubeVideo,,,,,,,,2026-06-15,2026-06-15,1,1,,0,True,7,7,7,7,False,True,164,1.0,True,True,False,loser,low
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00703816754651987969,YouTubeVideo,,,,,,,,2026-06-01,2026-06-29,3,3,,28,True,8,8,8,8,True,False,166,1.0,True,True,False,winner,low
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR12577149210450722817,YouTubeVideo,,,,,,,,2026-06-15,2026-06-29,2,2,,14,True,8,102,55,102,True,False,166,0.5,True,True,False,undecided,high
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00726059943601373185,YouTubeVideo,,,,,,,,2026-06-01,2026-06-29,3,3,,28,True,9,9,9,9,True,False,166,1.0,True,True,False,winner,low
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR14234614610811420673,YouTubeVideo,,,,,,,,2026-06-15,2026-06-29,2,2,,14,True,9,117,63,117,True,False,166,0.5,True,True,False,undecided,high
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00843402298418790401,YouTubeVideo,,,,,,,,2026-06-01,2026-06-29,3,3,,28,True,10,10,10,10,True,False,166,1.0,True,True,False,winner,low
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR15499322363102625793,YouTubeVideo,,,,,,,,2026-06-15,2026-06-29,2,2,,14,True,10,128,69,128,True,False,166,0.5,True,True,False,undecided,high
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR00860993548160335873,YouTubeVideo,,,,,,,,2026-06-01,2026-06-29,3,3,,28,True,11,11,11,11,True,False,166,1.0,True,True,False,winner,low
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR15503392411551268865,YouTubeVideo,,,,,,,,2026-06-15,2026-06-29,2,2,,14,True,11,129,70,129,True,False,166,0.5,True,True,False,undecided,high
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR01241396645493473281,YouTubeVideo,,,,,,,,2026-06-01,2026-06-29,3,3,,28,True,12,12,12,12,True,False,166,1.0,True,True,False,winner,low
google,mysivi,AR00309923070552834049,NinjaSalary Financial Services Private Limited,CR15717523469291749377,YouTubeVideo,,,,,,,,2026-06-15,2026-06-29,2,2,,14,True,12,132,72,132,True,False,166,0.5,True,True,False,undecided,high
