pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,script_group_id,replication_type,variant_role,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR00035075571977289729,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,1,1,1,1,False,True,26,1.0,True,True,False,loser,low
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR01084621637585731585,Image,,,,,,,,2026-06-03,2026-06-05,2,1,,2,True,1,3,2,1,True,False,26,1.0,True,True,False,new,high
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR00914879719684440065,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,2,2,2,2,False,True,26,1.0,True,True,False,loser,low
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR02534039827150536705,Image,,,,,,,,2026-06-03,2026-06-05,2,1,,2,True,2,7,4,2,True,False,26,1.0,True,True,False,new,high
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR06074318147324739585,Image,,,,,,,,2026-06-03,2026-06-05,2,1,,2,True,3,11,7,3,True,False,26,0.0,True,False,False,new,high
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR01496360403993624577,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,4,4,4,4,False,True,26,1.0,True,True,False,loser,low
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR07779640298090528769,Image,,,,,,,,2026-06-03,2026-06-05,2,1,,2,True,4,13,8,4,True,False,26,0.0,True,False,False,new,high
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR01853694192597860353,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,5,5,5,5,False,True,26,1.0,True,True,False,loser,low
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR12359054043924922369,Image,,,,,,,,2026-06-03,2026-06-05,2,1,,2,True,5,16,10,5,True,False,26,0.0,True,False,False,new,high
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR02356181271463329793,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,6,6,6,6,False,True,26,1.0,True,True,False,loser,low
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR15375785703371702273,Image,,,,,,,,2026-06-03,2026-06-05,2,1,,2,True,6,21,14,6,True,False,26,0.0,True,False,False,new,high
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR18127931477415952385,Image,,,,,,,,2026-06-03,2026-06-05,2,1,,2,True,7,25,16,7,True,False,26,0.0,True,False,False,new,high
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR03679656245221916673,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,8,8,8,8,False,True,26,0.0,True,False,False,loser,low
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR18133990379190484993,Image,,,,,,,,2026-06-03,2026-06-05,2,1,,2,True,8,26,17,8,True,False,26,0.0,True,False,False,new,high
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR04661116814216921089,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,9,9,9,9,False,True,26,0.0,True,False,False,loser,low
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR05936792976679239681,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,10,10,10,10,False,True,26,0.0,True,False,False,loser,low
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR07555390752667205633,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,12,12,12,12,False,True,26,0.0,False,False,False,loser,low
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR10089534500846436353,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,14,14,14,14,False,True,26,0.0,False,False,False,loser,low
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR10416099556058988545,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,15,15,15,15,False,True,26,0.0,False,False,False,loser,low
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR12839938236155428865,Image,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,17,17,17,17,False,True,26,0.0,False,False,False,loser,low
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR13970304531028770817,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,18,18,18,18,False,True,26,0.0,False,False,False,loser,low
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR14511376299001380865,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,19,19,19,19,False,True,26,0.0,False,False,False,loser,low
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR14668918654356160513,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,20,20,20,20,False,True,26,0.0,False,False,False,loser,low
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR15511343847715110913,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,22,22,22,22,False,True,26,0.0,False,False,False,loser,low
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR17213842177742864385,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,23,23,23,23,False,True,26,0.0,False,False,False,loser,low
