pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,script_group_id,replication_type,variant_role,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR00460064819299483649,Image,,,,,,,,2026-06-03,2026-06-05,2,1,,2,True,1,1,1,1,True,False,21,1.0,True,True,False,new,high
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR00719391405578911745,Image,,,,,,,,2026-06-03,2026-06-05,2,1,,2,True,2,2,2,2,True,False,21,1.0,True,True,False,new,high
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR01089078327580295169,Image,,,,,,,,2026-06-03,2026-06-05,2,1,,2,True,3,3,3,3,True,False,21,0.5,True,True,False,new,high
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR01428209546567876609,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,4,4,4,4,False,True,21,1.0,True,True,False,loser,low
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR09036662610132467713,Image,,,,,,,,2026-06-03,2026-06-05,2,1,,2,True,4,11,8,4,True,False,21,0.0,True,False,False,new,high
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR03013186756649418753,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,5,5,5,5,False,True,21,1.0,True,True,False,loser,low
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR13050314015010455553,Image,,,,,,,,2026-06-03,2026-06-05,2,1,,2,True,5,15,10,5,True,False,21,0.0,True,False,False,new,high
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR03809934818196586497,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,6,6,6,6,False,True,21,1.0,True,True,False,loser,low
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR17170834995170770945,Image,,,,,,,,2026-06-03,2026-06-05,2,1,,2,True,6,20,13,6,True,False,21,0.0,True,False,False,new,high
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR05027409681262313473,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,7,7,7,7,False,True,21,0.0,True,False,False,loser,low
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR06175808344788303873,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,8,8,8,8,False,True,21,0.0,True,False,False,loser,low
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR06947978593423065089,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,9,9,9,9,False,True,21,0.0,True,False,False,loser,low
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR08154973753466421249,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,10,10,10,10,False,True,21,0.0,True,False,False,loser,low
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR09059097457702469633,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,12,12,12,12,False,True,21,0.0,False,False,False,loser,low
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR11982852120391974913,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,13,13,13,13,False,True,21,0.0,False,False,False,loser,low
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR12027842710271426561,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,14,14,14,14,False,True,21,0.0,False,False,False,loser,low
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR14774311757321076737,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,16,16,16,16,False,True,21,0.0,False,False,False,loser,low
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR15187292739940122625,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,17,17,17,17,False,True,21,0.0,False,False,False,loser,low
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR15708446064501587969,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,18,18,18,18,False,True,21,0.0,False,False,False,loser,low
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR16557653045580660737,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,19,19,19,19,False,True,21,0.0,False,False,False,loser,low
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR18123795758917353473,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,21,21,21,21,False,True,21,0.0,False,False,False,loser,low
