pipeline,competitor,page_id,ad_id,scrape_date,page_rank,row_rank,present,page_rank_delta,days_since_prev_obs
google,speak,AR00705977088842137601,CR00460064819299483649,2026-06-03,1,1,true,,
google,speak,AR00705977088842137601,CR00460064819299483649,2026-06-05,1,1,true,0,2
google,speak,AR00705977088842137601,CR00719391405578911745,2026-06-03,2,4,true,,
google,speak,AR00705977088842137601,CR00719391405578911745,2026-06-05,2,4,true,0,2
google,speak,AR00705977088842137601,CR01089078327580295169,2026-06-03,3,7,true,,
google,speak,AR00705977088842137601,CR01089078327580295169,2026-06-05,3,7,true,0,2
google,speak,AR00705977088842137601,CR01428209546567876609,2026-06-03,4,8,true,,
google,speak,AR00705977088842137601,CR03013186756649418753,2026-06-03,5,13,true,,
google,speak,AR00705977088842137601,CR03809934818196586497,2026-06-03,6,16,true,,
google,speak,AR00705977088842137601,CR05027409681262313473,2026-06-03,7,20,true,,
google,speak,AR00705977088842137601,CR06175808344788303873,2026-06-03,8,24,true,,
google,speak,AR00705977088842137601,CR06947978593423065089,2026-06-03,9,29,true,,
google,speak,AR00705977088842137601,CR08154973753466421249,2026-06-03,10,33,true,,
google,speak,AR00705977088842137601,CR09036662610132467713,2026-06-03,11,38,true,,
google,speak,AR00705977088842137601,CR09036662610132467713,2026-06-05,4,38,true,7,2
google,speak,AR00705977088842137601,CR09059097457702469633,2026-06-03,12,41,true,,
google,speak,AR00705977088842137601,CR11982852120391974913,2026-06-03,13,44,true,,
google,speak,AR00705977088842137601,CR12027842710271426561,2026-06-03,14,48,true,,
google,speak,AR00705977088842137601,CR13050314015010455553,2026-06-03,15,52,true,,
google,speak,AR00705977088842137601,CR13050314015010455553,2026-06-05,5,52,true,10,2
google,speak,AR00705977088842137601,CR14774311757321076737,2026-06-03,16,55,true,,
google,speak,AR00705977088842137601,CR15187292739940122625,2026-06-03,17,60,true,,
google,speak,AR00705977088842137601,CR15708446064501587969,2026-06-03,18,64,true,,
google,speak,AR00705977088842137601,CR16557653045580660737,2026-06-03,19,68,true,,
google,speak,AR00705977088842137601,CR17170834995170770945,2026-06-03,20,71,true,,
google,speak,AR00705977088842137601,CR17170834995170770945,2026-06-05,6,71,true,14,2
google,speak,AR00705977088842137601,CR18123795758917353473,2026-06-03,21,74,true,,
