pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,script_group_id,replication_type,variant_role,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR02580772670513610753,YouTubeVideo,,,,,,,,2026-05-30,2026-07-20,5,5,,51,True,1,14,13,14,True,False,117,1.0,True,True,False,strong_winner,low
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR00141381200873783297,YouTubeVideo,,,,,,,,2026-06-03,2026-06-03,1,1,,0,True,1,1,1,1,False,True,85,1.0,True,True,False,loser,low
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR00214000885871673345,YouTubeVideo,,,,,,,,2026-06-03,2026-07-20,4,4,,47,True,1,2,1,1,True,False,117,1.0,True,True,False,strong_winner,low
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR08475678918509068289,YouTubeVideo,,,,,,,,2026-06-03,2026-07-20,5,4,,47,True,1,58,46,58,True,False,117,0.2,True,False,False,winner,low
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR00455622577574903809,YouTubeVideo,,,,,,,,2026-06-15,2026-07-20,3,3,,35,True,1,2,2,2,True,False,117,1.0,True,True,False,winner,low
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR01506811219065962497,Image,,,,,,,,2026-07-13,2026-07-20,2,2,,7,True,1,6,4,6,True,False,117,1.0,True,True,False,new,high
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR02963800740188913665,YouTubeVideo,,,,,,,,2026-05-30,2026-07-20,5,5,,51,True,2,17,15,17,True,False,117,1.0,True,True,False,strong_winner,low
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13952643204600823809,YouTubeVideo,,,,,,,,2026-05-30,2026-07-20,5,5,,51,True,2,95,73,95,True,False,117,0.0,True,False,False,winner,low
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR06514125160667152385,YouTubeVideo,,,,,,,,2026-06-15,2026-07-20,3,3,,35,True,2,42,39,42,True,False,117,0.333,True,False,False,winner,low
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR02921113575630045185,Image,,,,,,,,2026-07-13,2026-07-20,2,2,,7,True,2,16,9,16,True,False,117,1.0,True,True,False,new,high
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR03483707742550491137,YouTubeVideo,,,,,,,,2026-05-30,2026-07-20,5,5,,51,True,3,20,16,20,True,False,117,1.0,True,True,False,strong_winner,low
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR15171813583316058113,YouTubeVideo,,,,,,,,2026-05-30,2026-07-20,5,5,,51,True,3,106,80,106,True,False,117,0.0,True,False,False,winner,low
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR00615567752383430657,YouTubeVideo,,,,,,,,2026-06-03,2026-07-20,4,4,,47,True,3,3,3,3,True,False,117,1.0,True,True,False,strong_winner,low
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR03345577840509714433,YouTubeVideo,,,,,,,,2026-07-13,2026-07-20,2,2,,7,True,3,19,11,19,True,False,117,1.0,True,True,False,new,high
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR04605080985791365121,YouTubeVideo,,,,,,,,2026-05-30,2026-07-20,5,5,,51,True,4,26,22,26,True,False,117,0.8,True,True,False,strong_winner,low
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR00697210613914402817,YouTubeVideo,,,,,,,,2026-06-03,2026-07-20,4,4,,47,True,4,4,4,4,True,False,117,1.0,True,True,False,strong_winner,low
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR05281204839290765313,YouTubeVideo,,,,,,,,2026-07-13,2026-07-20,2,2,,7,True,4,32,18,32,True,False,117,0.5,True,True,False,new,high
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR09548064950182739969,YouTubeVideo,,,,,,,,2026-05-30,2026-07-20,5,5,,51,True,5,65,51,65,True,False,117,0.0,True,False,False,winner,low
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR00810905476345626625,YouTubeVideo,,,,,,,,2026-06-03,2026-07-20,4,4,,47,True,5,5,5,5,True,False,117,1.0,True,True,False,strong_winner,low
google,speakx,AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR06250399600163684353,Image,,,,,,,,2026-07-13,2026-07-20,2,2,,7,True,5,39,22,39,True,False,117,0.5,True,True,False,new,high
