page_id,page_name,ad_id,media_type,verdict,first_seen,last_seen,present_now,best_page_rank,run_days,2026-05-30,2026-06-03,2026-06-05,2026-06-15,2026-07-13,2026-07-20
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR02580772670513610753,YouTubeVideo,strong_winner,2026-05-30,2026-07-20,True,1,51,1,13,,13,14,14
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR00141381200873783297,YouTubeVideo,loser,2026-06-03,2026-06-03,False,1,0,,1,,,,
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR00214000885871673345,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,1,47,,2,,1,1,1
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR08475678918509068289,YouTubeVideo,winner,2026-06-03,2026-07-20,True,1,47,,41,1,46,53,58
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR00455622577574903809,YouTubeVideo,winner,2026-06-15,2026-07-20,True,1,35,,,,1,2,2
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR01506811219065962497,Image,new,2026-07-13,2026-07-20,True,1,7,,,,,1,6
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR02963800740188913665,YouTubeVideo,strong_winner,2026-05-30,2026-07-20,True,2,51,2,15,,15,17,17
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13952643204600823809,YouTubeVideo,winner,2026-05-30,2026-07-20,True,2,51,9,,2,73,84,95
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR06514125160667152385,YouTubeVideo,winner,2026-06-15,2026-07-20,True,2,35,,,,2,39,42
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR02921113575630045185,Image,new,2026-07-13,2026-07-20,True,2,7,,,,,2,16
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR03483707742550491137,YouTubeVideo,strong_winner,2026-05-30,2026-07-20,True,3,51,3,16,,16,19,20
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR15171813583316058113,YouTubeVideo,winner,2026-05-30,2026-07-20,True,3,51,10,,3,80,94,106
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR00615567752383430657,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,3,47,,3,,3,3,3
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR03345577840509714433,YouTubeVideo,new,2026-07-13,2026-07-20,True,3,7,,,,,3,19
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR04605080985791365121,YouTubeVideo,strong_winner,2026-05-30,2026-07-20,True,4,51,4,22,,22,25,26
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR00697210613914402817,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,4,47,,4,,4,4,4
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR05281204839290765313,YouTubeVideo,new,2026-07-13,2026-07-20,True,4,7,,,,,4,32
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR09548064950182739969,YouTubeVideo,winner,2026-05-30,2026-07-20,True,5,51,5,50,,51,59,65
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR00810905476345626625,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,5,47,,5,,5,5,5
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR06250399600163684353,Image,new,2026-07-13,2026-07-20,True,5,7,,,,,5,39
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR09678062958713765889,YouTubeVideo,winner,2026-05-30,2026-07-20,True,6,51,6,52,,53,61,67
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR01547339054457028609,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,6,47,,6,,6,7,7
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR06259256716081233921,Image,new,2026-07-13,2026-07-20,True,6,7,,,,,6,40
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR12295867928175181825,YouTubeVideo,winner,2026-05-30,2026-07-20,True,7,51,7,61,,62,71,81
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR01788401550008254465,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,7,47,,7,,7,8,8
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR08096095343885680641,YouTubeVideo,new,2026-07-13,2026-07-20,True,7,7,,,,,7,56
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13654429752495177729,YouTubeVideo,winner,2026-05-30,2026-07-20,True,8,51,8,71,,72,82,92
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR02024463535395831809,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,8,47,,8,,8,9,9
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR09254080649294249985,YouTubeVideo,new,2026-07-13,2026-07-20,True,8,7,,,,,8,64
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR02126387876743610369,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,9,47,,9,,9,10,10
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR11135532511151521793,YouTubeVideo,new,2026-07-13,2026-07-20,True,9,7,,,,,9,75
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR02137283324010299393,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,10,47,,10,,10,11,11
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR12893366830453751809,Image,new,2026-07-13,2026-07-20,True,10,7,,,,,10,86
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR15658730589689741313,YouTubeVideo,winner,2026-05-30,2026-07-20,True,11,51,11,80,,83,97,109
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR02271950408668676097,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,11,47,,11,,11,12,12
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13849159644095709185,YouTubeVideo,new,2026-07-13,2026-07-20,True,11,7,,,,,11,93
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR17096940452210278401,YouTubeVideo,winner,2026-05-30,2026-07-20,True,12,51,12,82,,85,101,113
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR02394903914920017921,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,12,47,,12,,12,13,13
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR13992433156020502529,YouTubeVideo,new,2026-07-13,2026-07-20,True,12,7,,,,,12,96
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR02638435226392461313,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,13,47,,13,,14,15,15
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14048987086350974977,YouTubeVideo,new,2026-07-13,2026-07-20,True,13,7,,,,,13,98
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR03631499697509629953,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,14,47,,14,,17,20,21
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR14450328621698514945,Image,new,2026-07-13,2026-07-20,True,14,7,,,,,14,102
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR04148213537715519489,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,15,47,,15,,18,21,22
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR16607669391441526785,YouTubeVideo,new,2026-07-13,2026-07-20,True,15,7,,,,,15,110
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR04170532215010099201,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,16,47,,16,,19,22,23
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR17081336801664172033,YouTubeVideo,new,2026-07-13,2026-07-20,True,16,7,,,,,16,112
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR04362785087301877761,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,17,47,,17,,20,23,24
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR04569581577851371521,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,18,47,,18,,21,24,25
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR03001820890204733441,YouTubeVideo,new,2026-07-20,2026-07-20,True,18,0,,,,,,18
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR04861911139509862401,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,19,47,,19,,23,26,29
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR05126339244993806337,YouTubeVideo,strong_winner,2026-06-03,2026-07-20,True,20,47,,20,,24,27,30
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR05248235545045237761,YouTubeVideo,winner,2026-06-03,2026-07-20,True,21,47,,21,,25,28,31
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR05433894405587075073,YouTubeVideo,winner,2026-06-03,2026-07-20,True,22,47,,22,,26,30,33
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR05640321485999439873,YouTubeVideo,winner,2026-06-03,2026-07-20,True,23,47,,23,,27,31,34
AR02221466555617640449,Ivypods Technology Pvt. Ltd,CR05717206734947221505,YouTubeVideo,winner,2026-06-03,2026-07-20,True,24,47,,24,,28,32,35
