ad_id,language
1023226656696370,English
1187219770066761,English
1205211558219012,English
1215010424102742,English
1244041101140184,English
1244347244307717,English
1270856521521372,English
1282957083982524,English
1315729067327013,English
1340343458017819,English
1393073786168344,English
1398617942297818,English
1428449025623778,English
1456372432368050,English
1467346464518268,English
1495493641961395,English
1498337882301575,English
1511868853669891,English
1557413435942135,English
1595782761518272,English
1601650570902180,English
1625406865354471,English
1640530307393556,English
1681513992840751,English
1745502363491077,English
1757405299002125,English
1802153563815523,English
1810377262974963,English
1829036101386517,English
1911800266127163,English
1986969838579939,English
2008049966476696,English
2054843735413850,English
2164543697719032,English
2192184221567617,English
2206316933499935,English
2207673653307134,English
2421536621668950,English
2435229170277118,English
25024190163945827,English
2567875460379817,English
26572679392369522,Arabic
26593433683617766,English
2757075414671209,English
3049299128598351,English
3054095394922294,English
3128929950636792,English
3509966935818159,English
4047050955534121,English
4193196730867806,English
4315634672087742,English
4420167301545944,English
839034162134088,English
854198787652805,English
855822700785894,English
862072036697076,English
862933273506827,English
870791105586044,English
873410355318564,English
931440739227131,English
964203152818249,English
964644499361286,English
980261668257529,English
