ad_id,language
1000086685840067,Hindi
1000523962730989,Hindi
1000814619513542,Hindi
1000897915789500,Hindi
1000927905811536,Hindi
1001176696004682,Hindi
1001357272270495,Hindi
1001545505619274,Hindi
1001556605939706,Hindi
1001620612856526,Hindi
1001705955900470,Hindi
1002399022714860,Hindi
1002874225960964,Hindi
1003049005798358,Hindi
1003100012713926,Hindi
1003514292166877,Gujarati
1003576882406545,Hindi
1003880022623611,Hindi
1004112128872943,Hindi
1004127515746308,Hindi
1004806355238570,Hindi
1004923642450093,Hindi
1005257525198925,Hindi
1005676695407676,Hindi
1005748238514133,Hindi
1006108492360115,Bengali
1006661035243431,Hindi
1008058698299539,Hindi
1008205348470296,Hindi
1008293012135432,Hindi
1008376008280324,Hindi
1008648735466064,Hindi
1009368268142899,Hindi
1009419671474140,Hindi
1009499741469794,Hindi
1010097468667310,Hindi
1010402288013146,Hindi
1010613921700679,Hindi
1011186578552729,Hindi
1011300708130761,Hindi
1011307304820369,Hindi
1011627021476612,Hindi
1012047304706438,Hindi
1012594294691296,Hindi
1012751497873071,Hindi
1013010197776097,Hindi
1013181651239799,Hindi
1013549848030099,Hindi
1013595614333515,Hindi
1013668457726942,Hindi
1013717264847719,Hindi
1013801474340905,Hindi
1013834224460527,Hindi
1013882284521219,Hindi
1013965144742380,Hindi
1014456487800871,Hindi
1014766887620545,Hindi
1014900067589638,Hindi
1015345331246570,Hindi
1015543491226232,Hindi
1015926377610393,Hindi
1016275888005436,Hindi
1016372917638242,Hindi
1016415150793716,Hindi
1016530467412065,Hindi
1016711277501426,Hindi
1016959647699492,Hindi
1017942337291277,Hindi
1018180690712130,Hindi
1018262830627096,Hindi
1018511234269314,Hindi
1018683797295011,Hindi
1019280954396091,Bengali
1019346871031325,Gujarati
1019378727292833,Hindi
1019667247166100,Hindi
1020398320972649,Hindi
1021041514250343,Hindi
1021051900335139,Hindi
1021221817271413,Hindi
1021238797034341,Hindi
1021299320653057,Hindi
1021637166903688,Hindi
1021781447215299,Hindi
1021956876954897,Hindi
1021980153536343,Hindi
1022035256895189,Hindi
1022376317001690,Hindi
1022674277084766,Hindi
1022758773604361,Hindi
1023295656811984,Hindi
1024125033893330,Hindi
1024869819880376,Hindi
1024869953563083,Hindi
1025514597085693,Hindi
1025694253275945,Hindi
1025822196672066,Hindi
1026281803080676,Hindi
1026936686437581,Hindi
1027744632964202,Hindi
1027893896488146,Hindi
1028015442984226,Hindi
1028046746241190,Hindi
1029119389567355,Hindi
1029412962948129,Hindi
1029442363364951,Hindi
1029605236397131,Hindi
1030022866643673,Hindi
1030351746604474,Hindi
1030481159453297,Hindi
1030511049556192,Hindi
1030641109518301,Hindi
1031414429844198,Hindi
1031554412893220,Hindi
1031821289502647,Hindi
1031914312710770,Hindi
1032742602409239,Hindi
1032747329405616,Hindi
1033037325739194,Hindi
1033103892989144,Hindi
1033915609199890,Hindi
1034452249264538,Hindi
1034778562358924,Hindi
1035891969103163,Bengali
1035936529387284,Hindi
1037885932008729,Hindi
1039538911746398,Hindi
1039699242065315,Hindi
1041193768479189,Hindi
1041203921585031,Hindi
1041658511938638,Hindi
1043816221481981,Hindi
1044245161282404,Hindi
1044908534625978,Hindi
1045429161250936,Hindi
1045938718323196,Hindi
1045990277761082,Bengali
1046367191060084,Hindi
1046475394470797,Hindi
1046740708036998,Hindi
1046788934677841,Hindi
1046962041235767,Hindi
1047145780977572,Hindi
1047178357881109,Hindi
1047625584875968,Hindi
1050462637493314,Hindi
1051946797264333,Hindi
1052103567500135,Hindi
1052565497102220,Bengali
1053033800620826,Hindi
1054948106795031,Hindi
1055425796917432,Hindi
1057833703249477,Hindi
1058989673456910,Hindi
1060397323216348,Hindi
1064411756012272,Hindi
1066767346096195,Hindi
1069394115515801,Hindi
1069510465399414,Hindi
1071355105338086,Hindi
1094581613267174,Hindi
1111579925381064,Hindi
1116123194536720,Hindi
1119136263772404,Hindi
1126978040496998,Hindi
1132903655640672,Bengali
1142996851503981,Hindi
1147815504196202,Hindi
1161138129534140,Hindi
1162912550244958,Hindi
1165134132464323,Hindi
1168354552139693,Hindi
1172303941744566,Hindi
1176956084747598,Hindi
1181452441719053,Gujarati
1181778644138684,Hindi
1185488816920457,Hindi
1187405566846547,Hindi
1187837300145651,Hindi
1188460143323551,Hindi
1195431255950589,Hindi
1201805335291194,Hindi
1208089104736468,Hindi
1208178014689298,Hindi
1208540079002247,Hindi
1210251577301882,Hindi
1210535425470177,Hindi
1212213287545559,Hindi
1214709560683717,Hindi
1217329830515440,Hindi
1223700476600723,Hindi
1224227439081919,Hindi
1229348518532340,Hindi
1231146343406658,Hindi
1232439765357445,Hindi
1232981315449845,Hindi
1235005135279364,Hindi
1242610717842026,Hindi
1244502544271910,Hindi
1244507290916309,Hindi
1246315007578917,Hindi
1251191153618197,Hindi
1260469682675863,Hindi
1265895969024499,Hindi
1266598292218603,Hindi
1268899174805199,Hindi
1270824095218870,Hindi
1270883268453201,Hindi
1271047411639492,Hindi
1272279901643475,Hindi
1274853231388164,Hindi
1277909244174863,Bengali
1278688914111833,Hindi
1278769291088873,Hindi
1280073977526595,Hindi
1281336507021529,Hindi
1283112016910303,Hindi
1283358550592107,Hindi
1283394677116210,Hindi
1285550063658875,Hindi
