ad_id,language
1000525612735463,English
1003526658752736,English
1003635002452445,English
1003815002563627,English
1005118642480638,English
1005665278776250,Arabic
1006421665187559,English
1006749742165873,English
1007110078391526,English
1007541725330421,English
1013757414877783,English
1015187231092030,English
1016351310760637,English
1023476526852359,English
1024869239979532,Turkish
1025162763405815,English
1025722076570233,English
1028449009853941,English
1030585469917770,English
1031747116205172,English
1036593832651634,English
1037746825578538,English
1038854211901779,English
1038902168665880,English
1044999751286547,English
1050527274067149,English
1054584297235889,English
1056730870368516,English
1093823739826634,English
1096538780053471,English
1164802695815463,English
1220089980142236,English
1225658062919321,English
1252728760039239,English
1266210548740608,Turkish
1268852761989800,English
1308919328072562,English
1311647397762391,English
1312402474407625,English
1324134293033830,Arabic
1324711415771152,English
1329153405948571,Arabic
1332107031680751,English
1333230688768920,English
1333627851495103,Arabic
1334303025501054,English
1334703498047853,English
1337814845219916,English
1338898801538920,English
1341990144548332,English
1343640307904749,English
1348272590597709,Turkish
1350345613876652,English
1363633598912750,Arabic
1376125071000503,English
1378308274350492,English
1382542137258042,English
1383319060331609,Arabic
1386818953298541,English
1388064789801947,Vietnamese
1398488762334299,English
1402910178342547,English
1405694801591349,English
1427717762585898,English
1444573690806212,English
1448015583763183,Arabic
1449171250302016,English
1472172651331728,English
1476542507850179,English
1482706329799808,English
1484254506359681,English
1492092175305768,English
1495959161795889,English
1501331884229139,English
1506922147561152,English
1518921700020018,English
1520557299602731,Arabic
1525471078984105,Portuguese
1526326005826589,English
1529012985681620,English
1530923368683061,English
1532627261738407,English
1536731928243013,English
1537064428044245,English
1539568594489443,English
1543351697304303,English
1545788986954006,English
1549463666898108,English
1550386230032600,English
1552375786420589,Portuguese
1555753755947747,English
1556088909428085,English
1557158972540606,English
1562137718879664,Arabic
1562643752055927,English
1565335125310475,English
1568454698132016,English
1573178924379763,English
1578839433965724,Arabic
1583804963749566,English
1585086063034358,Arabic
1586148823035593,Arabic
1588372576044714,English
1589301959391190,English
1590085273124512,English
1590724205959453,English
1602074314964511,English
1619447510186102,Arabic
1620690590064291,English
1631602037926060,English
1633269327750962,English
1633628567704710,English
1635215360918989,English
1637899393946769,English
1640282667036366,English
1641645733595726,Arabic
1644228480168526,English
1649505946124510,English
1651336692836508,English
1661401064910641,English
1665570207993946,English
1672803190595487,English
1673500023930281,English
1673950330582810,Turkish
1685980745983019,English
1687698609048212,English
1691784178829769,English
1694390814936925,English
1695386955068913,English
1697053921719601,English
1702396627735348,English
1704791477199973,English
1705366507331909,English
1706538336929507,English
1708092980610981,English
1716427079431571,English
1723147632009628,English
1735439077870632,English
1747869789910274,English
1751335042898746,English
1771896370338026,English
1772896170361459,English
1778942330132715,English
1781578599492452,English
1787729085545056,English
1795404701807915,English
1819055665739178,English
1832151567988662,English
1892733781399963,Arabic
1914586909229236,English
1915361298965714,English
1915690529138177,English
1929767137611529,English
1937208343614080,English
1951759685545457,Arabic
1962277031827815,English
1967353097232627,English
1977029976261208,English
1985876322121037,English
2013049059297231,English
2025522311379279,English
2032626797461477,English
2043179773740671,English
2057398461817423,English
2065988441018895,Arabic
2076022413797975,English
2076473126238898,English
2089072878674507,English
2117549085496013,English
2119300782356518,English
2119479501935072,English
2153023128817946,English
2168987457218569,Arabic
2179849819527829,English
2183171979139988,English
2197431064430320,English
2198156761037603,English
2200199017412412,Arabic
2202351003920869,Arabic
2204277097086348,English
2214736702613067,English
2215514149246402,English
2217238392444405,Vietnamese
2223760955053163,English
2226393941496900,English
2243249256430501,English
2256105518498383,English
2263593867717001,English
2270381170440032,English
2271387096997788,Arabic
2388976068265097,English
2396494520874446,English
2450479242113519,English
2506292793150954,Hindi
2529530774161992,English
2587659185019794,Turkish
26977995741871170,English
27200422259600892,English
27252840764373165,English
27273203835621448,English
27281983364786721,English
2741226512911984,English
27595074290086518,Hindi
27787661044153699,English
2805194793195493,English
28074840175451008,English
2820605464942152,English
2825328911169017,English
2838475509846046,English
2942098689488300,English
3046945898830013,English
3157903207933727,Turkish
3315138595335780,English
3340516169466059,English
3403536496487480,English
3663203097153647,Arabic
3757029167770745,English
3830870397050255,English
3973379489629982,English
3987290754909476,English
4019798091661474,English
4042598066038325,English
4238666976269086,English
4245939425660754,English
4343450969301775,English
4372491909746961,English
4383895821853188,Arabic
4445732412339005,English
4472111663072824,Arabic
4515075708769499,English
4519291438349150,Arabic
4538220956421951,English
4565916810309378,English
4576200355997577,English
4687673938174151,English
5100169360209452,English
819280214456008,English
835085229403559,English
835906489378401,English
836154422687283,English
836964239493914,English
854501297352956,English
869229706239477,English
869908926163691,English
878207795333026,English
900011839294388,English
919002281155664,English
925203947257313,English
926058690492896,English
928827256836837,English
942215722189783,English
948906394837424,English
963221736695752,English
965379309656441,English
969266155933497,English
976364165204208,English
980472391441234,English
980866228090947,English
981674204685917,English
984843251084510,Arabic
985001377845685,English
989080657272415,English
992031523734356,English
992641953651273,English
993382163488187,English
994716566609726,English
996296286597121,English
