ad_id,language
1000021972451745,Telugu
1000169915758853,Malayalam
1000224085729870,English
1000699919023827,English
1000700585621663,Bengali
1000886632936275,Tamil
1000945729537948,Tamil
1001044492454350,Malayalam
1001059995777573,Bengali
1001496475609120,Malayalam
1001707738963676,Bengali
1001757512318941,Bengali
1001906345650383,Tamil
1001920132811784,English
1002353409457732,Telugu
1003248342235659,English
1003719535314984,English
1004438218941464,Tamil
1004638178631775,Gujarati
1004651578734246,Kannada
1004657832250578,Marathi
1005003175356379,English
1006339081731432,Kannada
1006527541916464,Telugu
1007429928523695,English
1007842078762414,Tamil
1007859061967446,Marathi
1008106691639361,English
1008231658224617,Marathi
1008328898373593,Marathi
1009047662075206,Tamil
1009126704917577,Tamil
1009692828663783,English
1010624641345110,Telugu
1011599144785131,Kannada
1011678297893214,Gujarati
1011849414860904,Marathi
1011854077861728,Tamil
1012224571313537,Kannada
1012816707855134,Kannada
1013031401115448,Kannada
1013088271281877,Telugu
1013466967686150,Marathi
1013854707885207,Kannada
1014042748128782,Kannada
1014733037553692,Malayalam
1014801664308233,Telugu
1015363504486020,English
1015907504329532,English
1015949454132376,English
1016776607368962,Kannada
1017943474524070,Bengali
1018784857139748,Gujarati
1018987467129308,Tamil
1019095820441633,Tamil
1022336593482318,Bengali
1022434796890840,Kannada
1022586203666228,Marathi
1023230697042440,Tamil
1023669149983656,Kannada
1025418433476462,Telugu
1025823893719739,Marathi
1026794740313685,Telugu
1030563102970448,Tamil
1030675609297107,Telugu
1033265965736570,Telugu
1034041895626221,English
1034306395923315,Marathi
1034486135715678,Tamil
1035109305515805,Telugu
1036584785402285,Tamil
1036636192124153,Tamil
1037406932183506,English
1037629698588306,English
1037814022250953,English
1039905945883728,Tamil
1041331531793186,Kannada
1044099954803974,Telugu
1057132903335321,Telugu
1061382179740833,Marathi
1061561487050658,English
1063692802211225,English
1066138226590208,Telugu
1066340023015133,Tamil
1071218332745359,Telugu
1087417490926752,Kannada
1087463254453365,Gujarati
1115265437463707,Marathi
1124450573189262,Telugu
1126137613014416,Tamil
1129305642655282,Marathi
1131534372517442,English
1136463338572869,Tamil
1140292949160917,English
1142897134628752,Tamil
1146573297659532,Gujarati
1147796740835407,Telugu
1148084247404233,English
1151663514688025,Tamil
1153603026847697,Telugu
1155999686642393,Bengali
1160876739397413,Marathi
1164966265742950,Telugu
1169582301967723,English
1171865195999146,English
1172585451672422,Tamil
1176164031259480,Marathi
1180867061766442,Tamil
1185388110264484,Tamil
1188908510963474,Malayalam
1195821235715911,Bengali
1197447455800650,Marathi
1203928548386984,Marathi
1204258391720574,Gujarati
1206186428392911,Malayalam
1212127940752948,English
1212260880908199,Kannada
1213229874075179,Gujarati
1213393680793399,Telugu
1216705487077132,Kannada
1217240273745791,Tamil
1218021356745535,English
1219340386634401,English
1221948466595673,Tamil
1223535143082969,English
1224292176310292,Telugu
1224918086193675,Malayalam
1227122602738586,Malayalam
1227219209350106,Gujarati
1228215292748737,English
1229112135812363,Tamil
1229290809234566,Bengali
1232331902298821,English
1233755815585440,Tamil
1234361632112514,Gujarati
1234736965404166,Kannada
1236548948187901,English
1236764688618209,Telugu
1237252241877883,Tamil
1241079728219299,English
1241566174149176,Bengali
1242366044736854,English
1242429531197028,Bengali
1242823861048522,Marathi
1242981157906827,Marathi
1244249980815352,Gujarati
1249160150446166,English
1249174010524007,Malayalam
1249379997383205,English
1251362460515133,Telugu
1251420677073716,Malayalam
1254804086634998,Gujarati
1255589999874347,Marathi
1255624560024896,Telugu
1256964593083627,Gujarati
1257639629903436,Marathi
1257723099480067,Kannada
1257810376436956,Tamil
1259351176158549,Tamil
1259506026253863,Gujarati
1259568146280651,Malayalam
1260189796267400,Marathi
1261771975661596,English
1262752772689545,Malayalam
1263262909291174,Malayalam
1263491662355958,Kannada
1264519888531888,Telugu
1265701665062256,Marathi
1266779002205775,English
1267449912124220,Telugu
1267559591988783,Malayalam
1268071498810975,Gujarati
1268336871323861,English
1268633278781006,Gujarati
1269854692007881,Marathi
1270519995162704,Tamil
1270525948569198,Telugu
1270866117980436,English
1271807964925842,English
1272952361273336,Tamil
1274548481445067,English
1274740634160526,Gujarati
1275559221331262,Gujarati
1275667777964478,Gujarati
1276073134738825,English
1276393614386637,Kannada
1276672411312388,Telugu
1278151670430640,Gujarati
1278191154031620,Tamil
1278317400866683,English
1278473014229905,Malayalam
1278792650523442,Marathi
1279149687664468,Telugu
1279713767692486,Malayalam
1280146903794468,Bengali
1280510130862115,Telugu
1280568334271585,Tamil
1281378333413448,English
1281842880587780,Gujarati
1282839540710742,Marathi
1284301350495944,Gujarati
1284743680391630,English
1285279843766771,Tamil
1285376607017338,Marathi
1285831290406325,Kannada
1285990649669186,English
1286000256930884,English
1286562256396800,Marathi
1286729530256052,English
1287468993306146,Malayalam
1287526666918581,English
1287652570233234,Marathi
1287804709503036,Marathi
1287865029978714,Gujarati
1288101293503202,Malayalam
1288767583323452,Tamil
1288945649476800,Tamil
1289311326649348,Tamil
1289366703285101,Kannada
1290413195771674,Marathi
1291230196517358,Kannada
1292326936145402,English
1292619755641005,Gujarati
1293320999431833,Malayalam
1293430818987867,English
1293550505557455,Marathi
1293666709499380,Marathi
1294674038888116,Telugu
1294872372199763,Marathi
1295050182727826,Gujarati
1295814982684644,Marathi
1296064569362246,Marathi
1296087632102451,Bengali
1296584732668823,English
1297225115212417,Telugu
1298245581656069,English
1298382092497834,Tamil
1298742838453102,Gujarati
1299553298337156,Telugu
1300014528301734,Bengali
1300050945064302,Telugu
1300255132287922,English
1300722798918053,Telugu
1301191668579559,English
1301407418240081,Tamil
1302328652024705,Malayalam
1302756378351352,Kannada
1302863798631451,Kannada
1302923527948389,Telugu
1303786048023058,Kannada
1305301490970231,Malayalam
1305419434597035,English
1305924191718003,Kannada
1306231228368803,Tamil
1306358368312161,Kannada
1306524454766929,English
1307444947667286,Tamil
1307503301440658,English
1307849048060522,English
1307996761535426,Tamil
1308990824214902,Marathi
1309060790707208,Kannada
1309732577713094,Malayalam
1309794577224111,Bengali
1310199464304855,Tamil
1310442251212671,Tamil
1310942920479367,Tamil
1311353980866748,Marathi
1311513633640795,Telugu
1311608444365772,Marathi
1311776783725351,Marathi
1312273210331672,Tamil
1312319890964004,Tamil
1313251437526813,Marathi
1313928680696805,English
1314122850567353,Malayalam
1314307757419045,English
1314430623997985,Telugu
1314557267227715,Bengali
1315278853860233,Malayalam
1315308839934589,Tamil
1316236780725834,Tamil
1316271846669677,Tamil
1316309580688725,Tamil
1316314037066625,Marathi
1317399247037470,Telugu
1317716303542292,Tamil
1318121753627923,English
1318147317052647,Tamil
1318281880450717,Gujarati
1318480437075234,Bengali
1320392123333597,Telugu
1320611019512097,Malayalam
1322579466521965,Tamil
1322744639755965,Telugu
1324308712904279,Gujarati
1324994226219659,Malayalam
1325752129390385,Malayalam
1325799632693917,English
1325949222966537,Kannada
1326096859611351,English
1326732156052418,English
1326779202838738,Telugu
1327267376206202,Marathi
1327750302736660,Tamil
1328300965840646,English
1328346785805810,Marathi
1328959226036759,Marathi
1329958215899466,Marathi
1330545398994372,Gujarati
1331012325538734,Gujarati
1331245188939998,Tamil
1331481325833376,English
1331606945546433,Malayalam
1333116955395722,Marathi
1333646135343537,Marathi
1333689152005636,English
1333829674989627,Bengali
1333942925270111,Marathi
1334043231976836,Marathi
1334520321876231,Gujarati
1334889925416629,Kannada
1335172875137272,Telugu
1336551831707497,English
1337846945211681,Telugu
1338305161448886,Bengali
1339833164866055,Bengali
1343141777630823,Marathi
1343618321028277,Telugu
1343882707556162,Kannada
1344878170866731,Kannada
1345343977409186,Telugu
1346433270765484,Tamil
1347488020552162,Telugu
1347913483864622,Tamil
1348652633751025,Kannada
1349413790381614,English
1349705593717687,Bengali
1350633686991222,English
1352174446780972,Marathi
1352427616717956,Bengali
1353065573407452,Tamil
1353268443528401,Kannada
1353281539974463,Telugu
1355392709825401,Kannada
1355879426392568,Kannada
1356426436337931,Marathi
1356834662539667,Malayalam
1357559996224113,Tamil
1357892296202438,English
1359225819350762,Marathi
1359578639392264,Telugu
1359841639365969,Kannada
1360759119207161,Gujarati
1362725889021539,Marathi
1364006092255413,English
1365096822098347,Marathi
1365711322054968,Tamil
1367247608771937,Telugu
1370366274946670,Marathi
1370650128429240,Telugu
1370900101752444,English
1370927334845390,Marathi
1371368328372305,Malayalam
1376007294580877,English
1377415020913215,Kannada
1377971844172092,Tamil
1384270370430134,English
1384519936752533,English
1387004289863130,Marathi
1390079446488488,Tamil
1390131569055238,English
1390725829744328,English
1392451052712863,Kannada
1395624818998219,Bengali
1395803742440561,Marathi
1397004718903036,Gujarati
1400742708539520,English
1401902647937495,Telugu
1403248248278464,Tamil
1405230281623570,Bengali
1407967170401357,English
1419201076128864,Tamil
1419600269364944,Telugu
1420603876749885,Marathi
1420757516152319,English
1421549569742524,English
1422277683247820,English
1426019572856130,Kannada
1426709108679011,Tamil
1427122046102047,Malayalam
1428151732403427,Bengali
1428594649033873,Malayalam
1429230722184560,English
1431473318131548,Malayalam
1432470592246085,Marathi
1433159625277891,English
1433332981385605,Kannada
1433463448462695,English
1435007378435198,Telugu
1435417828331595,Telugu
1435881974870948,Tamil
1437151928100779,Tamil
1437836428042957,English
1441789124160984,English
1441837924379258,English
1442021773677303,Gujarati
1446616440491217,Telugu
1447310469919244,Telugu
1447730720180243,Marathi
1448851236921412,English
1449479493347015,Tamil
1449797707082254,Tamil
1450953927076228,English
1451238069802927,Bengali
1451670662800433,Marathi
1452493899608866,Malayalam
1454778745778342,Marathi
1455142066295736,Malayalam
1455352729720949,Marathi
1455378906628645,English
1455494769217666,Malayalam
1456203896191010,English
1456489775973937,Tamil
1457288369432786,Malayalam
1457538572341789,Malayalam
1458281322361409,English
1458297728810742,Gujarati
1458602939352865,Marathi
1458753742284301,English
1459186306004468,Telugu
1460349038674065,Marathi
1461158331820946,English
1461215278536774,Telugu
1462266312313546,Tamil
1462325405530541,English
1462388985537185,Tamil
1462832258740074,Telugu
1463268341677786,Tamil
1463703209122858,Tamil
1463906051777866,Kannada
1464022011851944,English
1464052005475525,Marathi
1464075105326463,Bengali
1464612034684616,Bengali
1464662801454982,Telugu
1465320305236974,English
1465353234806275,Gujarati
1465573407768187,Bengali
1465693778484060,Tamil
1466038664677722,Telugu
1466073121784359,Malayalam
1466430171199966,Kannada
1466438068588297,Marathi
1466740917939266,Telugu
1466842838079048,English
1467014958458046,English
1467122958239207,Telugu
1467304325131224,Gujarati
1469654061103002,Kannada
1470635231402391,Bengali
1470843210799466,Kannada
1471243361454315,Telugu
1471379488011997,Marathi
1471962381341513,Tamil
1472728870657417,Kannada
1472857190875267,Malayalam
1473041047655931,Telugu
1473242320615654,Tamil
1474458497230488,Marathi
1475985547091281,Tamil
1476070434166479,Gujarati
1477266293525820,Bengali
1477533853844045,Kannada
1478141534102605,English
1478416939939741,Bengali
