ad_id,language
1001221348906871,Hindi
1002363505662165,English
1005508155503187,English
1007300494972391,Hindi
1017025177512749,Hindi
1017507954054005,English
1021255273973673,Hindi
1023770803552722,Hindi
1032008312493950,English
1165795875730721,Hindi
1175933374295559,Hindi
1244804194191792,Hindi
1248192480570431,Hindi
1271072245182250,Hindi
1274208157485689,Hindi
1279844364134321,English
1281960683918283,Hindi
1282891997259604,English
1285399016659666,English
1290451376083367,English
1305202587874367,Hindi
1313145004338868,English
1319141779549945,English
1319590739598224,English
1324708162884438,English
1331709948907806,English
1337220371117503,Hindi
1343483664648943,Hindi
1359488312753507,Hindi
1364636219033957,Hindi
1378914400744740,English
1379701207397707,English
1380779020740039,English
1383764603589213,English
1383947583494215,English
1398691244996445,Hindi
1410583254158330,Hindi
1419619376634665,Hindi
1427890712476618,English
1440487231130234,English
1448807829637445,Hindi
1459063862660451,Hindi
1459802412348522,Hindi
1470471397608970,English
1476773330606036,English
1477133837198003,Hindi
1477576483809130,English
1481417903730539,Hindi
1484334716724850,English
1484396486622158,Hindi
1500684418055839,Hindi
1504396264684384,Hindi
1510838230642930,Hindi
1512309166936625,English
1513314403857875,English
1519683533536266,English
1529619835340866,English
1532066918300938,Hindi
1537961454587719,Hindi
1538536904371801,Hindi
1542662291202539,English
1543899037311006,English
1545545373757343,Hindi
1545955853653859,Hindi
1550607903145461,Hindi
1551214316696728,English
1557206485797910,English
1558063979656305,Hindi
1569659958009913,English
1586731656353958,Hindi
1610948496652199,Hindi
1616029346132773,English
1629149148185749,English
1656226372193192,English
1656555158970509,Hindi
1656820212211156,Hindi
1668604657811317,English
1671362184120151,Hindi
1673722073879679,English
1675659863710761,Hindi
1682356512961435,English
1685794299537493,Hindi
1694533281791470,Hindi
1697902834684350,Hindi
1713215196773751,English
1716360766456463,English
1716593546422400,Hindi
1724197118748377,Hindi
1739956290526598,Hindi
1744948076945550,English
1761637955248042,English
1785711215744376,Hindi
1810610246280277,Hindi
1812131213254272,Hindi
1833591784277010,Hindi
1888603368477515,Hindi
1922940892437204,Hindi
1975446566468610,English
1995190501114135,Hindi
2012385659367758,English
2012900123438878,Hindi
2044839999773285,Hindi
2099085243988558,Hindi
2118422772240776,Hindi
2147829419384950,Hindi
2152190968965147,Hindi
2233165930785010,Hindi
2261387548010517,Hindi
2332698647256427,English
2349362925531593,English
2408984296280626,Hindi
2468284430277467,Hindi
2490566491402542,Hindi
2509145826184441,Hindi
25506520168976866,Hindi
25708460672174884,Hindi
2689205164778706,English
26910824648598388,Hindi
26964483843185846,English
27245669081785604,Hindi
27959016983700695,English
2927738817566830,English
3004045323138221,Hindi
3300601286799572,Hindi
3385563551622383,Hindi
3404871473007544,Hindi
3482915095217476,English
35616055594707499,Hindi
4032411253724650,English
4422642624690358,English
718234571379170,Hindi
794561180289136,English
823893853913277,English
824600273417843,Hindi
829706806169021,Hindi
856074337114553,English
863233420161856,English
873558985758115,Hindi
874203262356382,Hindi
910631738693945,Hindi
911440421411962,Hindi
931656546562920,English
933714815692813,Hindi
939016588843645,English
941613088747926,Hindi
954609790259093,Hindi
955183070649190,Hindi
956692124024564,Hindi
958573573586121,Hindi
962920393089241,Hindi
969397399258262,Hindi
975830475191925,Hindi
982593771083391,Hindi
984170634387806,English
986491307132323,English
987809037221331,Hindi
990067790082865,English
990103036720803,Hindi
990621093352631,Hindi
993346566991575,English
996186669659412,Hindi
