ad_id,language
1000221402877141,Hindi
1000318475941339,Hindi
1000924026244900,Hindi
1001493492505354,Kannada
1003649275414638,Hindi
1004243468673350,Hindi
1005290858755106,Hindi
1005331035549216,Hindi
1007394932018188,Hindi
1010463461343787,Hindi
1011965198455335,Hindi
1012623951226742,Hindi
1013230951086366,Hindi
1014740924603776,Kannada
1017904837553177,Hindi
1018168410760855,Hindi
1018543047347932,Hindi
1021952743777235,Hindi
1023353213520872,Hindi
1023399443469525,Hindi
1026365906522740,Hindi
1027572049619032,Hindi
1027644689642170,Hindi
1028360082898631,Hindi
1028672456571398,Hindi
1028713099962693,Hindi
1029393612916848,Hindi
1031572926061825,Hindi
1031652079760983,Hindi
1032503149467138,Hindi
1033318672467841,Hindi
1033786642642767,Hindi
1034347915635118,Hindi
1036583772282106,Hindi
1040175208363411,Hindi
1044147908549480,Hindi
1044621814661801,Hindi
1044795624562796,Hindi
1050591144310002,Hindi
1053835513642180,Kannada
1056873020643925,Hindi
1059707300038494,Hindi
1070403062094490,Kannada
1150508974819144,Hindi
1168131235478527,Hindi
1205499905015145,Hindi
1255180603194330,Hindi
1274918781380927,Hindi
1285753573334918,Hindi
1296645402226755,Hindi
1302324998744301,Hindi
1304013031902050,Hindi
1311410404519071,Hindi
1321959232684279,Hindi
1323748665936539,Hindi
1323868526555337,Hindi
1324292329831050,Hindi
1329286339306900,Hindi
1329522652574885,Hindi
1329530475266124,Hindi
1330200615374353,Hindi
1330212525238228,Hindi
1330329419069493,Hindi
1333743158181668,Hindi
1336956607766027,Hindi
1338695088149217,Hindi
1350528533804193,Hindi
1351419703555499,Hindi
1354159723277515,Hindi
1356496527096530,Hindi
1361588702531436,Hindi
1365518585752933,Hindi
1366251452036374,Hindi
1371920964787000,Hindi
1375633121052920,Hindi
1375657254410866,Hindi
1376526797732561,Hindi
1379717024061995,Hindi
1386805923279705,Hindi
1389822543204144,Hindi
1419366993709973,Hindi
1452946436870988,Hindi
1453226846574503,Hindi
1459277669338335,Hindi
1467235805077911,Hindi
1490398035692044,Hindi
1503280224228737,Kannada
1505439874403686,Hindi
1509000537534731,Hindi
1515028196659572,Hindi
1526109055633443,Hindi
1528971672204383,Hindi
1538825931123825,Hindi
1543528693797253,Hindi
1550785770004136,Hindi
1551354719827011,Hindi
1556784332782041,Hindi
1559495785519992,Hindi
1579493073705762,Hindi
1586155146379829,Hindi
1586296943155034,Hindi
1604188747714000,Hindi
1607286517667851,Hindi
1608724900874315,Hindi
1637483051215310,Hindi
1653566946609414,Hindi
1657579782144196,Hindi
1662547845005708,Hindi
1664340988190356,Hindi
1667798627831923,Hindi
1668913314824950,Hindi
1670693267577856,Hindi
1674688393676148,Hindi
1678267580105068,Hindi
1694028108409817,Hindi
1695783751714849,Hindi
1695810444996044,Hindi
1697445064905391,Hindi
1706586897142307,Hindi
1709927423521021,Hindi
1715366832977862,Hindi
1723870662261164,Hindi
1726478348352910,Hindi
1736171537821732,Hindi
1738837290701811,Hindi
1738885020467648,Hindi
1740976927354770,Hindi
1746746386743353,Hindi
1749757829714015,Hindi
1749948459510113,Hindi
1754597612655199,Hindi
1756663942362997,Hindi
1758345675330702,Hindi
1759917562117033,Hindi
1763163464667778,Hindi
1767667434400291,Hindi
1772558894189872,Hindi
1782202363157939,Hindi
1782510706247992,Hindi
1785260805793877,Hindi
1802246977424820,Hindi
1806682616978957,Hindi
1823569825748369,Hindi
1836498971087758,Hindi
1890078848354220,Hindi
1893779937968049,Hindi
1894069581283466,Hindi
1895618541128580,Hindi
1903962816956522,Hindi
1913906955961670,Hindi
1921299865193505,Hindi
1945519429485659,Hindi
1960351544672313,Hindi
1967672820594747,Hindi
1968303247153256,Hindi
1973724823280908,Hindi
1985380975672231,Kannada
1988343188553429,Hindi
1990549078495400,Hindi
1999028157410744,Hindi
2004881760391786,Hindi
2015338379345824,Hindi
2016516622275043,Hindi
2023645954940017,Hindi
2033832710566826,Hindi
2037544283534590,Hindi
2038343334227407,Hindi
2046215799301881,Hindi
2065913707471647,Hindi
