ad_id,language
1000338829196892,Hindi
1001955356099173,English
1002307968916209,Tamil
1005340095418175,Tamil
1006329295201378,Hindi
1007530385081900,Tamil
1008374951703241,English
1008847321469743,Tamil
1008889414931118,Kannada
1010201854756042,English
1015528570998771,Tamil
1016408487631842,English
1017961491189825,Malayalam
1017963330951251,English
1018266577731610,Malayalam
1019027777130898,Kannada
1019696327203383,English
1022215520148720,English
1023443820344511,Hindi
1027447753065197,Malayalam
1030440172717015,Kannada
1030503980140114,English
1043103124812012,Marathi
1043816578143680,English
1166838812014048,English
1182441817236590,Tamil
1201463028826137,English
1209738614498577,English
1224354406554260,English
1242925180598225,English
1254624717727521,English
1261894342696646,English
1263424899236990,Hindi
1264668848807533,English
1266496608888651,English
1271227128122015,Kannada
1277243397882538,English
1281577630753736,Kannada
1282823553919831,Marathi
1283594347179158,Tamil
1287946936434940,Hindi
1293067956117881,Kannada
1293999789370021,Marathi
1301259608777420,Marathi
1306098638255345,Kannada
1306104707759795,Tamil
1308281881491141,English
1311019194506588,English
1312620537668127,Tamil
1314381756861108,Malayalam
1315260573546336,Hindi
1316777246578170,Malayalam
1317357846423381,Malayalam
1318836490216975,Hindi
1327506092053493,English
1327836129169546,English
1332278622154395,English
1333107758784573,Kannada
1333380855312442,Hindi
1339557674759234,Tamil
1341044771217348,English
1342031744648586,Hindi
1350966316920951,Malayalam
1355959489761084,English
1357098709656712,Malayalam
1359996982637929,Malayalam
1361741085811598,Tamil
1361766756008318,Malayalam
1366359718626426,English
1371947624756416,Marathi
1382923387003958,Marathi
1384125720047598,English
1385223413421257,Hindi
1385625296768441,Tamil
1386304936584896,Tamil
1387399283411233,Kannada
1406313074589852,English
1420564419556783,English
1429462188410527,Malayalam
1446240430854536,English
1447298590404255,English
1451452453663844,Malayalam
1455497906349902,Malayalam
1459744116192629,Kannada
1467213678402110,English
1470861051315043,English
1473297194097493,English
1476659844143221,Kannada
1477183203777341,Malayalam
1482004609604227,Kannada
1483250163405257,English
1494320365675491,Hindi
1496154588035776,Malayalam
1507220527751466,Kannada
1511111056828106,English
1515357813295706,Hindi
1518844083190295,English
1519137703335884,Tamil
1524055402758387,Marathi
1527023688816595,English
1527222942372722,Hindi
1528983802208134,Kannada
1529888078840502,Hindi
1531687464577242,Hindi
1534214218051412,Hindi
1534951244867864,Hindi
1536798551167599,Marathi
1537332977762360,Tamil
1541795334197554,Malayalam
1542208837423364,Hindi
1543328573849703,Tamil
1553179199937865,Kannada
1559092795653919,Tamil
1566297197911206,English
1566808484881295,Hindi
1569837701108499,English
1573736987697228,Kannada
1598934404482182,Hindi
1598944374618214,English
1606018377805781,English
1606416436942554,Hindi
1607956950303032,Hindi
1615741946275334,English
1616518609443578,Hindi
1624410095245730,English
1627007201772082,English
1631437637912562,Hindi
1631492917935092,Marathi
1632127831228011,English
1635365307514500,Hindi
1641975910360142,Hindi
1645428323393253,English
1646829209907293,Hindi
1650498256245529,Malayalam
1653131032409183,English
1655535008789619,Hindi
1656371092252840,English
1662266588372476,Malayalam
1664834988132991,English
1665305344789047,English
1666733754369589,Kannada
1668568907754755,Kannada
1670382757639077,English
1671433074080008,Hindi
1674695527105346,Tamil
1676862793642995,Kannada
1681006989507648,English
1681625439656874,Tamil
1682994332739683,Kannada
1685482815926044,Marathi
1685505725983692,Kannada
1689862095613058,Malayalam
1692395758675404,Malayalam
1694023131623811,Hindi
1696016167950307,English
1696524301725159,English
1702346954551106,Hindi
1707722113596111,Malayalam
1712870236507784,Kannada
1718754532619881,Kannada
1722146582095771,English
1724422962333351,Malayalam
1730346694625329,Tamil
1748068816627011,Kannada
1751381559566795,Hindi
1755985579113125,Malayalam
1774406133527244,English
1795514791415516,Marathi
1804477307581471,Hindi
1812790096772217,Tamil
1816385469321451,Hindi
1824295468237331,English
1846567089393685,English
1857730538277430,English
1865042314101385,English
1871665510183650,English
1883151975705319,English
1888179688562464,Kannada
1890571951655444,Malayalam
1913593379351763,Hindi
1935452127101651,English
1945016303042855,Tamil
1953642172029834,English
1970602930490694,Hindi
2011866696882033,Hindi
2027539371487379,English
2030240231207465,Hindi
2033981820847254,English
2047136142819030,Malayalam
2050501535881254,Malayalam
2055225678395208,Kannada
2065465224040395,Marathi
2073537180176297,English
2076389589888535,English
2077159863678503,Kannada
2087931068421187,English
2092553101321689,Hindi
2105293576950861,English
2112384796824897,English
2143158666473457,English
2162968067812618,Hindi
2163947724344247,English
2165128834325739,English
2170637817088886,Hindi
2177042646483754,Malayalam
2180793392740960,English
2185353608668047,Hindi
2191004834982270,Marathi
2203881063685200,Hindi
2205072176896653,Tamil
2205572380178415,Malayalam
2215935059244884,English
2216320602522093,English
2217341015763503,Hindi
2235801616953885,English
2245758992828721,English
2284848355255499,Kannada
2295536704309986,Hindi
2331531480702586,Malayalam
2337690173390963,English
2380382949113659,Tamil
2393357557844949,English
2420249835122409,English
2429663597501268,Hindi
2442362952880772,Kannada
2443712506142477,Hindi
2445266529284122,Kannada
2504659850014715,Hindi
2518993185212523,English
2528750337543867,English
25689263567435851,English
2677142752658813,Hindi
26831805176478505,Kannada
26844394018563524,Hindi
26864506773237930,Malayalam
26968972736117345,Hindi
27039326735676879,English
2718857995158689,English
27292861753737186,Hindi
27533535899632138,English
2852148961823035,English
2887194411625477,Marathi
3003093209899598,English
3034428376940626,English
3194390794101462,Kannada
3226076084220389,English
3357549721086679,English
3391983870966275,Hindi
3443849799125735,Hindi
35711967805116200,Hindi
36121185230830159,English
36389016304045469,English
36517908114474049,English
3689448171208985,English
37337901365796958,Hindi
3907189146244683,Tamil
3987052924921931,Hindi
4025885004370334,English
4214340422164193,English
4304356203209733,Malayalam
4317358591866176,English
4322078088052764,Hindi
4432264630363822,Malayalam
4438025873093504,English
4487212464857580,English
4495689713987746,Tamil
4511383839140943,Marathi
4514909948796940,English
4807246549502326,Hindi
767982765971645,English
794762543589793,English
802134739188636,Malayalam
802986049419170,English
810679145097987,Kannada
813412201592967,Kannada
820194970971284,Hindi
822646964213690,Malayalam
824616770475280,English
830432456491902,English
831865046236591,English
839466612486237,English
842899398339565,Hindi
847846551131630,Hindi
858959107181092,English
861281100343417,Hindi
861317746449714,English
872479192551236,Malayalam
873618651754187,Kannada
878652348591010,English
878992604485262,Kannada
880180717685885,Malayalam
880800171143322,English
884765954660063,Hindi
884905214442278,English
891251400369366,English
903649205408344,English
906995315729188,Kannada
918355924593292,English
918714334465060,English
922333753982552,Tamil
928672226847609,Tamil
929060776855189,Marathi
931857945993685,English
931936369278461,English
937087548666909,English
937743845921852,Hindi
940578045564403,Hindi
942092611562781,Malayalam
950441070968656,Kannada
952737910984432,Hindi
953292117697900,Hindi
953470727433696,Malayalam
954809496875720,English
958273773623414,Malayalam
958926196946861,Kannada
960506216864353,English
965390732957236,Marathi
965434199345665,English
965991376247034,Malayalam
