ad_id,language
1212657180911138,Hindi
1214331300401198,Tamil
1228162876124945,Tamil
1241603491508608,Tamil
1263111225719321,Tamil
1286723966731755,Tamil
1299322238926571,Tamil
1345444240674582,Tamil
1403710238171409,Tamil
1414823376812512,Tamil
1417738519758197,Tamil
1421135246404699,Hindi
1424324155822363,Hindi
1428345402211481,Hindi
1443156474268077,Tamil
1445137293761554,Hindi
1446451490465131,Tamil
1457798545962459,Kannada
1505919334867604,Hindi
1981093915820751,Hindi
2004457904289111,Kannada
2145402302955929,Hindi
25674228382269402,Hindi
826441597149033,Tamil
834079296351372,Hindi
894945046633710,Hindi
895901269731389,Hindi
900964249487648,Hindi
906064629056046,Tamil
908822938160022,Hindi
937128972045324,Hindi
