ad_id,version_index,creative_index,video_resolution,video_bitrate,duration_s
1681513992840751,0,0,720x720,309514,5.2
873410355318564,0,0,720x720,268144,30.12
931440739227131,0,0,720x720,292620,30.12
1270856521521372,0,0,720x1280,330725,21.52
1187219770066761,0,0,720x720,275183,30.12
1428449025623778,0,0,720x720,328997,30.12
862072036697076,0,0,720x1280,410249,30.12
1215010424102742,0,0,720x1280,243720,59.95
2008049966476696,0,0,720x1280,400789,26.99
26572679392369522,0,0,716x1278,443854,6.24
4047050955534121,0,0,720x720,332480,30.12
1757405299002125,0,0,720x1280,445994,6.16
2757075414671209,0,0,720x720,360850,30.12
1498337882301575,0,0,720x900,302208,28.99
3128929950636792,0,0,720x720,352339,20.01
964644499361286,0,0,720x720,315015,13.49
1315729067327013,0,0,720x720,296762,28.84
1810377262974963,0,0,720x720,362864,30.07
1640530307393556,0,0,720x720,382351,30.08
1244347244307717,0,0,720x720,407516,19.84
2207673653307134,0,0,720x720,286849,25.11
1595782761518272,0,0,720x720,262962,24.15
25024190163945827,0,0,720x1280,182492,10.76
964203152818249,0,0,720x1280,182492,10.76
4193196730867806,0,0,720x1280,182492,10.76
839034162134088,0,0,720x1280,181255,15.72
862933273506827,0,0,720x1280,976851,12.16
3509966935818159,0,0,720x1280,1342654,27.41
1625406865354471,0,0,720x1280,1441826,30.14
2421536621668950,0,0,720x1280,1660514,15.51
1495493641961395,0,0,720x1280,452012,11.45
1911800266127163,0,0,720x1280,421075,8.08
2164543697719032,0,0,720x1280,421075,8.08
1282957083982524,0,0,720x1280,1441826,30.14
2206316933499935,0,0,720x900,701091,13.88
3054095394922294,0,0,720x1280,181255,15.72
1398617942297818,0,0,720x1280,1619512,30.12
26593433683617766,0,0,720x1280,452012,11.45
1557413435942135,0,0,720x1280,261674,23.38
3049299128598351,0,0,720x1280,261674,23.38
1394125836100311,0,0,720x720,278077,12.44
1432590688916824,0,0,720x720,283402,7.64
