ad_id,version_index,creative_index,video_resolution,video_bitrate,duration_s
1286341193458429,0,0,720x1280,910379,34.47
26858246627159221,0,0,720x1280,993261,68.78
2824622157869852,0,0,720x1280,993261,68.78
1923073918386349,0,0,720x1280,1002315,37.71
989760113647100,0,0,720x1280,1110283,77.37
1679747593034871,0,0,720x1280,1329699,45.08
1582553446724594,0,0,720x1280,802326,69.8
2014484739469344,0,0,720x1280,1337412,46.55
979523084446611,0,0,720x1280,1118065,46.51
1261073506142042,0,0,720x1280,601021,38.55
1608766093513896,0,0,720x1280,1226721,42.77
1581060787352516,0,0,720x1280,662689,40.17
26472833265715362,0,0,1280x720,656738,29.82
818640181129690,0,0,720x1280,1136775,82.47
987721023705930,0,0,720x1280,689806,35.48
1654898552218834,0,0,720x1280,910379,34.47
1600521857717578,0,0,720x1280,998260,66.99
1288587726756839,0,0,720x1280,912172,68.92
920991640802146,0,0,720x1280,1182776,41.01
1347418030649936,0,0,720x1280,986958,68.16
1905092613368632,0,0,720x1280,1195931,63.38
2257110451487366,0,0,720x1280,888097,34.52
1890705918285363,0,0,720x1280,998260,66.99
4468359470086868,0,0,720x1280,1186341,35.45
1276705914633244,0,0,720x1280,972319,67.31
3920858908216732,0,0,720x1280,1182776,41.01
1619041622509778,0,0,720x1280,1226721,42.77
1556620752560045,0,0,720x1280,910379,34.47
1143622754604208,0,0,720x1280,1004352,53.89
1490005112129951,0,0,720x1280,998260,66.99
2483405618767529,0,0,720x1280,1002315,37.71
1412389343988596,0,0,720x1280,747886,40.4
827379027114172,0,0,720x1280,1182776,41.01
1466680661478322,0,0,1280x720,981606,29.82
990584049996241,0,0,720x1280,952866,60.91
1332393458836467,0,0,720x1280,1363865,24.04
1651325459631448,0,0,720x1280,1616858,41.85
2816620738678016,0,0,720x1280,835242,41.11
1626068392526827,0,0,720x1280,2240105,35.73
828323076603145,0,0,720x1280,971600,38.12
1208953758961208,0,0,720x1280,851215,40.4
1000935449552618,0,0,720x1280,759625,33.81
1743087253793397,0,0,720x1280,1160164,68.92
956413676791922,0,0,720x1280,1077696,53.13
4371337003141421,0,0,720x1280,846347,64.41
1861497244534107,0,0,720x1280,919052,54.75
999353006369035,0,0,720x1280,1118065,46.51
1399715815299179,0,0,720x1280,910379,34.47
1489024535719287,0,0,720x1280,802326,69.8
957241043876808,0,0,720x1280,919052,54.75
3217172991801670,0,0,720x1280,823964,34.29
1758731028824393,0,0,720x1280,1036579,73.62
887166504395248,0,0,720x1280,1118065,46.51
1009996348169330,0,0,720x1280,961257,66.77
2065316954367727,0,0,720x1280,1182776,41.01
1020433583744483,0,0,720x1280,961257,66.77
869185468874772,0,0,720x1280,961257,66.77
1017749350907847,0,0,720x1280,1029507,82.03
1410322400818020,0,0,720x1280,601021,38.55
1726347351867581,0,0,720x1280,910379,34.47
1519322489795780,0,0,720x1280,961257,66.77
1315848836760274,0,0,720x1280,914094,37.71
2063273217925254,0,0,720x1280,912172,68.92
1819504062758111,0,0,720x1280,1036579,73.62
2153620542128180,0,0,720x1280,1103871,40.84
1575036264038808,0,0,720x1280,879077,70.74
2920536348298813,0,0,720x1280,846347,64.41
1312246001030850,0,0,720x1280,823964,34.29
4482617731983250,0,0,720x1280,910379,34.47
1671097577430352,0,0,720x1280,1355599,41.98
4212630769048709,0,0,720x1280,712565,34.52
1446355560859167,0,0,720x1280,648903,34.52
1680023209867820,0,0,720x1280,1276410,42.77
993531416757146,0,0,720x1280,1082966,82.71
2438251120009190,0,0,720x1280,1182776,41.01
887507133689970,0,0,720x1280,856497,33.36
3449271938584984,0,0,720x1280,855791,34.52
3236793519837388,0,0,720x1280,869700,40.04
2216087012537934,0,0,720x1280,1278075,61.4
4596613803998320,0,0,720x1280,990698,64.79
965883689761456,0,0,720x1280,973637,64.57
27338242895831171,0,0,720x1280,675764,42.62
902774176194288,0,0,720x1280,837041,41.77
1015808140933762,0,0,720x1280,1166307,101.55
1007116398921663,0,0,720x1280,825491,81.13
1537509541396440,0,0,720x1280,2089818,37.35
1028258436260871,0,0,720x1280,811242,34.29
1313009764351341,0,0,720x1280,869700,40.04
832041293094340,0,0,720x1280,1612007,79.19
28365108253078782,0,0,720x1280,1616858,41.85
1515608520010052,0,0,720x1280,820750,38.61
1008762784856261,0,0,720x1280,648903,34.52
1015770070937966,0,0,720x1280,856497,33.36
1485151516165713,0,0,720x1280,855791,34.52
969731195965248,0,0,720x1280,712565,34.52
3061153714077391,0,0,720x1280,1166307,101.55
1536628524714927,0,0,720x1280,1082966,82.71
1023280550147808,0,0,720x1280,1182776,41.01
1378709630744117,0,0,720x1280,811242,34.29
1482627169799430,0,0,720x1280,820750,38.61
1324645853195533,0,0,720x1280,2089818,37.35
1051044647291045,0,0,720x1280,920656,37.08
1366146328694387,0,0,720x1280,825491,81.13
1183362857252391,0,0,720x1280,1616858,41.85
2011493032906951,0,0,720x1280,1612007,79.19
1334834655321570,0,0,720x1280,869700,40.04
1519379893216673,0,0,720x1280,910379,34.47
1622949502114966,0,0,720x1280,855791,34.52
1011292844956913,0,0,720x1280,1002579,40.11
1340249521370077,0,0,720x1280,712565,34.52
27582307301373948,0,0,720x1280,1082966,82.71
2190350225118153,0,0,720x1280,654838,35.69
989786880310878,0,0,720x1280,1276410,42.77
2029463127653994,0,0,720x1280,920656,37.08
4085441481753577,0,0,720x1280,837041,41.77
979977635018465,0,0,720x1280,962446,70.12
1555971279252723,0,0,720x1280,913543,68.01
1800522517580952,0,0,720x1280,802326,69.8
957987367285794,0,0,720x1280,825491,81.13
2787277954991012,0,0,720x1280,1355599,41.98
1565174518464522,0,0,720x1280,1035244,75.05
1495982208735813,0,0,720x1280,1036579,73.62
911558108594444,0,0,720x1280,998260,66.99
1354175103312608,0,0,720x1280,601021,38.55
975194242006056,0,0,720x1280,689806,35.48
989729313528735,0,0,720x1280,971600,38.12
27423307387277285,0,0,720x1280,823964,34.29
1280442864286771,0,0,720x1280,910379,34.47
1021136453737366,0,0,720x1280,675764,42.62
1328840059355856,0,0,720x1280,1182776,41.01
1985616649496707,0,0,720x1280,961257,66.77
27188563797452794,0,0,720x1280,820750,38.61
1753214105929643,0,0,720x1280,660657,37.65
1729369401413761,0,0,720x1280,597172,37.69
27312881168353507,0,0,720x1280,680053,40.38
860205167153717,0,0,720x1280,914094,37.71
3847698162037004,0,0,720x1280,910379,34.47
1323640396530842,0,0,720x1280,648903,34.52
768123156362702,0,0,720x1280,999707,258.77
1342187611434918,0,0,720x1280,855791,34.52
1036628765435067,0,0,720x1280,1085917,56.04
2537378303379370,0,0,720x1280,1085917,56.04
3986740264793174,0,0,720x1280,1178734,61.31
1632804617809986,0,0,720x1280,1003433,59.24
1779756433468906,0,0,720x1280,961257,66.77
27895788590026016,0,0,720x1280,961257,66.77
1800081810971430,0,0,720x1280,914094,37.71
1389378246427597,0,0,708x1274,907182,38.78
2560816464371211,0,0,720x1280,912442,70.44
1032668232984789,0,0,720x1280,911348,77.08
2311025816307474,0,0,720x1280,899928,70.65
886284157893490,0,0,720x1280,1170068,76.48
1298208928762380,0,0,720x1280,825438,56.85
2418322802022115,0,0,720x1280,1004352,53.89
27356581034010818,0,0,720x1280,814158,49.68
1003207599247646,0,0,720x1280,920656,37.08
1032864065896787,0,0,720x1280,910379,34.47
2827057244325446,0,0,720x1280,914094,37.71
2122627011616500,0,0,720x1280,907924,77.12
2337129586816797,0,0,720x1280,868430,85.59
1053758737567750,0,0,720x1280,912442,70.44
2299097647495324,0,0,720x1280,919045,79.79
1257067016406614,0,0,720x1280,886758,72.51
858897586932065,0,0,720x1280,1085917,56.04
1749977376182059,0,0,720x1280,856497,33.36
1553491046417796,0,0,720x1280,1612007,79.19
2041893553197573,0,0,720x1280,2089818,37.35
1591820286063298,0,0,720x1280,914094,37.71
2547698822300142,0,0,720x1280,811242,34.29
946651168463756,0,0,720x1280,1103871,40.84
1517210366770820,0,0,720x1280,1085917,56.04
1040020345149620,0,0,720x1280,1103871,40.84
1562585765364396,0,0,720x1280,1025046,68.76
1544865937296078,0,0,720x1280,870366,38.19
1017721613974007,0,0,720x1280,890803,56.38
1365207728918628,0,0,720x1280,849668,55.74
1611300970620643,0,0,720x1280,975660,29.2
2094998248088254,0,0,720x1280,655524,40.11
1547298730167265,0,0,720x1280,789002,78.57
1376673434369180,0,0,720x1280,970414,104.55
1683632599420389,0,0,720x1280,957413,104.43
36835547972756534,0,0,720x1280,1017198,56.08
1640641020765022,0,0,720x1280,823664,67.54
1408846584452230,0,0,720x1280,856497,33.36
1740863687330172,0,0,708x1274,907182,38.78
1548052283371460,0,0,720x1280,597172,37.69
